1569978227,2,23,3,"C2,C9,C8,C5;SQ,S8,S2,S5;DA,D5,D6,D7;DQ,DJ,SJ,D8;CK,CQ,C7,C3;CA,CJ,S7,SK;D9,D3,S9,S4;D10,C10,S10,S3;D2,HQ,H6,H8;C6,C4,H3,H7;DK,HK,HJ,H10;D4,S6,H9,H2;H4,SA,H5,HA"
1569978227,2,9,3,"C2,C8,CJ,C7;S7,SK,S4,SQ;D7,D4,DA,DJ;S10,SA,S9,S3;C10,C6,D10,C9;CQ,C3,D5,C4;D2,D8,D9,D3;SJ,S8,S5,C5;DK,DQ,D6,CA;S2,S6,H10,H4;HK,H6,HJ,H3;CK,HA,H5,H9;H7,H8,HQ,H2"
1569978227,2,0,3,"C2,CJ,CQ,CK;S9,SA,S3,SJ;DA,DQ,D4,D7;D5,D10,D9,C7;S8,S4,SK,S2;C6,S6,C3,C8;C5,SQ,C10,C9;C4,CA,D3,D8;DJ,DK,S7,D6;HA,H10,H5,HJ;H2,H4,HK,H8;D2,H9,S5,H7;S10,HQ,H6,H3"
1569978227,2,2,3,"C2,CA,C6,C8;DQ,D7,D5,DA;CJ,C4,CQ,D10;S10,S7,S2,S5;S3,S9,S6,SA;S8,SJ,D6,D4;C7,C5,D9,C10;DK,D3,D8,DJ;D2,SK,H6,C9;HA,HQ,H8,H9;H5,SQ,H4,H3;HJ,S4,H10,H2;H7,C3,HK,CK"
1569978227,2,0,3,"C2,C6,CK,CJ;D2,D10,D6,D9;SK,SQ,S7,S6;S10,SA,SJ,S2;CA,C9,CQ,D5;C8,C4,D4,D3;S4,S9,DA,S5;S8,DJ,D7,S3;C7,DQ,C5,DK;H6,HK,H4,HJ;H2,HA,H7,H8;H10,H9,C3,H3;HQ,H5,C10,D8"
1569978227,2,6,3,"C2,CJ,C6,C4;D7,D4,DK,D10;S9,S5,S4,S6;C3,CQ,C8,C9;S10,S3,SK,SA;DA,DJ,S7,D9;DQ,D6,S8,D3;CA,SQ,C7,D8;C10,SJ,CK,H2;S2,D2,HK,H10;H4,H6,H8,H7;H9,HQ,H5,HJ;D5,H3,C5,HA"
1569978227,2,4,3,"C2,C5,C10,C3;S3,SQ,S4,S5;D5,D2,D7,D9;CA,C8,C7,C9;D10,D4,DA,DQ;D6,S10,D3,DK;CQ,CK,CJ,C4;S6,D8,SA,S9;SJ,HK,S2,SK;C6,H6,H7,H4;HJ,H9,H10,HQ;H3,H8,S8,H5;HA,DJ,S7,H2"
1569978227,2,6,3,"C2,CQ,C10,C5;D9,D3,DJ,D2;C3,C4,S4,C8;S3,S5,SK,SA;CJ,C7,D10,D4;D6,DA,DK,D7;S9,S2,SQ,SJ;D8,DQ,S6,D5;H2,HQ,H7,HJ;H10,H6,H8,CK;C6,H4,H3,CA;S10,HA,S7,C9;S8,HK,H9,H5"
1569978227,2,0,3,"C2,C3,C9,C5;D2,D4,D6,D10;S10,S3,SK,S5;S6,S7,S4,SQ;C6,C10,D3,CJ;D7,DJ,DQ,DA;C7,CA,C4,SA;S9,CK,HA,S8;S2,DK,HK,SJ;CQ,D9,H5,D5;C8,HQ,H9,H6;H7,H3,H2,H10;HJ,D8,H4,H8"
1569978227,2,4,3,"C2,CK,CQ,C10;DA,DK,D8,D5;S3,SK,S5,S6;SA,S9,S10,D10;C6,C5,C7,CA;D6,DJ,SJ,D2;S4,S7,SQ,D4;D9,D3,C3,D7;CJ,C8,C9,HJ;H2,H8,H10,H7;H5,H9,HQ,HK;H3,S8,S2,H4;HA,DQ,H6,C4"
1569978227,2,0,3,"C2,CA,CQ,C4;SK,S5,S9,SA;S7,S8,S10,S3;D3,D9,D7,DJ;D5,DQ,D4,D10;C8,CK,C9,CJ;C5,C10,D2,SQ;SJ,DK,S2,C6;S6,H3,D6,D8;S4,H2,DA,H8;C3,H10,H7,HK;C7,HA,HJ,H5;H6,H4,HQ,H9"
1569978227,2,0,3,"C2,CQ,C6,CJ;C10,C8,C5,C7;S7,SA,SK,SJ;D5,D10,DK,DA;CK,D8,CA,C4;D9,DJ,DQ,D7;S10,S6,S3,S2;D4,D6,D3,SQ;S5,S4,H5,S8;C9,C3,H9,H10;HA,HK,H3,HQ;H8,D2,H2,H4;H7,S9,H6,HJ"
