1569978243,2,0,1,"C2,C5,CA,C9;DQ,DJ,D9,D5;SJ,S7,SK,S8;SQ,S2,S6,SA;S4,C7,S3,S9;D3,DA,D10,D2;C3,C10,CJ,D6;DK,D7,S10,D8;D4,HQ,H2,CK;S5,HA,H10,C4;HJ,HK,H4,H5;C8,H9,H6,C6;CQ,H7,H8,H3"
1569978243,2,4,1,"C2,C3,C8,C4;DA,D4,DQ,DK;D3,DJ,D10,D7;CQ,C9,C7,C10;SK,S3,S5,SA;C5,CK,C6,D6;D9,S4,SQ,D5;D8,S8,S10,D2;S7,S9,SJ,CA;S6,S2,HJ,CJ;H9,HK,H3,H6;H5,H4,HQ,H8;H2,H7,H10,HA"
1569978243,2,7,1,"C2,C8,C10,C6;S4,S9,SQ,S5;SA,SK,S7,S2;S3,S8,S6,SJ;D7,D5,D9,D8;DQ,D6,DJ,CA;C4,CK,C9,C5;DK,D2,D10,C7;H2,DA,H3,H7;H10,D3,H5,H9;H6,D4,H8,HJ;HA,HK,S10,CJ;HQ,H4,C3,CQ"
1569978243,2,6,1,"C2,CK,C10,C7;D8,D5,D3,D7;SK,SJ,S8,S6;C8,CA,C6,C3;D6,S10,D2,DJ;C4,C5,S4,C9;CQ,D9,S2,CJ;S7,S3,SA,S9;H3,H2,HA,H4;H8,H7,DA,H9;H10,D4,H5,D10;H6,DQ,HJ,S5;HQ,SQ,DK,HK"
1569978243,2,4,1,"C2,C5,C10,C8;CJ,C9,C3,C4;SQ,S7,S4,SJ;DK,D7,DJ,D8;S2,SK,S10,D10;D5,CA,DA,D2;D9,CQ,S9,D3;D6,S8,CK,D4;DQ,S3,S6,S5;HA,H5,H4,H7;H3,HK,H10,H2;H6,H9,SA,H8;C6,HJ,C7,HQ"
1569978243,2,8,1,"C2,CA,CK,C4;D10,D3,D9,S6;DK,D2,D8,S3;S4,S10,S2,S5;DJ,D6,D5,CJ;DA,SJ,DQ,C6;C3,C9,C7,CQ;SQ,SA,S9,S7;H9,HJ,H4,H10;H7,H6,H2,HA;C10,S8,HQ,C8;D4,D7,H8,H5;HK,H3,C5,SK"
1569978243,2,22,1,"C2,C5,C9,C8;CA,C7,CQ,C6;D2,DA,DJ,D7;S4,SJ,S5,S6;C4,SK,S10,CJ;C10,D9,S7,C3;SA,S9,DQ,S2;D10,D4,H3,DK;H2,HK,HQ,H7;H6,H8,HJ,H5;CK,H10,D5,HA;D8,H9,D3,S8;D6,H4,S3,SQ"
1569978243,2,0,1,"C2,C3,C8,C4;SJ,S4,S8,S9;D8,D3,DK,D6;D9,S2,D4,DA;C7,S3,C5,CJ;CQ,SQ,C9,CA;DQ,SK,DJ,D2;D5,S5,CK,S7;S10,H2,C6,S6;D10,H5,H9,H4;C10,HQ,HA,H3;D7,H6,HK,SA;H8,HJ,H10,H7"
1569978243,2,0,1,"C2,C4,CQ,C6;S10,SK,SQ,S8;D3,DJ,DA,D9;S6,S5,S9,S2;D7,DQ,D8,DK;CA,C9,C10,CK;CJ,C7,C3,C8;D6,D4,D5,D10;S7,D2,SA,C5;S4,H4,SJ,H2;H6,H10,H7,HJ;H9,H3,HA,HQ;H5,HK,S3,H8"
1569978243,2,0,1,"C2,CJ,C10,C3;S5,S4,S10,S6;D4,D2,D6,D5;SQ,S8,SK,SA;S7,SJ,S9,C8;D7,D9,DJ,DQ;C6,C7,C9,C5;S2,D10,D8,S3;DA,D3,CA,CQ;C4,DK,CK,H9;HK,H3,H7,H5;HJ,H6,HQ,HA;H8,H2,H4,H10"
1569978243,2,2,1,"C2,C5,CJ,CQ;C8,CK,C9,C3;S5,S4,DQ,SK;S8,SQ,D7,S7;DA,DK,D3,D4;S6,C6,S9,SA;C7,CA,D9,S3;C4,D2,S2,D8;C10,D5,HK,H5;H2,HJ,H6,H4;S10,H7,H8,H10;SJ,DJ,HA,H9;D10,D6,H3,HQ"
