1569978259,2,0,3,"C2,CA,C3,C10;D6,DQ,D4,D7;D5,D9,D2,D3;C4,CK,C6,CJ;DJ,S9,DK,D8;C9,SA,C7,C8;S7,S2,S8,S5;S3,DA,S10,C5;SQ,H8,SK,D10;S4,H7,S6,HA;H2,H3,HK,H9;HQ,H6,HJ,H10;SJ,H4,CQ,H5"
1569978259,2,19,3,"C2,C9,CK,C7;D8,D3,D2,DQ;C4,CQ,C10,C3;D6,SA,DJ,D10;CJ,S8,C8,C5;SQ,SK,S5,S4;S3,S2,S7,SJ;DA,D9,S9,D7;CA,C6,H5,HK;D4,D5,HQ,H8;DK,HJ,H2,H7;H4,HA,H6,H10;S10,S6,H3,H9"
1569978259,2,0,3,"C2,CA,C9,C4;D9,D3,D10,DJ;S10,SJ,SK,S7;C7,C5,CJ,C8;S3,S5,S8,S2;D6,D4,D7,D8;CQ,SA,S6,C3;CK,S9,SQ,C10;D5,DK,DA,D2;H10,H5,H8,H3;HQ,H9,H7,HJ;H2,HK,H4,H6;DQ,HA,S4,C6"
1569978259,2,0,3,"C2,C4,D8,C10;SA,SK,S8,SQ;C9,C7,D9,C5;C6,CJ,DK,C3;S2,SJ,S7,S10;D4,S6,D10,D7;D2,S3,D3,D6;CA,CK,C8,DQ;CQ,H10,H3,HK;DA,HA,H4,DJ;D5,H5,H8,H6;HQ,H9,S9,H2;H7,HJ,S5,S4"
1569978259,2,13,3,"C2,C3,CA,C4;D4,D7,D8,DA;C10,CQ,CJ,S8;S7,S10,SQ,S6;S4,SK,SJ,C9;D6,D10,D2,D9;C8,DK,S3,C6;C5,S5,DQ,C7;D3,H7,H6,DJ;H10,H4,H9,H2;D5,H5,S2,H8;CK,HK,S9,HA;HQ,H3,SA,HJ"
1569978259,2,0,3,"C2,C5,C8,CQ;SJ,S8,S10,SA;C4,CJ,C7,C6;D3,D4,D5,D10;S6,S3,SK,S9;D6,D9,DK,D7;S7,C9,D2,S4;C3,CK,H10,C10;CA,H8,HK,HA;DA,H4,DQ,D8;HJ,H6,H7,S5;H3,H2,H9,DJ;S2,H5,SQ,HQ"
1569978259,2,20,3,"C2,DK,C9,CK;S4,SQ,S7,S8;S2,S9,S10,S5;D6,D9,D2,D3;D8,DA,D4,D10;S6,SK,C4,S3;C7,DQ,C8,CJ;C6,SA,C10,C5;H2,HK,H5,HQ;H3,H4,CQ,H6;H8,H10,H7,C3;H9,HJ,D7,D5;SJ,HA,DJ,CA"
1569978259,2,19,3,"C2,C5,CK,C3;D10,DA,D6,DJ;S2,SQ,S7,S5;D3,D9,D7,D4;S3,S10,SK,SA;D2,DQ,SJ,D8;DK,HK,S9,CJ;C8,H4,C7,CQ;S4,HQ,S6,H9;H8,H5,H6,HJ;C6,C9,HA,CA;S8,H3,H7,C10;H10,C4,H2,D5"
1569978259,2,0,3,"C2,C6,CQ,CK;D7,D4,DK,D5;S5,SK,SA,SJ;C10,C9,CA,D9;C5,C7,C4,S10;S6,S8,D6,SQ;DQ,S2,D8,D10;C3,C8,CJ,DJ;S4,H5,HK,H10;S7,H4,HA,HJ;S3,H7,H3,H8;S9,H2,HQ,H6;D2,H9,DA,D3"
1569978259,2,5,3,"C2,CQ,CJ,C9;D5,D7,D6,D10;CA,C5,CK,C10;D2,SA,DQ,DA;SK,SJ,SQ,S3;D4,C7,DJ,D8;D3,S10,DK,D9;S5,S9,C8,S6;S4,S7,C3,C6;S2,S8,H4,C4;H7,HQ,H2,H10;H5,HK,H3,HJ;H9,HA,H6,H8"
1569978259,2,0,3,"C2,C7,C10,C6;SK,S3,S5,S9;D7,DA,DQ,D10;D5,DJ,D3,D4;S7,S10,SQ,S2;D9,D8,DK,C4;SA,S4,D6,SJ;C9,CQ,C5,CK;CJ,S8,C3,CA;HQ,H5,HK,H9;HJ,H7,H3,HA;C8,D2,H2,H10;H6,S6,H8,H4"
1569978259,2,5,3,"C2,C6,D6,C3;S4,SA,S8,SQ;D2,D5,DA,DQ;S9,S10,SJ,S7;S6,CQ,S5,D10;S2,CK,S3,D9;D7,DJ,D4,D3;C7,CA,C5,H10;D8,SK,H4,H7;DK,HQ,C10,H9;H8,HA,HJ,HK;C8,H6,CJ,H2;C9,H5,C4,H3"
1569978259,2,0,3,"C2,C3,C5,C4;D5,D4,DA,D10;DK,DQ,DJ,D2;D8,D9,CA,D6;SJ,SA,S3,SQ;CQ,S8,C6,CK;S5,S2,S4,S9;CJ,S7,C7,D7;C8,HK,H7,H10;C9,HJ,S6,H6;C10,H2,D3,H4;HQ,HA,H8,H9;H5,S10,SK,H3"
1569978259,2,3,3,"C2,CJ,CQ,C5;D8,D5,D10,D6;SQ,S6,S4,SA;DA,DQ,D9,D4;D3,D2,DK,DJ;C7,C8,S9,C6;S5,S10,SJ,S8;C3,CK,HK,C9;S3,H5,SK,C4;HQ,HJ,HA,H2;H4,H10,S2,H6;H8,D7,H7,H9;C10,CA,S7,H3"
