1569978273,2,9,0,"C2,C4,CQ,C10;C6,C7,CJ,C5;SJ,SQ,S7,S5;D4,DJ,D7,D10;D9,D6,DA,DQ;DK,D8,D3,D2;D5,CK,S6,S3;S4,SA,S2,S8;CA,S9,SK,S10;C9,H10,H4,H8;C3,H6,H2,HQ;C8,HK,H3,H5;H7,HJ,HA,H9"
1569978273,2,0,0,"C2,CJ,C10,C3;D10,DA,D7,D9;S4,S7,S8,SA;DQ,D2,DJ,D5;C7,CA,C9,S2;S10,S3,SJ,S9;D6,D3,D4,D8;C6,HJ,C8,CK;DK,HQ,H5,HA;H2,H8,SK,H10;CQ,H3,H7,S6;C5,HK,H6,S5;C4,H4,H9,SQ"
1569978273,2,6,0,"C2,CA,C9,C6;D2,DQ,DA,D3;C7,C5,SA,CJ;S4,S5,S2,S8;DK,D5,D4,SJ;D8,D10,D6,S6;C10,D9,S7,C8;D7,S3,S10,C3;DJ,H7,SK,H10;SQ,HQ,H6,S9;H5,H9,H4,CQ;H2,H8,H3,C4;HJ,HK,CK,HA"
1569978273,2,2,0,"C2,C8,C10,C4;DA,D9,DQ,D10;SJ,S4,S7,S2;D4,CK,D7,D5;SA,SK,SQ,S10;CA,C7,C9,D8;D2,C6,CQ,DJ;DK,C3,D6,CJ;D3,H9,S8,H10;H5,HQ,S5,H8;H6,S6,H7,H4;HA,S3,H3,H2;C5,S9,HK,HJ"
1569978273,2,1,0,"C2,CQ,CA,C8;SK,S9,S8,S2;SQ,SJ,S3,D3;S6,SA,S10,D6;D4,DK,D5,D9;DQ,DJ,S5,C7;C4,C3,C9,CJ;C10,D7,C5,S7;C6,DA,CK,H10;D8,D10,H6,H7;H8,H9,HQ,H2;H4,HJ,HA,H5;S4,HK,D2,H3"
1569978273,2,0,0,"C2,C5,C8,CA;DA,D2,DK,D5;SQ,S6,S10,S8;S9,S7,S2,S5;D6,D7,DQ,D10;S3,C4,S4,SK;C9,CJ,C3,CQ;SJ,C6,SA,D4;DJ,H8,D3,C10;D9,H7,D8,H2;CK,HK,C7,H4;HJ,H3,H9,H5;H10,HA,HQ,H6"
1569978273,2,0,0,"C2,C4,CK,C10;CJ,SQ,CA,C5;SJ,S4,S6,S7;S3,SA,S9,S8;DK,D2,DJ,D6;D7,S5,DQ,D8;CQ,D10,C7,C9;C8,H8,C3,HQ;S2,H3,SK,H6;S10,H2,H4,HK;C6,H5,H9,D4;H7,HA,D9,D5;HJ,H10,DA,D3"
1569978273,2,14,0,"C2,C9,C10,C8;D5,DQ,D4,D8;S2,S5,SK,S9;D2,DK,D10,DJ;S10,S4,SJ,S3;CK,CJ,C7,C3;C4,CQ,DA,C5;S8,S6,S7,D6;SA,SQ,H5,D7;D3,H9,H3,D9;CA,H4,H2,HA;C6,H8,HK,HJ;HQ,H7,H6,H10"
1569978273,2,18,0,"C2,CQ,C4,CJ;S3,SJ,S9,S8;SQ,D4,S6,S4;D7,DQ,DA,DJ;CA,CK,C7,C5;C9,SA,C6,C10;S7,S10,D3,D6;S5,D2,S2,D5;D10,D8,C3,HK;SK,H5,C8,H3;DK,D9,HJ,H9;H2,HA,H8,HQ;H7,H4,H10,H6"
1569978273,2,0,0,"C2,CQ,C10,C8;SQ,S4,S3,S8;DK,D9,D6,DQ;D5,D4,D10,DJ;C3,CK,C7,CA;C6,S10,CJ,S5;C4,DA,S6,C9;D2,S2,D8,SA;S7,H10,C5,S9;SK,H4,HA,SJ;H8,H2,H9,HJ;D3,HQ,HK,H7;D7,H3,H5,H6"
1569978273,2,4,0,"C2,CA,C9,C3;CK,C6,C8,C7;CJ,CQ,D10,C5;S3,S7,S10,S4;D2,DJ,D3,D7;S2,SJ,SQ,S6;D9,D6,S9,D5;C10,C4,S5,D8;DK,SA,HA,D4;DQ,SK,H10,H4;DA,H3,HQ,H7;H8,H9,HK,H6;H2,H5,S8,HJ"
