1569978280,2,13,3,"C2,C9,CA,C10;S4,S10,SK,S5;SQ,S8,S6,CJ;S7,D8,S3,D2;SJ,DA,S9,D7;S2,D4,CK,C6;DQ,D9,DK,D6;C8,C4,C3,C5;CQ,D10,SA,DJ;C7,H6,HA,D5;D3,H2,H4,HK;H8,HJ,H3,H9;H10,H5,H7,HQ"
1569978280,2,5,3,"C2,C3,CA,C10;D10,D9,D6,DK;S3,SK,SA,SJ;CQ,S6,C5,C4;D8,D4,S9,D5;DJ,DA,C6,SQ;D2,D3,CK,S10;C8,DQ,HK,C9;CJ,HJ,H9,H8;S7,S2,S5,H3;S4,H4,S8,H10;HQ,HA,H7,H2;D7,H6,C7,H5"
1569978280,2,0,3,"C2,C9,CJ,C7;S2,S4,S9,SJ;C8,C5,CA,C10;D3,D6,DQ,D9;S10,SK,S3,S7;SQ,C4,S5,SA;DA,D7,DJ,D4;D5,DK,S8,D8;C3,C6,CK,CQ;S6,HK,H10,D10;H8,H4,H9,H3;HQ,HA,H6,HJ;D2,H7,H2,H5"
1569978280,2,0,3,"C2,C5,C6,C3;S2,SQ,S7,S3;S8,S5,S4,S10;D9,D5,D2,DK;CA,C8,CK,C10;CQ,D4,D3,CJ;C7,D6,S9,C9;DA,SK,D8,SA;D7,SJ,DQ,H6;S6,H10,H5,HQ;DJ,H2,H9,HK;D10,H8,HA,C4;HJ,H7,H4,H3"
1569978280,2,0,3,"C2,C7,C10,C3;S5,S7,SQ,S6;S2,S10,S9,C5;D6,DK,DJ,D2;SK,S4,SJ,C9;CJ,CK,D7,C8;DA,D10,D4,D9;CA,C4,D3,C6;S3,S8,SA,D5;DQ,HK,H9,D8;HA,HQ,H3,H6;H5,H7,H4,H10;H2,H8,CQ,HJ"
1569978280,2,17,3,"C2,C6,CA,C10;SK,S10,SJ,S7;D5,D2,DA,D9;DQ,D8,D6,CJ;S5,S4,S8,SQ;C7,CQ,C5,C8;S2,S6,D4,S9;CK,DK,DJ,C3;SA,D10,S3,C4;HQ,H6,H3,H4;H10,H9,HA,H8;H7,HK,C9,H5;D3,D7,HJ,H2"
1569978280,2,6,3,"C2,CA,C4,C5;S3,S5,S2,S9;C8,CK,C6,C9;D5,DA,DJ,D3;SJ,D10,S10,SA;DQ,D2,DK,S8;SQ,C7,S4,C10;CQ,D7,SK,CJ;C3,H2,S6,D4;H3,H6,H10,H5;H7,HA,HJ,D9;HK,H4,H9,D6;H8,S7,HQ,D8"
1569978280,2,0,3,"C2,C3,C8,C5;S9,S8,S3,S6;D8,D3,D6,DK;S7,SK,CQ,S4;C10,CA,SA,C7;DJ,SJ,D9,D2;D4,S10,DQ,D10;C6,D5,S5,C9;SQ,D7,H10,S2;CK,H3,H6,C4;H5,H7,H4,HK;CJ,H9,H2,HA;DA,H8,HQ,HJ"
1569978280,2,3,3,"C2,C6,C5,C3;S7,SJ,S8,SK;CQ,C7,C8,CK;S3,S5,S10,SA;DK,D4,D2,D3;D6,DQ,D8,D5;DJ,DA,C10,D9;S2,S6,S9,H6;HJ,HQ,H10,H2;H8,HA,H5,H4;SQ,CJ,C4,H9;D7,CA,D10,HK;C9,S4,H7,H3"
1569978280,2,13,3,"C2,CQ,D2,C4;D6,DQ,S4,D9;D8,S2,D7,D5;DK,C7,DJ,D4;SK,C3,S6,S5;D10,CA,DA,D3;C6,SQ,C8,C5;CJ,H5,C10,CK;S7,HA,SJ,H7;SA,H4,S10,H10;S9,H8,H3,H6;S8,HQ,C9,HK;S3,H2,H9,HJ"
1569978280,2,0,3,"C2,C6,CK,CA;S5,S4,SQ,S10;DK,D8,DA,D7;C8,C5,C3,C7;SJ,S8,S7,S9;SK,SA,D6,D3;D9,DQ,D10,D2;D5,DJ,S3,D4;CQ,H5,HQ,C4;C10,HK,H2,C9;S6,HA,S2,H4;H3,H10,H8,H6;H9,HJ,H7,CJ"
