1569978289,2,3,2,"C2,C3,C5,CA;CJ,C7,CK,C4;SK,S8,SQ,S2;D8,D2,D7,D5;DQ,D6,DJ,D4;DK,D9,CQ,D3;S7,SA,SJ,S3;C8,C6,C9,C10;D10,DA,H6,H8;H5,HJ,H9,H7;H10,H2,HA,S5;HQ,HK,S9,H3;S6,S10,S4,H4"
1569978289,2,6,2,"C2,C4,C7,CQ;CA,C9,CK,C8;DJ,DK,D4,D7;S2,S9,SJ,SK;CJ,SA,DA,C6;C5,S3,D6,DQ;C3,S6,D8,S5;D9,D10,D5,D3;H8,H4,HQ,H3;H9,HJ,H2,HK;H10,S7,H7,S10;H5,S4,HA,S8;C10,SQ,H6,D2"
1569978289,2,13,2,"C2,C4,CJ,C5;SJ,S5,S7,D9;S3,SQ,S10,D4;D6,D8,D10,D3;SK,SA,S9,C10;C6,CK,C9,C8;S2,S6,S8,C7;DA,D7,D2,DJ;D5,CA,S4,CQ;DQ,C3,HJ,HQ;DK,HK,H8,H3;H7,H6,H9,H2;HA,H10,H5,H4"
1569978289,2,3,2,"C2,CQ,C8,CK;SQ,S3,S6,S5;SK,SA,S4,SJ;D5,DA,D2,D10;C9,C6,CA,C7;C10,DK,S9,C4;CJ,D6,S2,C5;D9,DQ,D4,D3;H3,HA,H9,S8;H2,HK,H5,D7;HQ,H8,H10,S10;H6,H7,H4,D8;C3,HJ,DJ,S7"
1569978289,2,0,2,"C2,C8,C7,C10;SJ,S9,S3,S4;D9,D4,DQ,D8;S2,D6,SQ,SK;C4,C3,CA,D7;S10,D2,S5,S6;DJ,D10,C5,DK;S7,CJ,S8,CK;DA,H6,CQ,H3;D3,HA,H4,H2;SA,H7,H9,HJ;D5,HQ,C6,H8;HK,C9,H10,H5"
1569978289,2,13,2,"C2,C8,CJ,C7;SK,SA,S7,SJ;DJ,D10,D8,D6;S8,S4,S3,CK;S6,SQ,S5,DA;D5,D7,DK,D2;D9,DQ,D4,C9;S10,C3,D3,C10;S2,C5,C6,CQ;CA,H2,C4,H8;S9,HJ,H4,HK;H3,H10,HQ,H6;H7,H9,HA,H5"
1569978289,2,14,2,"C2,C4,C9,C10;D6,D8,D4,DQ;DK,D7,DA,DJ;SQ,S10,SJ,S2;CQ,CA,C5,C7;SK,S3,SA,S6;S4,S8,S9,S7;D3,D9,D2,D5;CK,S5,C3,C6;C8,H6,D10,CJ;HJ,H3,H8,HQ;HA,H4,H7,H10;H2,H5,HK,H9"
1569978289,2,6,2,"C2,C8,CQ,C9;D7,D8,DJ,D2;SA,S5,SQ,S6;S4,S9,S3,SJ;D3,DA,C10,D5;S8,S7,C7,D4;S10,S2,C6,DQ;CK,C4,C3,D6;SK,H7,CJ,H2;D9,C5,D10,H8;H6,H3,HK,HJ;H10,H4,HA,H9;H5,CA,DK,HQ"
1569978289,2,0,2,"C2,C9,CK,C5;S8,S9,S10,S4;D3,D2,DA,DK;SQ,C3,S3,S6;D7,D9,D10,D5;C8,CQ,SK,C10;DJ,D4,DQ,D8;S2,S7,C6,CA;D6,SA,H6,C4;SJ,CJ,HJ,C7;S5,H10,H4,HQ;H5,H2,H8,H7;H9,HA,H3,HK"
1569978289,2,10,2,"C2,CA,C3,C8;D6,D8,D3,D4;SK,S3,SQ,S7;C7,S10,CJ,C5;DQ,D5,D7,D2;DJ,S5,C4,DA;C9,C6,S8,C10;S4,S6,S9,CQ;SJ,H7,HA,H6;SA,D9,HQ,HK;S2,HJ,H3,H8;H5,D10,H4,H10;H2,DK,H9,CK"
1569978289,2,7,2,"C2,CQ,C7,C9;D2,DA,D9,D3;SQ,SJ,S3,SA;C10,CA,CK,CJ;S2,DK,S9,S5;S8,DQ,S6,C6;S4,C8,S7,C5;D6,H9,D10,D8;C4,H7,D4,DJ;C3,H4,SK,H5;D5,HJ,D7,H6;HQ,HK,H3,H8;H2,S10,HA,H10"
1569978289,2,17,2,"C2,C5,CK,C4;SQ,SJ,S2,SK;D4,DJ,DQ,D10;S10,S9,S8,D7;S6,SA,S4,C10;D8,D3,CQ,D5;C6,D2,C8,CA;CJ,C9,D9,C3;D6,HK,DA,H9;H5,H4,H3,HA;H7,H6,S3,H8;H2,HQ,C7,HJ;H10,S5,DK,S7"
1569978289,2,12,2,"C2,C9,CJ,CA;D9,DA,D7,D4;S10,SQ,S5,S2;SJ,S6,S3,DJ;SK,DQ,SA,D2;S4,D5,S8,D6;DK,D3,C5,D8;C3,C8,C4,CQ;C10,C6,C7,H8;HK,HA,H4,H10;S7,H5,H2,H6;S9,HJ,HQ,H3;D10,CK,H7,H9"
