1569978621,2,3,3,"C2,C5,CQ,CA;D4,DK,DA,D10;SK,S4,S2,S8;SJ,C9,SQ,S10;D7,DQ,D9,D3;D8,D6,DJ,D2;C7,D5,CJ,CK;S3,HA,S7,S9;H7,HK,H3,HJ;H4,H5,C8,H10;H8,H2,H6,C4;C6,C3,HQ,C10;SA,S5,H9,S6"
1569978621,2,0,3,"C2,CQ,C5,C3;SK,SA,S7,S6;D3,D7,D2,DQ;CJ,D5,C4,C10;CK,D9,C8,C6;S8,D10,SQ,SJ;C9,S2,DJ,CA;S5,S9,DK,C7;S3,D4,H10,S4;S10,D8,HA,H7;H2,H8,H6,H5;DA,H4,HK,D6;H9,HJ,HQ,H3"
1569978621,2,6,3,"C2,DJ,C10,C3;C5,SK,CJ,CQ;S5,S9,SJ,C9;D9,D2,DQ,D6;S6,S7,SQ,C7;C6,D7,D3,C4;CA,SA,S8,C8;D10,DK,DA,D4;S3,H8,S2,D5;HK,HA,H3,H9;HQ,H2,CK,HJ;H4,H10,S10,H5;H7,H6,S4,D8"
1569978621,2,1,3,"C2,CJ,C10,C4;S10,S7,S2,SJ;DQ,DJ,D9,DA;SA,S6,CQ,S3;SQ,S8,C3,C9;D4,D10,D8,D2;DK,D5,D7,D6;H6,H3,HK,H8;S5,H9,HJ,HQ;CK,C6,HA,CA;H5,C8,SK,H7;H10,C7,H4,S9;H2,C5,D3,S4"
1569978621,2,4,3,"C2,CK,CA,C8;S7,SA,S9,S6;D6,D7,DA,D8;SQ,S10,S5,C4;C3,DK,C5,CQ;C6,D5,C9,CJ;S2,DJ,S8,C7;SJ,D3,S3,D9;D2,DQ,D10,D4;H2,H4,HJ,H7;H8,H5,H3,H9;HK,H10,H6,HA;HQ,S4,SK,C10"
1569978621,2,8,3,"C2,C7,CJ,C5;D7,D10,D6,D5;S4,S6,SJ,S7;C3,CA,C10,DJ;D9,DQ,DA,D4;CK,CQ,S5,SQ;C8,C4,DK,D3;C9,C6,S9,S2;SK,SA,S8,S10;S3,HK,H7,D8;H8,H9,HJ,HA;H6,H5,H3,H4;H10,D2,HQ,H2"
1569978621,2,4,3,"C2,C9,CA,C10;D4,D5,DA,D8;S7,S9,SJ,S2;CJ,C8,C4,CQ;C6,S4,D2,C3;C5,S8,DJ,CK;SA,S6,DK,D7;SQ,S5,D9,C7;S10,S3,HA,D10;DQ,D6,H3,HJ;SK,D3,H9,HK;H4,H6,HQ,H10;H5,H8,H2,H7"
1569978621,2,0,3,"C2,C6,C3,C5;SQ,S6,S4,S5;DJ,D5,D4,D7;S3,SJ,S7,S8;C10,C7,C9,CA;D8,DK,D10,D3;SA,S2,SK,D6;C4,CJ,S10,D9;S9,H5,DQ,HJ;CK,H7,CQ,H3;C8,HQ,H10,D2;H8,H4,H6,H2;H9,HA,HK,DA"
1569978621,2,13,3,"C2,CQ,C6,C7;D4,D6,DA,D5;SQ,SJ,S6,S8;C3,S4,C10,C8;DK,D2,D9,DJ;D3,DQ,D7,D8;S3,S7,S5,SA;CJ,S2,S9,C9;CA,D10,S10,CK;C4,HA,HK,C5;H5,H2,HQ,H7;H6,H3,H4,H10;H9,H8,SK,HJ"
1569978621,2,6,3,"C2,CK,C5,C9;C10,DK,C7,CA;SK,S3,SJ,S9;S5,S4,SA,S8;D8,D4,D9,DQ;D3,DA,D7,DJ;S2,S6,S7,SQ;C8,HJ,CQ,CJ;D10,H6,D5,D2;D6,H8,H9,HK;S10,HA,H5,C6;H4,HQ,C3,H10;H7,H2,C4,H3"
1569978621,2,5,3,"C2,C4,C10,C7;S6,SQ,S7,SJ;SK,S9,S5,S2;SA,S10,S3,C5;CJ,C8,C9,CK;D5,D7,D4,DA;S8,H10,C3,S4;D9,H6,D6,DK;D10,HA,DQ,D8;D3,H2,DJ,H9;H8,HJ,HQ,H4;H3,H5,H7,CA;C6,HK,D2,CQ"
