1569978622,2,6,2,"C2,CJ,C7,C6;SK,SQ,S4,S2;DK,DA,DJ,D6;C5,C9,C10,C3;D10,D7,D9,D2;D8,DQ,D4,S5;SA,S7,S9,S6;CA,S10,SJ,CK;CQ,HK,S3,C4;HJ,H6,H7,H8;H3,HQ,H4,H10;H2,H9,D3,S8;H5,HA,D5,C8"
1569978622,2,5,2,"C2,CQ,C4,C5;DJ,D3,D5,D8;DA,D10,DQ,C3;DK,D6,SJ,SQ;S5,S8,S4,S10;S9,SK,S6,SA;CJ,CA,C8,CK;D7,S7,S2,D2;S3,HQ,HA,HK;D9,H8,H10,D4;C7,H2,C6,C10;H4,H6,H9,H3;C9,H5,HJ,H7"
1569978622,2,0,2,"C2,C5,CK,C7;S7,S4,S6,S3;D10,D6,D5,D9;CJ,CQ,CA,C6;S8,SA,SK,S2;S9,SQ,SJ,DJ;D7,DA,DK,D8;S5,D4,C8,C4;S10,C10,DQ,C3;H3,HK,HA,HJ;C9,H5,HQ,H10;D3,H8,H4,H9;D2,H2,H6,H7"
1569978622,2,0,2,"C2,CK,C3,C10;D2,D4,D10,D8;S7,SA,S3,S10;D6,DK,D7,DA;S2,S9,S5,SJ;DQ,SK,D9,D5;C7,C8,CJ,CA;S8,C9,C5,SQ;C6,DJ,S4,C4;S6,H7,HK,H5;H2,H4,HJ,H9;H6,H10,HA,H8;CQ,D3,HQ,H3"
1569978622,2,13,2,"C2,C8,CK,CQ;DA,D2,D5,D6;C10,C6,C4,CA;SK,SQ,S10,S5;S2,S9,S7,S8;D10,DQ,D9,D3;D4,D7,D8,DJ;C9,DK,CJ,S6;SA,SJ,S4,S3;C5,H7,H6,C3;HJ,H4,H9,H2;HK,HQ,H3,HA;C7,H5,H8,H10"
1569978622,2,17,2,"C2,CA,C9,C7;D4,DQ,D3,D10;D5,D2,S9,D8;DK,D9,DJ,SA;S10,SJ,S2,S6;SK,CJ,S4,S3;S5,D6,S8,S7;C4,C3,C10,CK;SQ,C6,D7,C5;H6,H2,H3,H5;H4,HQ,HJ,HK;DA,H9,H10,H7;C8,CQ,HA,H8"
1569978622,2,2,2,"C2,C6,C7,C8;SQ,S5,S10,SK;SJ,S4,SA,S7;D7,D10,DK,DA;C9,D3,CQ,C3;D8,D4,D6,S6;DQ,D2,CJ,S8;D5,DJ,CK,S3;D9,HA,C5,HJ;S2,H4,CA,S9;H3,H9,HQ,H5;H10,H7,H2,H6;C4,HK,H8,C10"
1569978622,2,22,2,"C2,CJ,CA,C10;S7,S6,S8,SJ;CQ,C5,CK,C7;DK,D4,D5,D10;D9,DA,D6,D3;S10,S4,S5,S3;C4,C9,C8,C3;S9,D8,C6,S2;SQ,H5,HQ,DJ;SK,HJ,H4,HA;SA,DQ,H9,H6;D7,D2,H3,H10;H7,HK,H2,H8"
1569978622,2,20,2,"C2,C4,C9,CK;S9,S4,SK,S7;D4,D10,D9,D5;C5,C10,C6,CA;S5,S10,S2,C3;DA,DJ,D6,D7;D8,SQ,DK,DQ;SA,D3,SJ,D2;S6,H3,S8,H8;H2,HK,H7,H9;HQ,HA,C8,H10;S3,H5,C7,HJ;CQ,H4,CJ,H6"
1569978622,2,4,2,"C2,C9,CJ,C7;SJ,S10,S4,SQ;D8,D6,D5,D2;D10,D7,C3,DJ;C10,S8,CA,C8;D9,DQ,S6,D3;SK,SA,S7,S3;CQ,S9,C4,DA;CK,D4,C6,DK;C5,H2,H9,H4;S5,H5,S2,H7;H8,H6,HK,HJ;HQ,HA,H10,H3"
1569978622,2,0,2,"C2,CK,CQ,C3;S6,S10,S5,S8;D8,DJ,D7,D3;CA,C10,CJ,C7;D2,DA,D9,D4;D6,D5,C6,D10;S2,S7,C5,S4;DK,H7,SQ,DQ;S3,H10,C4,SK;SJ,H5,C9,S9;HA,H6,H4,H2;H9,HQ,H8,H3;HJ,C8,SA,HK"
1569978622,2,18,2,"C2,C6,CJ,C3;S5,S7,SQ,S6;C4,CA,CQ,C8;D10,DJ,D9,DK;SA,S9,SK,S4;S10,DQ,CK,SJ;D8,D3,DA,D5;C5,D6,S3,C7;D2,D4,C10,D7;H8,HJ,H6,H7;HQ,H3,H9,H4;H10,HK,S8,H2;C9,HA,S2,H5"
