1569978779,2,6,3,"C2,C4,CK,C10;DQ,D8,DA,D5;SQ,S5,SA,S8;S3,S2,SJ,S6;DK,D10,D4,D2;C8,C5,CQ,CJ;SK,S4,S10,C6;S9,D9,S7,D7;CA,D3,C7,C3;C9,H4,H9,H5;H8,HQ,H7,HK;H6,H10,HJ,H2;H3,D6,HA,DJ"
1569978779,2,21,3,"C2,C5,CK,C3;D10,D6,D7,D2;DA,D4,S3,DQ;D5,D8,S9,D9;C6,C4,CA,CQ;D3,DK,SJ,CJ;S2,SK,C9,S10;C10,C8,C7,S6;S4,DJ,SQ,SA;HA,HQ,H5,H9;H10,H4,H8,H7;H2,H3,H6,S7;HK,S5,HJ,S8"
1569978779,2,4,3,"C2,CJ,C10,C9;S10,S8,S3,S7;SQ,S9,S2,SA;C5,D9,CK,CQ;DA,D5,D3,D8;D4,DK,DJ,D6;SK,S6,C4,SJ;S5,C8,C6,D2;D7,H2,H6,DQ;H3,H9,HK,H8;H5,H4,C3,HJ;H7,H10,HA,C7;HQ,CA,S4,D10"
1569978779,2,0,3,"C2,C6,CQ,C10;S7,S6,S3,SJ;DK,D9,DJ,D8;DA,D5,DQ,D10;D3,D4,S9,CK;C5,C8,CA,C7;S10,S4,C4,SK;SQ,S5,H8,H9;S8,H3,D7,H2;S2,C3,CJ,HK;SA,D6,HA,H5;H6,HJ,H7,H4;C9,H10,D2,HQ"
1569978779,2,0,3,"C2,C4,C9,C5;SK,SA,S3,S10;D7,D2,D4,D6;D10,D8,D5,DA;S5,S9,S6,C7;S4,S2,SQ,CK;C6,S8,C8,CQ;DJ,D3,S7,D9;CJ,H10,C10,C3;DK,HA,H5,DQ;HK,H3,H6,H9;H4,H7,HQ,HJ;SJ,H8,CA,H2"
1569978779,2,0,3,"C2,CJ,CQ,CA;D6,D8,D2,DQ;CK,S8,C6,C8;C4,SK,C3,C9;D9,D4,DK,DJ;S4,S5,S7,S2;C10,S9,SA,D3;C5,HA,H5,DA;S10,HK,S3,S6;C7,HJ,H6,D7;D10,HQ,D5,H8;H2,H3,H4,H9;SQ,H10,SJ,H7"
1569978779,2,2,3,"C2,C5,C10,CQ;D6,D3,D5,D2;S9,S2,S7,S4;DK,DA,D7,D10;C9,C4,C6,C8;S5,CJ,SA,S8;DQ,D4,S10,SJ;S6,C7,SQ,SK;CK,H3,HA,CA;H6,HJ,HQ,H2;D8,H4,HK,H10;D9,H7,H9,H8;DJ,H5,C3,S3"
1569978779,2,0,3,"C2,C8,C5,C3;D6,DA,D7,D2;S5,S2,SJ,S6;CJ,D10,C4,CQ;D3,D4,DK,DJ;S10,SQ,S9,SK;C10,SA,C7,CA;C9,S4,S7,CK;D5,DQ,S8,D8;S3,H9,H8,HK;D9,H2,HJ,H7;H6,H10,HQ,H3;H5,HA,H4,C6"
1569978779,2,4,3,"C2,C4,C7,C3;S10,S4,S6,SK;DK,D9,DJ,DQ;D8,C8,DA,D5;S9,S3,SA,SQ;S5,S7,SJ,D10;D4,CJ,D3,D7;CQ,C6,C10,C5;D6,CK,S2,D2;C9,CA,H7,S8;HJ,HK,H8,H5;HQ,H3,H6,H9;H2,H4,H10,HA"
1569978779,2,13,3,"C2,CK,C3,CA;C5,C9,CJ,C8;DA,D5,D6,D9;D2,DK,D8,C4;S9,S8,SJ,SA;D7,DJ,CQ,DQ;SQ,S4,S2,S10;S5,S3,S7,SK;D10,H3,H4,H9;D4,HJ,H10,HK;C7,HQ,H6,C6;D3,H8,HA,H7;C10,S6,H5,H2"
1569978779,2,13,3,"C2,C9,C10,CA;DJ,D10,DA,DQ;C5,CJ,C7,CQ;S5,S7,S10,SK;CK,S4,C8,C4;C6,S8,S3,C3;D7,DK,D4,D9;D5,S6,D2,D8;SJ,S9,SQ,SA;H5,HJ,H8,HA;HQ,H7,H3,H10;S2,H9,D3,H6;HK,H2,D6,H4"
1569978779,2,17,3,"C2,C7,CQ,C6;S8,S3,SK,S10;DA,D5,DQ,DK;C5,C9,C10,C3;S4,S9,S7,SA;D3,D4,D2,C4;D7,D9,DJ,SQ;H8,H7,HK,H4;D6,D10,H9,SJ;S5,S2,HQ,C8;S6,D8,H10,CA;CJ,H2,HA,CK;H6,H3,HJ,H5"
1569978779,2,16,3,"C2,CQ,C9,C7;S8,SK,S4,SJ;D10,DA,DJ,D9;D3,D4,DQ,D5;DK,C6,D7,D8;D2,S2,C3,S6;CK,C8,CJ,C10;D6,SQ,S3,S9;CA,C4,C5,S7;H3,H6,H7,HK;S5,S10,HQ,H8;H4,H2,H9,H5;H10,HJ,SA,HA"
1569978779,2,0,3,"C2,C9,CQ,C5;S8,S4,S7,S9;DA,D2,D4,D10;DK,DJ,D5,D9;D3,D6,D7,C3;C7,C6,CJ,C4;DQ,S5,S10,SQ;D8,C10,CK,S2;CA,C8,SK,S3;H2,H7,H10,H9;HQ,H4,HK,HJ;H3,H5,HA,SJ;H6,SA,S6,H8"
