1569978785,2,3,3,"C2,CK,C10,C9;C7,C5,CQ,C4;S5,S8,SJ,SA;C8,C6,S4,CJ;D7,D8,D3,D2;DJ,D10,D6,D9;S2,S3,SQ,S10;S6,DK,S9,SK;DA,H5,DQ,D4;CA,H8,C3,H2;D5,H10,H9,H6;HA,HK,H7,H4;HJ,H3,HQ,S7"
1569978785,2,3,3,"C2,C7,C10,CK;SJ,S6,S8,SA;D6,D8,D10,D4;SK,S10,S7,S5;DA,C3,DK,D7;S9,S3,S2,C9;SQ,C6,DQ,CA;C5,C4,CJ,C8;HK,HJ,S4,H6;HA,H8,D2,H4;H5,H7,D3,H3;CQ,HQ,DJ,D5;H2,H9,D9,H10"
1569978785,2,6,3,"C2,C8,C10,C4;D4,D8,D6,D9;S9,SA,SK,S3;D5,DA,D10,DJ;DK,DQ,S4,D7;SJ,S8,SQ,S2;CA,C9,C3,CJ;CK,C6,S5,C5;S6,S7,D2,CQ;C7,S10,HA,H7;HK,H8,H3,HJ;H6,H2,H9,H5;D3,H4,H10,HQ"
1569978785,2,0,3,"C2,CQ,C9,C8;D9,D3,C3,D8;D7,DQ,CJ,DK;S9,S5,S7,S10;D4,D6,C4,C6;CK,SQ,C10,C5;CA,S6,C7,S8;D2,D10,S4,SA;H8,H5,H4,H7;HJ,HA,HK,H2;HQ,S3,DJ,H3;SJ,S2,DA,H6;H9,SK,D5,H10"
1569978785,2,2,3,"C2,C5,C6,C10;S10,S2,S6,SQ;CQ,C4,D9,C8;S9,S3,S5,S8;C7,CA,D2,CK;C3,DA,C9,D4;D5,D7,D6,DK;D3,DQ,D10,D8;H3,H8,H4,HK;DJ,H9,SA,H6;SJ,HJ,S4,H2;S7,HA,SK,H5;H10,CJ,H7,HQ"
1569978785,2,10,3,"C2,C8,C4,C5;D4,DQ,D6,D5;C7,D9,C9,C6;S4,S2,S3,S8;DA,D8,D7,SJ;D3,DJ,DK,CK;S6,SA,S7,S10;SK,CQ,S5,S9;D2,H10,D10,SQ;CJ,H5,H4,CA;H9,HA,HK,H7;HJ,C3,H2,H3;HQ,C10,H6,H8"
1569978785,2,0,3,"C2,C8,CK,C4;D8,D3,D2,DJ;SA,S10,S7,S2;D5,D10,D4,DK;CA,C6,CQ,C5;CJ,C9,C3,DA;D7,C10,DQ,SQ;S8,SK,S5,SJ;S6,H5,S3,S9;D6,HA,H10,HK;D9,H4,H7,HJ;HQ,H3,C7,H9;H6,H2,S4,H8"
1569978785,2,5,3,"C2,C8,C7,C10;D5,D7,D3,DQ;SK,SQ,S6,S10;S9,S7,SJ,S8;DK,D6,D9,D4;D10,CK,D8,DJ;SA,C5,S2,CQ;S5,CJ,S4,DA;CA,C4,C6,H8;HQ,H6,HJ,H2;H4,H5,C3,H7;H9,HK,D2,H3;C9,S3,HA,H10"
1569978785,2,4,3,"C2,C5,C6,C7;D2,DK,D5,DA;CQ,CJ,CK,C3;SA,S5,SK,SQ;S6,S7,S4,S9;CA,D9,C10,S8;D3,D8,DJ,D10;C8,S2,C4,SJ;S10,S3,D6,D7;C9,H5,H4,H6;DQ,H3,H9,HK;D4,H10,H2,HA;H7,HJ,HQ,H8"
1569978785,2,17,3,"C2,C5,CA,CK;DQ,D5,D4,DJ;D9,D10,D7,D2;SK,S8,S9,SA;D6,DA,S7,C3;SJ,S10,DK,S6;C9,C6,CJ,C10;C4,C7,C8,SQ;S5,S3,D8,S2;H4,H5,H9,HA;H6,H3,HJ,H8;H10,S4,H7,HQ;D3,CQ,HK,H2"
1569978785,2,7,3,"C2,CA,CQ,C5;D10,D2,D9,DA;SJ,S6,S8,S9;D5,D6,D3,D8;D4,C6,DK,DQ;CK,C8,C10,C9;C3,C7,S5,CJ;S4,SK,D7,S10;SA,SQ,H7,C4;S3,S2,H2,H9;S7,H10,HA,HJ;H8,H5,H3,HQ;HK,DJ,H4,H6"
