1569979542,2,4,0,"C7,C6,CQ,C2;D9,D2,D3,D5;DA,DQ,SQ,D10;D7,D4,S5,S7;D8,S6,C4,SK;S10,S2,S3,SA;C9,C8,CJ,CK;DJ,CA,C5,C3;D6,H2,H6,H5;H10,H9,HQ,HJ;H3,SJ,H7,H8;S8,S9,H4,HK;S4,HA,C10,DK"
1569979542,2,15,0,"C4,CK,C7,C2;D5,DA,D9,DJ;SA,SQ,SK,S3;C10,C9,C8,CQ;D2,D8,DQ,DK;S10,S6,S4,S2;C6,CA,D6,C5;D3,D7,D4,HA;H2,H7,HQ,H9;S8,S5,H10,SJ;H5,H4,H3,H6;C3,CJ,HJ,H8;S7,HK,D10,S9"
1569979542,2,6,0,"CJ,C9,C10,C2;D2,D3,D4,D10;SQ,S6,S7,SJ;C7,S4,C8,C3;S3,SA,S9,D5;S5,SK,C4,S2;D6,DJ,D9,DA;CA,C6,CK,DQ;S10,CQ,D8,DK;S8,HQ,H6,HA;H8,H5,H2,H9;H3,H7,HK,HJ;D7,H4,C5,H10"
1569979542,2,7,0,"C10,C9,CK,C2;D4,DA,D2,DQ;CJ,CA,C5,C8;S2,SQ,S9,S7;D10,C7,D7,DJ;S10,SK,S8,SA;D9,CQ,DK,D5;S5,SJ,S4,S3;C3,D8,C6,C4;S6,H2,D3,H5;H6,H10,HA,H8;D6,H3,HK,HQ;H4,H9,H7,HJ"
1569979542,2,4,0,"CQ,CA,C8,C2;D5,DQ,DA,D4;DK,D7,DJ,D2;C5,C4,CJ,S5;C6,C9,C3,S10;SK,S3,S7,S2;S8,C10,S4,SJ;D8,D10,D9,H3;CK,HJ,H7,H6;H5,HA,H10,H4;S9,SA,D3,H2;H9,HK,HQ,SQ;C7,D6,H8,S6"
1569979542,2,0,0,"CQ,CJ,C8,C2;S4,D6,SK,S10;DK,DQ,D7,D8;DA,CA,D3,DJ;S6,S9,D10,SJ;D2,D5,C4,D9;C10,C5,CK,D4;C7,SA,C3,S2;C9,S5,C6,SQ;HA,H8,H10,HJ;HK,H6,H4,H7;H5,HQ,H9,S3;H3,S7,S8,H2"
1569979542,2,10,0,"CK,SJ,CQ,C2;D2,D4,DQ,DJ;S5,SA,SK,S9;D7,D9,D3,DK;C4,S10,CA,C10;S6,S8,D5,S2;D6,H9,D8,D10;SQ,H7,H2,S7;H4,H6,HJ,H3;CJ,H10,C3,C9;C8,H5,C7,HA;C6,H8,C5,S4;HK,HQ,DA,S3"
1569979542,2,0,0,"C6,C3,C9,C2;D7,D4,D2,DJ;S10,S6,SQ,SA;D6,D8,D3,D10;CQ,C5,CK,C10;S5,SJ,S3,S2;S7,D5,S4,S9;D9,C7,DA,DQ;DK,CJ,C4,C8;H2,H3,HA,H4;HQ,HJ,H7,HK;H10,H6,H9,S8;H8,CA,H5,SK"
1569979542,2,6,0,"C3,CA,CK,C2;DK,DQ,DJ,D8;D5,D6,D2,D7;S6,S4,SQ,S8;SJ,SK,DA,S7;C8,CJ,C7,C6;C5,C9,C4,CQ;S10,S5,D10,S9;S3,H5,H10,S2;H6,H2,HA,H9;H7,HK,H4,SA;H3,HQ,HJ,C10;D9,H8,D3,D4"
1569979542,2,6,0,"CJ,C4,C10,C2;S6,S4,SJ,S8;SA,SQ,S2,D9;D10,DK,DA,D7;S5,S10,S9,D5;CK,C6,C3,CA;S7,SK,C5,D8;C7,C8,H8,C9;H9,HA,HK,HQ;H7,H6,H4,H10;DQ,DJ,H3,D4;D2,D3,H2,D6;S3,CQ,HJ,H5"
1569979542,2,13,0,"CA,C4,CQ,C2;S6,SQ,SA,S2;DQ,D4,D9,D7;S4,DA,S9,SK;S7,S3,DJ,S8;C10,C7,C5,C9;C6,C3,CK,CJ;D6,DK,D2,D5;S10,D10,D8,S5;H10,HA,H9,H3;H4,H2,H6,H8;SJ,HQ,H5,HJ;C8,D3,H7,HK"
