1569979554,2,1,3,"C8,C7,C9,C2;D4,D8,D7,DK;D2,D5,DA,D9;SJ,S2,SA,S6;S5,C5,SQ,SK;C6,C3,C4,CQ;DQ,DJ,CJ,D10;CK,CA,C10,S3;S10,H6,S4,S7;H3,HJ,H10,H9;H8,H2,H7,H5;HQ,H4,HA,S8;D3,D6,HK,S9"
1569979554,2,2,3,"C6,CJ,D4,C2;D9,DA,D10,D2;SA,S7,S9,SQ;S8,S4,SJ,S5;D5,D7,DQ,DJ;C7,CK,CA,S10;D6,D8,C4,DK;S2,SK,CQ,C5;D3,C8,H8,H7;HA,HJ,H2,H5;S6,C9,HQ,H4;H9,C3,HK,H10;H3,C10,S3,H6"
1569979554,2,25,3,"C4,C6,C8,C2;S2,SQ,S3,S5;C5,C3,CA,S7;D2,D7,D3,D4;SA,S10,S8,S6;SK,S4,D8,SJ;C9,C7,DA,D9;C10,CK,DJ,DK;S9,D5,HQ,DQ;H7,H10,H2,H6;HK,H4,H3,HJ;CJ,H9,D10,D6;CQ,HA,H8,H5"
1569979554,2,8,3,"C4,C9,C3,C2;S6,S9,S4,S8;D4,D5,D9,D10;DA,D6,DK,DJ;SQ,S7,S2,S5;C5,C10,CK,C8;S10,S3,SA,CA;D3,D2,CJ,DQ;SJ,SK,HK,HA;H9,H3,H7,HQ;HJ,H4,H6,H5;H8,C6,H10,CQ;H2,D7,D8,C7"
1569979554,2,4,3,"C6,C10,C3,C2;DJ,D4,D3,D6;S9,S2,S10,SA;D7,D5,D9,D8;DA,D10,DK,D2;CA,C7,CK,CQ;S7,SQ,SJ,SK;C5,CJ,C4,S4;C8,C9,S6,DQ;S3,S5,HA,S8;H8,HQ,H3,H7;H4,H5,HJ,H10;H2,HK,H9,H6"
1569979554,2,3,3,"C8,CQ,C9,C2;S3,SA,S9,D2;S5,S8,C6,SQ;D8,D10,DA,D9;CK,C3,C10,C5;DJ,D7,D3,DQ;S6,DK,D4,S10;SK,D5,CJ,S2;S4,HJ,C4,S7;CA,H2,H7,C7;H4,H10,H9,H8;H6,HK,HQ,H3;D6,SJ,H5,HA"
1569979554,2,1,3,"C7,C6,CA,C2;D7,D5,DK,D4;S9,SQ,S7,S2;C4,CQ,C8,CK;D6,D2,D10,D8;S5,SA,S3,SJ;DA,DJ,SK,CJ;C10,C3,C9,H4;H8,H7,HK,H5;HJ,H3,H2,H10;S10,DQ,S4,H9;S8,D3,D9,HQ;S6,C5,HA,H6"
1569979554,2,4,3,"DQ,C7,CQ,C2;CA,C5,D5,CK;SJ,S7,S8,S9;S6,S5,S2,S10;D9,D2,DJ,D8;DK,DA,D6,D4;S4,SA,C3,SQ;SK,D7,C4,S3;H8,HQ,H10,HK;H3,H6,H5,H2;C8,CJ,H7,C9;D10,D3,HA,H4;HJ,C10,H9,C6"
1569979554,2,22,3,"C4,CQ,C8,C2;DJ,DK,D2,DA;CA,C6,C3,CJ;CK,C10,SJ,C7;D5,D9,S2,D6;SQ,SK,S4,S3;S9,C5,S7,S5;H4,HK,H7,H2;HQ,S8,HA,H8;HJ,S6,H3,D7;H6,SA,H5,D10;H10,D4,C9,D3;H9,S10,DQ,D8"
1569979554,2,17,3,"C4,C7,C6,C2;S10,SQ,S9,SK;C3,C9,CA,C5;D10,D3,D7,D4;CK,CQ,CJ,C8;S8,S4,SA,S3;D6,D8,SJ,D2;S7,S2,H7,S6;H2,H10,H4,H5;H6,H8,HJ,H3;HA,C10,S5,H9;HQ,DK,DQ,D9;HK,DJ,DA,D5"
1569979554,2,7,3,"C3,C7,C5,C2;C9,C6,CJ,CA;SQ,S9,SJ,S6;DK,D5,DJ,D10;S4,S8,S7,S10;CQ,D8,C4,D7;CK,D2,C10,D4;C8,H8,H10,H9;HA,H7,H3,HK;H6,H4,DA,HJ;H2,SK,DQ,S2;H5,D6,S5,SA;HQ,D3,S3,D9"
