1569979557,2,0,3,"C3,CK,CQ,C2;SJ,S4,S3,S8;DQ,D2,D3,D5;C6,C10,C5,CA;DK,D6,DA,D9;SK,S9,S2,S10;SQ,SA,S5,S6;S7,C8,D10,CJ;H5,H7,H4,HK;D7,H10,D4,HA;H8,H2,D8,HJ;H3,C4,DJ,H9;H6,C7,C9,HQ"
1569979557,2,13,3,"CQ,CK,C7,C2;S6,S2,S7,S3;DJ,D6,DA,D3;D8,D2,D9,DK;S10,SQ,C8,S8;D4,D10,C3,D7;C6,S4,C10,CJ;SA,SK,S9,C5;C4,D5,C9,CA;H8,HA,HK,H7;H3,H2,H9,H4;SJ,H5,HQ,HJ;S5,DQ,H10,H6"
1569979557,2,0,3,"C8,C4,C9,C2;DJ,D5,D2,D10;SJ,S2,S4,S5;D3,C7,DA,D4;CJ,SK,C5,C3;CQ,S3,SA,C6;CK,DQ,S7,CA;H7,H8,HA,HJ;SQ,S6,H9,S9;H4,H2,H6,H5;HK,D6,H10,DK;H3,D7,D8,C10;HQ,D9,S8,S10"
1569979557,2,26,3,"C10,C9,CK,C2;S5,S10,S9,SA;S4,S8,S6,SJ;DK,D2,D8,D9;DA,D5,D7,D10;C6,C5,C4,S3;CJ,CA,C8,S2;DJ,SQ,D3,DQ;D4,SK,C3,CQ;D6,S7,H2,C7;HA,H8,HJ,H10;HQ,H3,H4,H5;HK,H9,H6,H7"
1569979557,2,0,3,"C8,CK,C9,C2;DJ,DQ,D9,D3;SK,S6,S10,SQ;S7,S9,S4,SJ;DA,D8,D7,D6;DK,D5,D10,S8;C5,C3,CQ,C10;C4,CJ,C6,S3;SA,S2,C7,S5;D4,H10,D2,H5;HQ,HK,HJ,H2;H9,H8,H6,HA;H3,H4,CA,H7"
1569979557,2,13,3,"C4,CJ,C3,C2;SA,SJ,CA,SK;C6,CK,C8,C9;D5,D9,DQ,DJ;C10,D2,C5,C7;S7,D7,S3,S5;SQ,DA,S6,S9;S4,H6,S10,S2;HJ,H7,H10,H4;H5,H2,HK,H9;DK,HQ,D10,D3;D6,H3,D8,D4;CQ,HA,H8,S8"
1569979557,2,17,3,"C6,C9,C4,C2;S2,S3,SJ,S4;CA,C10,CK,DJ;DQ,D9,D4,D6;S5,S8,SK,S10;CQ,C7,D2,C3;D3,DK,DA,D7;S7,SA,S6,C8;SQ,CJ,S9,D10;H8,H7,HQ,HK;H2,H3,HA,H10;H6,H4,H5,H9;D5,C5,HJ,D8"
1569979557,2,2,3,"CJ,C7,CK,C2;S9,S8,S5,S3;SK,S4,D4,S6;S2,DK,C10,S7;C3,C9,C5,CA;D9,D7,DA,D5;C8,S10,DJ,C4;D3,D10,H6,D6;SQ,H3,SA,HK;HA,H8,HQ,HJ;H4,H5,CQ,H9;SJ,H2,D2,C6;D8,H7,H10,DQ"
1569979557,2,4,3,"C6,C10,C9,C2;SK,S4,SA,S3;S2,S8,S7,S6;D9,D4,D5,DA;S5,SQ,S9,D8;DK,DQ,D2,D6;D3,D7,C5,CK;CJ,CQ,CA,C8;C3,C7,DJ,SJ;HK,H2,HJ,HQ;H5,HA,H8,H6;H3,H9,H4,H7;C4,D10,H10,S10"
1569979557,2,0,3,"C8,C9,C4,C2;D4,DK,DA,D3;D2,D8,D10,D6;S3,S5,S4,SQ;S2,SA,SK,SJ;C7,C10,CJ,CQ;CK,C6,C5,CA;D9,DQ,D5,DJ;S7,S8,H4,S9;H8,H3,H7,H2;H5,S6,HQ,HK;HJ,S10,H10,HA;C3,D7,H9,H6"
1569979557,2,13,3,"C10,CQ,C5,C2;DJ,D2,D7,DQ;SA,S2,SK,SQ;CJ,C3,C9,CK;DA,D3,D6,D5;S10,S5,S6,SJ;S4,S7,C8,S3;C7,CA,S8,C6;D9,C4,DK,D4;H2,H6,H8,HJ;S9,H9,H7,H3;D10,H5,D8,H10;HQ,H4,HA,HK"
1569979557,2,4,3,"C6,CK,CJ,C2;DQ,D2,D6,D3;S10,SQ,S7,S5;S6,S2,C10,SA;D8,DJ,D4,D9;C5,C9,CQ,CA;C3,C7,C4,S3;DA,DK,D5,HK;H10,H2,C8,H7;H4,HQ,S9,H6;H9,D7,HJ,H3;H8,S8,SJ,H5;HA,SK,S4,D10"
1569979557,2,4,3,"CK,C4,CJ,C2;DQ,D8,D10,D2;S9,SJ,S5,S3;D3,D5,C10,D4;S2,SQ,DK,S10;C9,C6,CQ,CA;S6,SA,D7,S8;C8,HK,H5,H10;H7,HJ,HA,H2;H8,H9,H4,D9;D6,C5,H3,SK;DJ,C3,HQ,S4;DA,C7,H6,S7"
