1569979565,2,17,2,"C7,C6,CQ,C2;SQ,S10,S3,S9;C9,C5,C3,C10;S5,SA,SK,S4;D4,D5,D6,DQ;D10,DA,D7,D2;S2,C4,S8,C8;SJ,S7,CJ,CK;D3,D9,D8,CA;S6,H3,H10,H7;H2,H5,HQ,H8;H6,H9,HK,HJ;H4,DJ,HA,DK"
1569979565,2,17,2,"CK,C6,C8,C2;S3,SJ,SA,S4;D8,D6,D4,D10;SK,S2,S10,S7;S8,C4,S5,CJ;S9,C3,D2,C10;S6,DK,CQ,DQ;C5,CA,D5,C9;D3,SQ,DA,D7;HK,H6,H4,H7;H5,H8,H2,HQ;HA,H9,C7,H3;DJ,HJ,D9,H10"
1569979565,2,7,2,"C5,C9,CK,C2;D5,DA,D9,D6;C3,CA,CJ,CQ;S6,SJ,SA,S10;C8,C10,DJ,SQ;S3,D10,S9,S8;DK,D2,DQ,D4;SK,S5,D3,S7;S4,D7,D8,S2;HA,H6,HK,H2;HQ,H5,H9,C4;H7,H8,HJ,C7;H4,H10,H3,C6"
1569979565,2,13,2,"C8,C3,C9,C2;D2,DJ,D6,DQ;D7,D4,D8,D10;C10,CA,C7,C6;S7,S8,S9,SQ;D9,D3,C4,CK;SA,C5,SJ,S5;D5,DK,S6,S2;CJ,SK,DA,S10;CQ,H7,H4,H9;H6,H2,HQ,HA;H3,HK,HJ,H8;S4,H5,H10,S3"
1569979565,2,0,2,"C3,C9,CA,C2;DK,D8,D6,D9;D7,D4,SA,D5;C5,C10,C6,CJ;S3,S6,SQ,SK;S5,S10,S7,S4;D3,DA,S2,D2;D10,DJ,S9,DQ;CQ,C4,CK,H2;H7,H3,H6,H8;HK,H9,HQ,H5;HJ,C8,C7,H4;HA,S8,SJ,H10"
1569979565,2,7,2,"C10,C6,CQ,C2;SQ,S6,S8,S3;D7,DJ,D10,D2;D4,DQ,D3,D8;CK,C3,CA,C9;SJ,S4,S9,S10;D6,D9,S2,CJ;SK,S5,DK,SA;C5,C7,H4,C8;HK,H6,HA,H5;H9,HQ,H8,D5;S7,H3,DA,H7;H2,H10,C4,HJ"
1569979565,2,20,2,"S6,C10,CA,C2;D10,D2,D5,D7;S3,S9,S7,S8;C8,S4,C9,CK;D9,D8,DJ,D4;H6,HA,HK,HJ;DA,H7,S2,D3;SK,H4,S5,SJ;S10,H2,SA,C5;H9,H8,H5,SQ;C6,HQ,C4,DK;CJ,H3,C7,D6;CQ,H10,C3,DQ"
1569979565,2,8,2,"C4,C8,C9,C2;C7,C10,D8,C3;S2,SQ,SA,SK;D2,DJ,D4,DA;C5,C6,S4,D9;S6,S7,S8,S5;D5,D6,D3,CK;SJ,D7,S3,S9;S10,D10,CA,HQ;H7,H4,H5,H9;HK,H3,H6,HJ;H10,HA,CJ,H2;DQ,H8,CQ,DK"
1569979565,2,2,2,"C5,CA,C4,C2;S5,S2,S6,S8;D3,DK,D5,DJ;SA,S10,S7,S4;DQ,D2,D8,D9;SK,SQ,SJ,S3;CK,C9,C10,C8;C6,CJ,D4,D7;CQ,C7,H3,HK;H9,H2,HQ,H4;H5,HJ,H10,HA;H7,D6,DA,H6;H8,D10,S9,C3"
1569979565,2,5,2,"CA,C5,C9,C2;S8,S7,SJ,S2;D5,DK,D10,D6;CJ,C8,C4,C6;C3,SQ,C7,CQ;D4,DJ,D9,SA;S5,D2,S6,S3;D3,DA,CK,DQ;C10,HA,H10,H5;H8,H6,D7,HJ;H3,H2,H7,S4;H9,H4,D8,SK;HQ,HK,S9,S10"
1569979565,2,0,2,"CK,C6,C4,C2;SQ,S2,S8,SK;DQ,D4,D6,D8;C5,SA,C3,CQ;D7,DA,D5,D2;S10,S9,SJ,S3;CJ,C9,C10,S6;S5,D9,S4,S7;DK,DJ,D3,C7;H9,H10,HA,H2;H8,HK,H7,H3;CA,H5,D10,HQ;C8,H4,H6,HJ"
