1569979574,2,8,3,"C4,C8,C9,C2;C5,C7,CQ,S7;D5,DQ,D3,D7;SK,SA,SJ,S3;C10,CJ,CK,S8;SQ,S9,S4,S2;DJ,D10,D2,S5;DK,D6,DA,S10;C3,D8,D9,S6;CA,D4,HA,H7;H4,H5,H8,HQ;HJ,H9,H3,H6;H2,H10,C6,HK"
1569979574,2,3,3,"C3,CQ,C6,C2;S8,S2,SJ,S6;DA,D10,D4,D2;C10,C9,CA,SA;C7,C4,CJ,S9;D9,D6,D8,D3;S3,S7,C8,SQ;S10,D5,C5,S5;SK,CK,DQ,S4;H7,H8,HQ,H9;DJ,HA,H4,D7;H5,HK,H3,H10;H2,DK,H6,HJ"
1569979574,2,1,3,"C7,CJ,C4,C2;C3,C10,C8,CQ;SK,S4,S10,SA;DQ,D3,D2,SQ;D7,D10,D4,S9;CA,DK,SJ,C9;CK,DJ,S3,C6;S7,S2,HK,S5;H8,H4,H6,HQ;H5,DA,H2,H10;HJ,D8,HA,S8;S6,D9,D6,H9;H3,D5,C5,H7"
1569979574,2,2,3,"C10,CA,C4,C2;SK,SQ,S4,S5;D8,DK,D7,DJ;DA,D10,D4,D9;D5,CK,D6,DQ;S8,S10,S9,S7;C7,C9,C3,C8;S3,S2,S6,CJ;SJ,H3,SA,H10;H5,HJ,H9,H6;CQ,HK,C6,HQ;C5,H4,D3,H8;HA,H2,D2,H7"
1569979574,2,0,3,"C8,C3,CK,C2;SA,D3,S10,SK;DK,D10,D8,D6;S8,D7,S2,S7;C7,CJ,C10,C5;DA,SJ,D5,D2;D9,C4,DJ,DQ;S6,H7,S4,S9;HJ,H5,HK,H6;CQ,H8,H4,H10;C9,H9,H2,D4;C6,HA,HQ,S3;CA,H3,SQ,S5"
1569979574,2,0,3,"C6,C4,C8,C2;C3,C9,C5,C7;D9,DA,D2,DJ;SK,S8,SA,S3;CJ,S10,CK,CQ;D8,D10,D5,D3;S5,DQ,S6,S2;SJ,C10,S9,SQ;D6,HQ,DK,D7;H3,H9,H10,H8;H4,HA,H2,H7;H6,S7,HK,HJ;S4,CA,H5,D4"
1569979574,2,0,3,"C3,C5,C9,C2;SJ,S9,S8,S4;S3,SA,S7,DK;CJ,C7,C6,C8;CK,CA,C10,S2;D6,D5,D10,D7;S6,D9,SK,S5;D4,DA,DQ,D8;CQ,DJ,HA,C4;H5,H10,H7,HK;S10,D3,H4,HJ;SQ,H8,H6,H3;H9,D2,HQ,H2"
1569979574,2,13,3,"C5,CA,C3,C2;S9,SQ,SJ,S10;DJ,D5,D8,D2;S5,S8,S3,S7;C10,DQ,CJ,D4;CK,S6,C4,DK;C8,D7,CQ,D6;SA,S4,D10,SK;H9,HA,H3,H7;DA,C6,H5,H6;D3,C7,HJ,HQ;D9,HK,H2,S2;H4,C9,H10,H8"
1569979574,2,16,3,"CK,S5,CA,C2;S4,SK,S3,SA;DK,DA,D6,D5;CQ,C8,D9,C3;C4,C10,D2,S8;D8,C9,D10,D4;SJ,C5,DJ,S9;SQ,CJ,C6,S2;S10,C7,DQ,D3;S7,H3,H9,H4;H6,H2,H7,H5;HJ,HK,H8,HA;D7,HQ,S6,H10"
1569979574,2,22,3,"C10,C8,CA,C2;D2,D7,D9,D5;SK,SJ,SA,S8;D4,D8,DK,DJ;CK,C4,CQ,CJ;S9,S7,S4,S10;C6,S6,C7,C3;S5,S3,S2,C9;DQ,H9,D6,DA;HK,H10,H4,H5;H2,H6,H7,H3;HJ,H8,HQ,D3;C5,HA,D10,SQ"
1569979574,2,5,3,"CK,CQ,C7,C2;D2,D6,D5,D9;SQ,S10,S7,SA;C3,C5,C8,C4;D4,D8,D10,DK;S9,S5,S2,S6;DA,C9,DJ,D3;D7,H2,S8,DQ;H6,HQ,HA,H10;H4,HJ,H8,HK;CA,H5,C10,CJ;S4,H7,S3,SJ;H9,H3,SK,C6"
1569979574,2,0,3,"C3,C10,C7,C2;D6,D9,DK,DA;S7,SQ,S3,SA;SK,S6,S2,S5;C9,CJ,CK,C4;S10,SJ,S9,D10;D3,DQ,D2,D8;CA,C5,D5,C6;S8,CQ,S4,DJ;D4,H8,H3,D7;H9,H10,HQ,H2;H7,H5,HA,H4;C8,HJ,HK,H6"
1569979574,2,3,3,"C9,CA,C8,C2;S2,SJ,SQ,S8;DA,D6,DJ,D3;CJ,C5,C10,C4;D9,DK,DQ,D5;S6,S9,S4,S3;D8,D2,C7,D7;D4,CQ,C6,D10;SK,S10,S5,HQ;H9,H5,H10,H6;HA,H3,S7,HJ;H4,H8,CK,H7;H2,SA,C3,HK"
