1569979575,2,0,0,"C6,C9,C3,C2;DA,D9,D2,D5;DK,S5,D10,D3;DQ,CQ,D8,D7;CK,C5,CJ,C4;S4,S2,S9,S8;C7,SQ,H3,HK;CA,S3,HA,H5;C10,SA,H9,D4;HQ,H4,H8,H2;S6,SJ,HJ,S7;DJ,H10,SK,S10;D6,H7,H6,C8"
1569979575,2,0,0,"C3,CQ,C9,C2;D8,DJ,D4,D9;SA,S4,S5,SJ;S8,SK,S10,S9;C4,C8,CJ,D2;C5,C6,CA,D10;D3,D5,D7,D6;C10,C7,DA,S2;DQ,SQ,S6,DK;H4,H3,H10,H9;H2,HJ,HQ,HA;HK,CK,H6,H8;H7,S7,H5,S3"
1569979575,2,0,0,"CK,C6,CJ,C2;S8,S7,SA,S10;DK,D7,D9,D5;D2,D4,C4,DJ;S6,SQ,SJ,SK;DA,C3,S3,DQ;D8,CA,CQ,S4;D3,S9,S2,C10;D6,S5,C5,C8;C7,HQ,C9,H2;H8,HK,H10,H9;H4,H7,HJ,H3;D10,HA,H5,H6"
1569979575,2,4,0,"C6,C5,S5,C2;SQ,S8,S9,S2;S7,SK,D3,S4;D4,DJ,D8,D7;D6,DQ,D10,DA;CA,C9,C10,D2;CK,C4,C3,D9;D5,C8,C7,DK;H9,H8,H2,HQ;CJ,H4,CQ,HA;H6,H10,H7,H3;S10,S3,H5,SA;HK,SJ,HJ,S6"
1569979575,2,19,0,"C7,CQ,C5,C2;S9,SK,S6,S5;D2,D7,D5,DK;C8,C4,C9,D4;SQ,S4,S10,S2;D8,C10,DQ,D3;CJ,C6,D6,CA;S8,C3,SJ,SA;S3,H6,DJ,D10;H3,H8,H4,HJ;H7,H9,H10,HA;D9,HK,H2,DA;H5,HQ,CK,S7"
1569979575,2,4,0,"CA,C5,CJ,C2;DQ,D3,D6,D7;D5,DA,DK,D9;C6,CK,C9,CQ;SA,S6,SK,S8;S2,S10,SJ,S7;C10,C4,C3,C8;S3,D8,SQ,S5;D10,DJ,D2,D4;H10,H7,H4,HJ;S4,H2,HA,S9;H6,HK,HQ,H5;H9,H8,H3,C7"
1569979575,2,0,0,"C10,CA,C4,C2;S6,S8,S9,S7;CJ,C8,D9,C5;CK,C9,SA,S5;C3,C7,DA,SQ;SJ,D2,SK,S4;C6,DK,D8,D6;S3,D5,S2,DQ;CQ,D4,H9,H5;H7,HJ,H2,H10;HQ,HA,DJ,H6;H3,HK,D7,H8;D10,D3,S10,H4"
1569979575,2,17,0,"C5,C8,C4,C2;D4,DQ,D5,DA;C10,C7,CK,S10;D7,SA,D2,D3;DK,S8,DJ,D10;D6,SK,SQ,S4;D9,S2,S3,C6;D8,C3,SJ,CJ;S5,S9,H5,S7;H7,HQ,HJ,HK;H6,H4,HA,H10;CA,H3,H2,C9;CQ,H9,H8,S6"
1569979575,2,9,0,"C9,CQ,C6,C2;D10,D4,D3,DQ;SK,S10,S2,S6;S9,S5,S3,S8;CJ,C4,CK,C3;SA,SQ,SJ,S7;C7,C8,C5,D7;D8,DA,DJ,D2;S4,D6,C10,D5;D9,DK,H5,H9;H7,H3,H6,HA;HJ,H4,H10,HQ;CA,H8,HK,H2"
1569979575,2,0,0,"C9,C8,S10,C2;C7,CA,DJ,CJ;S9,S8,S5,DK;SK,SJ,S7,CK;D3,D10,D4,D2;S4,SQ,C10,S2;C6,C3,D6,S6;CQ,C5,D7,DQ;C4,DA,D9,D8;SA,H10,H5,S3;H8,HA,HK,H7;H3,HJ,H6,HQ;H4,H2,H9,D5"
1569979575,2,13,0,"C5,CK,C4,C2;SJ,S4,S3,S10;S8,S6,SQ,S9;CQ,C10,CA,C6;D9,D5,D8,DA;D4,D6,D2,DK;S5,C3,S7,DQ;SK,C9,DJ,C8;S2,H2,H10,H7;H4,HJ,HK,H9;D7,H6,D10,D3;H3,HQ,CJ,HA;SA,H5,H8,C7"
