1569979583,2,3,2,"CK,C6,CJ,C2;S3,S10,SQ,S5;D6,DQ,D10,D2;SJ,S6,S2,C3;CQ,S8,C7,C10;C9,S4,D9,C5;C4,S9,D5,CA;C8,D3,DK,DJ;D4,D8,DA,H3;H7,H10,H4,H8;HQ,H2,H6,SA;SK,HA,HJ,S7;H9,HK,H5,D7"
1569979583,2,0,2,"C7,CQ,CJ,C2;S3,S10,S7,SQ;DA,D10,D3,DQ;D6,DK,D4,DJ;C6,C10,D9,SA;S5,C5,S6,S9;S2,CA,S4,SJ;C9,C8,S8,D2;D5,C4,D8,D7;H3,H2,HQ,HK;H8,H4,HJ,H10;H9,CK,HA,H7;SK,C3,H6,H5"
1569979583,2,8,2,"D7,C4,CJ,C2;D5,DQ,D8,SA;S9,S6,S4,S3;C3,S7,C9,CA;DA,D6,C5,D9;D2,D10,C10,C7;DK,D4,S5,CQ;D3,SJ,C6,C8;DJ,S10,CK,S2;S8,HQ,SQ,SK;H6,H3,HK,H5;HJ,H10,HA,H7;H8,H4,H9,H2"
1569979583,2,13,2,"C10,C7,C5,C2;SQ,S5,S2,S9;DQ,D9,DK,D4;CA,C3,C6,C9;D8,D2,D6,D7;CK,C4,S10,DA;SJ,S6,SA,S7;S8,C8,S3,SK;DJ,D3,H8,S4;D5,H5,H10,H3;CJ,HQ,H6,HK;CQ,H4,HA,H2;D10,HJ,H9,H7"
1569979583,2,18,2,"C9,CK,C7,C2;S5,SA,SK,S9;D8,D9,DK,D4;D2,DA,D3,D5;CJ,CQ,C10,C5;DQ,D10,DJ,D7;S7,CA,S4,S2;C6,C4,C3,S10;D6,C8,S8,SJ;H10,H9,H3,HA;S6,H4,SQ,H5;H2,HQ,HK,H7;H8,H6,HJ,S3"
1569979583,2,2,2,"C5,C6,CJ,C2;SK,S9,S10,SJ;S8,S6,SA,S7;C8,C3,CQ,CA;S5,S3,D4,S2;DJ,D8,D9,DK;CK,C9,D5,S4;C10,C4,D10,D7;SQ,DQ,D3,D6;HK,HA,H6,HJ;H7,H2,HQ,H4;D2,DA,H8,H5;H3,H9,C7,H10"
1569979583,2,11,2,"C10,C3,C5,C2;D9,DQ,D4,D8;SA,SJ,S10,S4;S6,S5,S8,SQ;S7,S9,C6,S2;C8,D3,C9,CQ;S3,D5,C4,D7;SK,H7,H5,D10;H9,HA,HQ,CA;HK,H4,H6,D2;H10,H2,H8,DA;HJ,CJ,C7,DJ;H3,CK,DK,D6"
1569979583,2,7,2,"C3,C7,C6,C2;S9,SQ,S10,S7;DA,C9,D10,DJ;D5,S5,DQ,D4;C10,SJ,C5,C4;S6,S3,SA,S4;D3,S2,CQ,D9;D2,S8,D8,SK;CJ,H2,CA,H6;H9,H3,HJ,H10;CK,H7,D7,HK;D6,H4,DK,H8;HA,HQ,C8,H5"
1569979583,2,18,2,"C7,C5,C9,C2;D2,D4,D10,DK;S9,CJ,SJ,S7;D6,C4,D3,DJ;SA,C10,SK,S10;D8,HK,DA,D5;SQ,H8,H4,S8;S5,HA,H6,S3;CK,HJ,C6,CA;CQ,H10,C8,S2;C3,H9,HQ,S6;H7,H2,D9,H5;DQ,H3,D7,S4"
1569979583,2,19,2,"D7,C3,C9,C2;C8,CJ,S2,C4;SK,S9,S7,SQ;S5,S10,S6,SJ;D2,DJ,DQ,D10;S8,C7,D5,SA;CK,C5,S4,DA;C10,CQ,D8,D4;D9,D6,S3,DK;D3,H9,H7,HQ;H5,H2,H4,H10;H3,HJ,HA,H8;CA,HK,H6,C6"
1569979583,2,15,2,"C10,C6,CQ,C2;D6,DQ,D9,DJ;S4,SK,SQ,S6;CK,C7,CA,C5;D7,DK,S2,D8;S10,SJ,SA,S8;D3,S7,DA,C9;C8,CJ,C4,C3;S5,D10,D2,S3;H8,HA,H10,H2;H6,HQ,H5,HK;S9,H4,H7,HJ;H3,D4,H9,D5"
