1569979592,2,0,2,"C9,CA,C5,C2;SK,S6,S10,S5;S8,S4,SJ,SA;D3,D10,D7,D8;C3,C10,CK,SQ;D9,D2,D5,D4;S9,CJ,DA,DK;S7,C6,DQ,H9;HJ,HA,H8,HK;C4,C8,S3,H4;HQ,H7,H10,H6;H5,D6,S2,H3;CQ,C7,DJ,H2"
1569979592,2,5,2,"C7,CK,CJ,C2;SJ,S5,S6,S2;CQ,C4,CA,C10;DK,C3,D5,D8;SQ,SK,SA,S7;C9,C6,C5,D4;D10,S3,D7,D9;C8,H4,D2,DJ;HQ,H9,H5,H10;H2,H6,S4,H8;S8,HJ,S10,S9;DQ,H7,HA,D3;D6,HK,H3,DA"
1569979592,2,15,2,"C4,CQ,CK,C2;D10,D7,D9,DA;S2,S6,S3,SJ;DJ,D4,D5,D8;CJ,C6,C9,D2;C5,S10,C7,S8;S9,S4,S7,S5;C10,SQ,CA,D6;DK,DQ,H6,HJ;H8,H3,HK,H9;C3,H10,H2,HA;C8,SK,H4,H7;SA,H5,D3,HQ"
1569979592,2,16,2,"C4,C6,C7,C2;SJ,S6,S9,S4;SK,S2,S3,SA;D2,D5,D3,DK;DA,D8,D7,D9;S8,S5,S7,DQ;DJ,D6,CA,D4;CJ,C8,CK,C9;C5,CQ,C10,H10;HJ,HK,H4,H7;HA,HQ,H5,H3;S10,H2,H6,SQ;H8,H9,C3,D10"
1569979592,2,1,2,"CQ,CA,C9,C2;SA,S4,S7,S2;DQ,DK,D10,D3;CK,C7,SJ,CJ;C4,DA,S5,C8;S3,S10,SQ,S9;DJ,SK,D4,D5;D8,S6,D9,D6;C6,H4,D2,C10;H10,H6,H8,HK;C5,HJ,H3,S8;HA,H2,H7,HQ;C3,H5,H9,D7"
1569979592,2,0,2,"CQ,CA,C8,C2;SK,S2,SQ,S6;C6,C9,D5,CJ;SJ,S7,S5,S9;D8,D6,D2,DQ;DA,D7,DK,SA;S10,S8,C3,S3;D4,DJ,D10,CK;C5,D3,HJ,C10;HA,H2,HQ,H10;HK,H7,H4,C4;H9,H8,H3,D9;H6,S4,H5,C7"
1569979592,2,7,2,"C5,CK,CJ,C2;D8,D2,DQ,D5;C7,C8,C10,C6;S9,S5,SA,S2;D3,S10,D6,DK;S6,SQ,SJ,S3;S8,DA,C3,S7;SK,D4,D9,DJ;S4,CQ,C9,D7;CA,H3,HQ,HK;H5,H2,H9,HA;D10,HJ,H6,H4;H7,H8,C4,H10"
1569979592,2,3,2,"C6,CJ,C10,C2;D4,DJ,D7,D5;S2,S10,SK,SJ;D3,S7,D9,SA;D6,S5,DA,S8;CK,C3,C4,C8;C5,C7,S4,DQ;SQ,CQ,S9,D2;S3,HK,H7,H5;H8,H9,HJ,H4;H3,C9,H10,HA;D8,D10,H6,S6;CA,HQ,DK,H2"
1569979592,2,17,2,"C4,C9,C5,C2;D8,D3,D9,D6;C3,CQ,S8,DJ;S7,S9,S6,SQ;D5,D4,D10,DA;S3,S4,CK,SA;D7,DQ,C6,D2;SJ,C8,S10,SK;S2,H3,C10,HQ;H4,H9,H7,HJ;H6,H8,HA,HK;CJ,H5,H10,C7;CA,H2,DK,S5"
1569979592,2,7,2,"C6,C9,C10,C2;S4,S9,S7,SQ;D3,D10,DQ,D5;C4,C8,C7,C5;C3,CJ,CA,CK;D9,DA,DK,D4;D2,SJ,D6,D8;S3,S2,S6,DJ;S8,SA,H4,S5;H3,HQ,H8,H7;HA,H5,S10,HJ;H10,H2,CQ,HK;D7,H6,H9,SK"
1569979592,2,4,2,"C9,C8,C5,C2;S10,S3,S6,S8;S2,S4,S5,SQ;C3,D10,C7,CJ;S7,S9,DQ,SK;CQ,DJ,CK,C4;D6,D9,D2,DA;SJ,SA,D3,D5;CA,H2,C10,C6;H5,H3,H10,HK;H6,H4,H9,H8;DK,HQ,D4,D8;D7,HJ,HA,H7"
1569979592,2,17,2,"C9,CQ,C10,C2;DA,D8,D6,D7;S7,S8,S2,SA;SJ,S5,S6,SK;DQ,DK,D4,S10;C8,C4,C6,CJ;C5,S3,C3,CA;D9,D10,D3,C7;S4,DJ,S9,SQ;D2,HA,H8,D5;H6,H5,H10,H7;HQ,H9,HK,HJ;H2,CK,H3,H4"
1569979592,2,3,2,"C5,C3,C10,C2;S2,S8,S6,S4;C4,CJ,CK,CQ;D9,D3,D10,D7;C7,S7,C6,CA;S10,S3,SJ,SK;C9,D4,C8,D6;D5,DK,DA,DQ;SQ,DJ,S5,S9;D8,D2,HQ,H7;HA,H9,H8,H5;H3,HJ,H4,H6;H10,HK,H2,SA"
1569979592,2,6,2,"CK,C8,C5,C2;C3,C9,CA,CJ;D10,DJ,D9,DQ;SK,S9,S7,S6;S4,C4,S10,S3;S8,C6,S5,SJ;S2,SQ,D8,C7;D4,DA,D3,D5;SA,D6,DK,CQ;D7,HK,HA,D2;H10,H9,H8,H4;H7,HQ,HJ,H5;H6,C10,H3,H2"
