1569980687,2,4,3,"CK,CJ,C8,C2;SJ,S4,S2,SQ;DQ,D6,D3,D7;D9,DA,D10,D8;S9,S7,S6,S5;SK,S3,DJ,S10;S8,C6,D4,SA;D2,C9,D5,DK;C10,C7,CA,CQ;H10,H8,HJ,HQ;C3,H9,C5,H5;H6,H3,HA,H4;H2,C4,HK,H7"
1569980687,2,3,3,"C3,C10,CQ,C2;D2,D9,D3,DA;S3,S2,S4,S6;SJ,SK,S7,S8;DQ,DK,DJ,SQ;C7,CK,C8,S10;D4,HA,D7,HK;H8,H3,HJ,H10;H7,CA,H4,H2;CJ,C4,C5,HQ;D6,C6,D10,H9;S5,SA,S9,H6;D8,C9,D5,H5"
1569980687,2,20,3,"C7,C3,CQ,C2;C5,C9,C10,C6;D5,D2,DK,D10;DA,D6,D8,D4;D7,D3,CJ,DQ;S8,S6,S4,SQ;C4,S9,CA,CK;SK,S7,S10,S5;SJ,S3,C8,DJ;SA,S2,H2,H8;HJ,H5,H7,H10;H9,H6,HA,HQ;D9,HK,H3,H4"
1569980687,2,1,3,"C8,C5,C6,C2;D5,DA,DQ,D7;S9,SJ,S10,S8;SK,S6,CQ,SA;DJ,D10,DK,D8;C3,C10,CK,C4;S7,SQ,C7,S3;D3,H4,D4,D9;H7,H10,HQ,H5;H9,H8,H2,CA;HA,H3,D2,S4;HJ,H6,C9,S5;D6,HK,CJ,S2"
1569980687,2,13,3,"C3,CJ,C7,C2;D6,D7,DQ,D4;S5,SJ,SK,S3;S7,S8,S6,SQ;CK,CA,C4,C6;C5,SA,C8,C10;D9,D5,D3,D2;D8,DK,S4,S10;C9,S2,H7,DA;HA,H6,HQ,H3;HJ,H8,H10,H4;CQ,HK,H5,D10;DJ,H2,H9,S9"
1569980687,2,2,3,"C9,CK,C4,C2;S9,S6,S4,S8;DJ,D10,DA,D5;C7,C10,CQ,C3;SQ,S2,S5,SJ;S7,S10,S3,SA;DK,D8,D3,DQ;D2,C8,D7,D4;CJ,CA,D6,C6;C5,H7,HA,D9;H6,H3,H4,HJ;H2,H5,HK,HQ;H10,H9,H8,SK"
1569980687,2,0,3,"CK,C3,C10,C2;DJ,D5,D7,D8;D10,DK,D6,DQ;SK,S5,S6,S3;SJ,S2,C9,S7;S8,SA,C7,S10;CJ,C5,C6,S4;CA,D2,C4,SQ;DA,H3,D9,D4;HA,H2,HQ,H9;H5,H4,D3,H7;H10,H8,C8,HK;CQ,HJ,S9,H6"
1569980687,2,0,3,"C10,CK,C9,C2;D10,D2,D7,DA;SQ,SK,S2,S5;DK,D5,D9,S6;DJ,C4,D6,SJ;CA,CQ,C5,C7;C8,C3,CJ,C6;S7,SA,DQ,S8;S10,D4,S3,S4;H4,HA,H2,HJ;HK,H5,H7,H8;H3,D8,H6,HQ;S9,D3,H9,H10"
1569980687,2,13,3,"C4,C7,CK,C2;DK,D6,D10,DA;D4,D7,S2,D9;D3,S4,SJ,DJ;S10,S3,S8,SK;S5,SA,C6,SQ;C3,CQ,C10,C9;CA,CJ,D2,D8;H10,H3,H9,HQ;H6,H5,H8,H4;HA,C5,HJ,HK;H7,C8,DQ,S9;H2,S6,D5,S7"
1569980687,2,0,3,"C8,CA,C6,C2;D8,D5,D6,DK;SK,S10,S7,D7;SQ,SJ,S4,C9;S2,S6,S3,D9;C7,C4,CK,S9;D4,D3,DA,DJ;S8,S5,D10,H9;H7,H5,H3,HQ;HJ,H2,H6,H10;HA,CQ,HK,D2;H8,SA,DQ,C10;H4,C3,C5,CJ"
1569980687,2,2,3,"C7,CJ,C10,C2;S4,S6,SA,SJ;C5,CA,C9,DK;DQ,D3,D5,D6;D10,DJ,D4,DA;S8,S9,S10,SQ;S2,SK,C6,S5;C4,D9,CK,S3;D7,H7,D2,HQ;H10,H3,HK,H9;C3,H8,C8,H6;D8,H5,H2,HA;H4,HJ,CQ,S7"
