1569980698,2,0,3,"C6,CQ,C10,C2;S9,SQ,SA,S6;D5,D6,D4,D7;CJ,D2,C3,C4;SJ,S8,S10,S3;C5,D3,C7,DA;DK,D9,C9,DQ;CK,DJ,CA,SK;S7,D10,C8,S2;H2,H4,H6,HQ;H5,HJ,HK,HA;H10,H3,H8,S5;H9,D8,H7,S4"
1569980698,2,4,3,"C7,C5,C8,C2;S10,S9,S3,S8;D3,D8,D2,D9;DJ,D4,D5,SA;C6,CA,C4,CK;CJ,SK,C10,CQ;H3,S2,HK,H10;DA,DK,H2,D7;D10,D6,H4,DQ;C9,S6,H6,HA;HJ,S7,H8,H5;SQ,S5,HQ,SJ;C3,S4,H9,H7"
1569980698,2,0,3,"C10,CQ,C3,C2;DJ,D2,DK,D6;SJ,SQ,S10,S7;SK,S9,D4,SA;D9,D10,DA,D3;C8,CJ,CK,C9;CA,C4,C7,S2;D7,C5,D8,DQ;S4,S8,D5,S5;C6,H5,H8,H3;H9,H7,HK,HJ;H2,H4,HQ,HA;H10,H6,S3,S6"
1569980698,2,19,3,"C6,C8,CK,C2;DJ,DQ,D2,D10;S10,SK,S7,SQ;CJ,C7,CA,C4;D4,D7,DK,DA;S4,S5,S8,S9;D6,SJ,D3,D5;SA,S3,C9,S2;D9,S6,D8,C10;H8,HQ,H5,HA;H4,H2,H9,H6;CQ,H10,C3,HK;H3,HJ,C5,H7"
1569980698,2,13,3,"CJ,C10,C6,C2;S4,S9,S2,S6;D4,DA,DK,D10;S7,S3,SQ,C4;D8,D3,D5,DJ;CQ,CA,C8,C9;CK,C3,D2,C5;D6,D9,S10,D7;C7,HA,SK,S8;HQ,H10,H2,H3;HK,H6,H8,H9;H7,H5,S5,SA;HJ,H4,DQ,SJ"
1569980698,2,13,3,"CJ,C9,CK,C2;D9,D4,D8,DK;C6,C5,C7,CA;S3,S5,S10,S7;SJ,S9,S2,SQ;CQ,C3,C10,DQ;D10,D5,DA,D2;D3,D7,SA,D6;C4,H7,DJ,S6;S8,HJ,H5,H8;S4,H9,H6,HK;C8,H2,H3,HQ;SK,HA,H4,H10"
1569980698,2,5,3,"C6,C9,CJ,C2;C3,CA,CQ,C10;S9,S2,SA,SQ;D2,D9,DJ,DK;D8,DA,S6,D3;C8,C7,D6,C4;D5,SK,D7,C5;S3,S10,SJ,S8;H6,HJ,H7,HA;S4,S7,S5,HK;H5,H4,HQ,H3;H2,H9,H10,D10;DQ,H8,CK,D4"
1569980698,2,20,3,"CJ,C5,C9,C2;D6,DQ,D3,D4;S2,S7,S10,SJ;DK,DJ,D2,DA;CA,CK,C7,C8;S8,SA,S5,S4;D8,D9,D7,CQ;C6,C3,C4,SQ;S3,SK,S6,S9;D10,H9,D5,H6;HA,H2,H5,HQ;H10,H4,HJ,H8;C10,H7,HK,H3"
1569980698,2,4,3,"C7,C3,CA,C2;D9,D6,D8,D10;S2,SA,S4,S10;C8,SQ,C9,C10;S7,S6,S8,S9;C6,DK,DJ,CQ;SJ,S5,S3,SK;C4,D7,D5,C5;CJ,D2,D4,CK;D3,DQ,HK,DA;H2,H9,H8,H4;HQ,H5,HA,H3;H6,H7,HJ,H10"
1569980698,2,0,3,"C7,CJ,C10,C2;SK,S3,SA,S4;D6,D2,D8,D4;C5,D3,CA,CK;C9,S9,C3,C4;D5,DQ,DA,D10;S2,SQ,C8,SJ;D7,S8,CQ,D9;S10,S5,DJ,C6;S7,H7,H4,HA;H9,H2,H8,H3;DK,HQ,H5,H10;S6,H6,HJ,HK"
1569980698,2,10,3,"C4,C5,CA,C2;S4,S3,S10,SQ;DA,D10,D7,D9;DK,D5,CQ,D6;CK,C10,C6,C3;CJ,C8,HK,S7;H10,H2,HJ,HA;S9,S2,H8,S6;SJ,S8,H5,H9;SA,S5,H7,H4;DQ,D2,HQ,D3;D8,C9,H3,DJ;D4,C7,H6,SK"
1569980698,2,0,3,"C7,C4,C10,C2;SA,S9,SJ,SK;D8,D2,D5,DJ;CQ,C5,C3,C8;CK,C9,CJ,S2;D10,D9,D3,DK;S5,S4,S6,SQ;C6,CA,S3,S8;D4,HK,S7,H7;DA,H4,H6,H9;D6,HQ,HA,HJ;D7,H5,H10,H8;DQ,S10,H3,H2"
1569980698,2,0,3,"CK,C9,C7,C2;S5,S4,SA,S6;DJ,D6,D5,D8;DQ,D7,SQ,D3;C8,CJ,C10,C4;D2,DA,C6,DK;S9,SJ,S2,S7;C3,CQ,CA,D9;H8,H6,H9,H4;S3,H10,HQ,S8;HA,HK,H2,S10;D4,H5,H7,SK;D10,HJ,H3,C5"
