1569980755,2,13,0,"CK,C6,C5,C2;D4,DA,DJ,D7;C4,C3,CJ,C10;SJ,S6,SQ,S5;S7,S2,SK,S9;D9,D5,D2,D10;C8,C7,S4,C9;SA,S8,D3,DQ;S10,D8,CA,DK;S3,HK,CQ,H2;H6,H4,H8,HJ;H7,H9,H10,HQ;HA,H5,H3,D6"
1569980755,2,15,0,"C10,CJ,C4,C2;D3,D9,SK,DK;D10,DQ,C6,DJ;SQ,S5,S3,S7;S4,S6,S9,D2;D5,C9,DA,D4;CK,CA,C8,C3;SJ,C5,S8,SA;C7,S2,D8,D6;S10,H3,HJ,D7;H2,H4,HA,H5;H10,H8,H9,H6;HK,HQ,H7,CQ"
1569980755,2,4,0,"CQ,CA,C5,C2;DQ,D8,D10,D6;S2,S4,S7,SJ;C9,C4,C10,CK;SQ,SA,S10,S5;CJ,D2,C3,SK;C8,D3,DJ,DK;C6,S8,DA,S3;C7,D7,D9,D4;S9,S6,D5,H10;H6,HJ,HQ,H4;H2,HA,HK,H7;H5,H8,H3,H9"
1569980755,2,13,0,"C8,C5,CJ,C2;DJ,D10,D6,DA;SJ,S7,S3,S4;D9,D7,DK,D4;C9,C4,C6,CA;DQ,S5,D2,C3;SK,S8,S6,C7;D3,SQ,D5,C10;S2,HQ,S9,H3;CK,H9,H8,H7;CQ,H10,H5,H2;HA,H6,HJ,SA;H4,D8,HK,S10"
1569980755,2,1,0,"C3,C7,CK,C2;C6,C4,C9,CQ;S9,S8,SJ,S10;D5,D7,DA,DK;C10,CA,C8,S7;S6,S3,S5,D8;DJ,DQ,D9,HJ;CJ,SA,C5,H2;S4,S2,H8,H4;D3,D6,D4,HQ;H3,H9,HA,H7;D10,D2,HK,H5;H10,SQ,SK,H6"
1569980755,2,0,0,"C3,C7,C6,C2;S2,S7,S5,S8;SQ,S4,S10,SJ;CK,CA,C4,CJ;DQ,DA,D6,D5;C5,C10,D2,D7;SK,S3,S9,DJ;C8,CQ,D10,D8;D9,S6,D3,DK;H4,HA,H10,H2;H6,H9,H7,HK;C9,H8,HJ,SA;H3,D4,H5,HQ"
1569980755,2,20,0,"CK,CA,CJ,C2;DQ,D9,D8,D10;S2,S8,S4,SA;S3,S5,S9,S6;C10,C6,C5,C8;C4,DA,C3,C7;DJ,D4,DK,D2;D6,D7,D3,SQ;CQ,SJ,C9,SK;S7,H6,S10,HJ;H8,HQ,H3,H7;H10,HK,H4,H9;D5,H5,HA,H2"
1569980755,2,1,0,"CJ,C5,C9,C2;S3,S10,S7,SJ;S6,S9,S5,SA;DA,D5,D2,D9;C7,C3,CA,CK;D7,D4,DQ,D6;D3,D8,DJ,DK;S8,C10,C4,S2;CQ,C8,H10,C6;H2,H7,HQ,HK;D10,H4,H6,H3;SK,H5,HJ,S4;SQ,H9,H8,HA"
1569980755,2,0,0,"C7,C10,C8,C2;D6,DA,D4,D7;S10,S7,SQ,SA;SK,C3,D8,S8;SJ,D5,DQ,S5;D9,DK,D10,D3;CK,CJ,CQ,C6;CA,C4,S4,C5;D2,C9,S2,DJ;S3,H9,HK,S6;HQ,HJ,H6,H4;H8,HA,H7,H5;H3,H2,H10,S9"
1569980755,2,0,0,"C3,CJ,C10,C2;S2,C7,S4,SJ;DA,D6,D7,DJ;S8,C9,SK,S10;D10,D2,D3,D4;S5,D5,S9,S3;C6,C4,C5,S7;C8,DK,CQ,S6;SQ,H2,H10,H3;H6,H7,D8,H9;H8,H5,HK,CA;SA,H4,D9,HQ;DQ,HA,CK,HJ"
1569980755,2,0,0,"CK,C5,C4,C2;S3,SA,SJ,S10;C9,CQ,C10,C8;C7,D9,C6,CJ;DA,D2,D5,DJ;D4,DQ,D6,D10;S7,S6,SK,S5;D7,D3,CA,DK;SQ,S8,S4,C3;S2,S9,HA,H4;H6,H9,H3,HJ;D8,HQ,H2,H8;H5,H10,H7,HK"
1569980755,2,20,0,"CA,C4,C10,C2;D4,D2,D6,D8;CJ,CK,S8,C7;S3,SA,S7,SK;D10,D9,DA,D7;S9,S6,S5,S4;S10,SQ,CQ,S2;DQ,D3,D5,C9;DJ,H3,H6,H7;HA,HJ,HK,H4;H9,H8,C3,H10;HQ,C8,H5,C5;H2,C6,DK,SJ"
1569980755,2,4,0,"C8,C10,CA,C2;S9,S3,SJ,S2;DJ,DA,DK,D9;D10,C3,D4,S5;D2,SA,D3,SK;D5,C6,S4,D6;CK,C7,C4,CQ;DQ,S7,D7,CJ;C5,C9,S6,S10;S8,H10,D8,SQ;H8,H5,H7,HQ;H9,H2,HK,HA;H6,HJ,H4,H3"
