1569980788,2,0,2,"CJ,C3,C7,C2;S10,S9,S3,SK;DA,D4,D6,DK;S2,S5,S8,SA;C9,C5,C8,C6;C4,CK,D2,CQ;DQ,D10,C10,D7;DJ,D8,S7,SJ;D3,D9,SQ,S6;S4,H9,D5,H6;HA,H2,H8,H10;H3,H4,HK,H5;H7,HJ,HQ,CA"
1569980788,2,5,2,"CJ,C7,CA,C2;C5,S6,C4,C8;SA,S9,SJ,S5;S7,S8,S2,S10;C6,DA,C9,CQ;DK,S3,D6,D8;D7,H3,D10,D2;H5,H7,H6,CK;HQ,HA,C3,H9;SK,SQ,S4,H2;D5,DQ,DJ,H4;C10,D9,H8,HJ;D4,HK,D3,H10"
1569980788,2,1,2,"C8,CK,C6,C2;C4,C7,CA,CJ;D7,D9,DA,DQ;S5,S10,S6,S7;CQ,C3,C5,C9;D2,S2,D6,DK;SK,S3,S4,SA;C10,SQ,D4,DJ;D5,H2,D8,S9;H3,H10,H4,H6;H9,HK,H8,HJ;H5,D3,HA,S8;H7,D10,HQ,SJ"
1569980788,2,0,2,"C3,CQ,CK,C2;DK,D7,D5,D2;DQ,D3,DJ,D4;S5,S9,S4,SJ;SK,S2,S8,S10;CJ,C8,C10,C7;C6,SA,CA,C4;DA,D6,C5,D9;D10,SQ,S6,D8;S7,S3,H9,C9;HA,HK,HJ,H2;H5,H10,H4,H7;H8,H6,HQ,H3"
1569980788,2,0,2,"C6,CJ,CA,C2;S2,S7,S4,S10;D2,DK,D4,D3;D6,D5,DJ,S9;S5,SJ,SQ,S6;D9,C7,D8,C10;D7,S3,S8,C8;DA,CQ,SA,C4;D10,H3,HA,H10;HJ,HQ,H8,H7;CK,C9,H6,H4;C5,DQ,HK,H2;C3,SK,H5,H9"
1569980788,2,3,2,"CQ,C10,C9,C2;DJ,D2,D10,D5;S6,SK,S5,SQ;DA,D7,D6,D8;CA,C3,CJ,C7;S4,S3,SJ,S7;C6,C8,CK,C5;D9,DK,D4,D3;S9,S8,C4,SA;S10,H4,HQ,H8;H5,HK,H2,HJ;H10,H7,H6,H9;DQ,H3,S2,HA"
1569980788,2,13,2,"C4,C10,C7,C2;C3,CJ,CQ,C6;D9,D7,DA,DJ;D10,D4,D2,D6;SA,S3,S4,S6;D3,SK,D5,D8;S9,SQ,S2,SJ;S8,HK,HQ,S10;CA,C9,H2,CK;DK,H7,H6,H4;DQ,C8,HJ,S7;C5,H3,HA,H9;H10,H8,H5,S5"
1569980788,2,20,2,"CK,C6,C10,C2;D2,D9,D10,DJ;SJ,S10,S7,S4;S8,S5,CQ,S9;C9,C8,C4,C3;C5,CA,D3,CJ;DA,D4,D6,D7;SA,S2,D5,SK;H10,H7,H5,HQ;H2,HK,H9,HJ;C7,H6,H3,S3;S6,H4,HA,SQ;DK,D8,H8,DQ"
1569980788,2,24,2,"C9,C7,CJ,C2;C8,C10,DA,CA;S2,S5,S6,SA;S10,S8,S4,S9;D7,DQ,D4,D2;D8,DK,D10,DJ;C3,SQ,S7,CQ;C4,S3,SJ,C5;D6,H5,SK,D9;HA,HQ,H10,H2;D3,H6,H9,D5;H4,H7,H8,HK;CK,HJ,H3,C6"
1569980788,2,20,2,"C5,C9,C3,C2;SA,S3,S7,S8;D2,D3,DA,D9;CJ,CA,C10,C6;C4,D8,CQ,S10;D10,D6,DQ,D7;SK,S5,S9,C8;SQ,DK,S6,CK;S2,HQ,H10,H5;HK,H4,H3,H6;H7,HA,H2,HJ;DJ,D4,S4,H9;D5,C7,SJ,H8"
1569980788,2,14,2,"C10,CK,C7,C2;D6,D7,DQ,D8;S6,S5,S9,S4;S3,D2,S8,SA;CJ,C3,CQ,C9;DK,D4,D9,D10;D3,DA,DJ,S7;C6,CA,SQ,C4;SJ,S2,S10,C5;SK,D5,C8,H4;H7,H9,HA,HJ;H3,H8,HQ,H10;H6,HK,H2,H5"
