1569980810,2,7,3,"C7,CA,C10,C2;S9,SJ,S8,S3;DK,D10,D4,D5;S2,S10,SK,SQ;D9,D7,D2,S7;D3,CJ,D6,CQ;C3,C6,C4,CK;S5,C5,SA,S4;S6,H7,C8,H2;HJ,H5,HK,H8;HQ,H3,DJ,H9;H10,H4,DQ,HA;C9,H6,DA,D8"
1569980810,2,0,3,"C8,SK,CJ,C2;S3,S9,SJ,S10;C3,D10,CQ,CA;D5,D6,D2,DA;SA,S7,S6,D3;S5,S8,C10,DJ;D7,D9,DK,C7;C9,C5,S4,C4;H6,H7,HA,HJ;DQ,D4,H10,H8;D8,CK,H2,HK;S2,H3,H9,SQ;H5,C6,H4,HQ"
1569980810,2,0,3,"CQ,C9,C3,C2;D10,D6,DA,D5;SK,S3,S2,S8;S7,S5,S4,S10;C6,C8,SQ,C10;DJ,D7,D2,DQ;C7,C4,D9,CJ;S9,S6,H7,SJ;H5,H6,H8,HQ;H4,HK,HJ,H10;CA,H3,CK,H9;C5,H2,D3,D8;SA,HA,DK,D4"
1569980810,2,0,3,"S4,CQ,C7,C2;DJ,DK,D10,D5;DA,DQ,D4,D7;S9,S6,S3,SQ;SA,S8,SJ,S2;S5,S10,S7,C3;C8,D2,C4,CJ;C6,CK,D8,C5;SK,H7,HA,H4;H8,H6,H5,H10;D3,C10,HQ,HK;D6,CA,H3,H9;D9,HJ,C9,H2"
1569980810,2,4,3,"C3,CQ,C9,C2;D5,S5,D2,DQ;S8,SQ,S3,S6;CJ,CA,C10,CK;SA,S10,SJ,S4;S2,SK,S7,S9;C4,DK,D8,D10;C5,D4,DA,D9;C8,D7,D3,HQ;H10,H9,HJ,H8;H7,H4,HA,H3;H6,C6,H2,H5;DJ,C7,D6,HK"
1569980810,2,26,3,"CA,C7,C3,C2;DA,D8,D10,D9;S10,SK,S2,S6;SJ,S9,SQ,S4;D3,D7,D5,DQ;D4,S3,DJ,C10;C6,DK,C5,C4;CJ,S8,C9,CQ;S5,H8,S7,SA;D2,HJ,HQ,HK;CK,HA,H7,H10;D6,H6,H9,H2;C8,H5,H3,H4"
1569980810,2,17,3,"CK,C8,C5,C2;D8,DJ,D10,DA;CA,CQ,C7,CJ;DK,D6,D4,D9;C6,C10,C3,C9;S10,S6,S4,S2;SJ,SQ,S9,SA;S3,S8,SK,S5;D3,D5,D2,DQ;D7,C4,H9,S7;H8,H5,HA,HJ;H3,HQ,H4,H2;H10,H6,H7,HK"
1569980810,2,1,3,"C7,CQ,CJ,C2;DQ,DA,D10,DK;D8,D9,D3,D6;C3,CK,S7,C9;S4,S10,S5,S3;S9,SQ,S2,SK;C10,S6,C8,C6;D2,D7,D5,D4;HQ,H10,HA,HK;H9,H6,H5,H7;H3,HJ,H2,C4;S8,DJ,H4,SJ;C5,SA,CA,H8"
1569980810,2,4,3,"CA,S9,C3,C2;SJ,S3,S4,S6;D3,D4,D10,D2;C8,CQ,D5,C9;S8,SQ,S2,S10;DJ,C6,DQ,DK;CJ,D7,C7,S7;C4,D8,C10,D6;CK,D9,S5,C5;HA,H3,H10,HJ;H8,H2,H4,HK;SK,SA,H7,H6;HQ,DA,H9,H5"
1569980810,2,19,3,"C10,CQ,CA,C2;SA,S5,SJ,S2;D7,C3,D10,DQ;DJ,C6,DA,DK;S6,S9,SQ,S4;S10,C7,SK,S8;D2,CK,D3,D9;C5,HA,CJ,C4;HK,HJ,H2,H5;S7,H10,S3,D6;H7,H4,HQ,H8;C8,H3,D5,D4;C9,H9,D8,H6"
1569980810,2,13,3,"CQ,C6,CA,C2;D3,D8,D6,DQ;S10,S2,S3,D4;S8,S6,S7,DK;D2,D5,D9,DJ;C8,C7,C5,C4;CK,C10,CJ,C3;C9,S5,D7,SQ;H6,HQ,H7,H9;SJ,S4,H5,HA;SA,S9,H3,H10;SK,H8,DA,HK;HJ,D10,H4,H2"
1569980810,2,4,3,"C9,CA,C5,C2;D8,D9,D2,D10;C6,C4,CK,DA;C7,S6,D6,CQ;DK,DQ,D7,D3;S3,S8,S5,SA;S10,S2,S4,D4;SK,S7,C3,DJ;SJ,H7,C8,CJ;H3,HK,HA,HQ;H6,H8,SQ,H9;H10,H4,H2,S9;H5,HJ,C10,D5"
