1569980811,2,17,1,"C9,C4,CQ,C2;C10,C6,CK,C7;D7,D9,D8,D3;CA,C8,C5,CJ;D6,DK,S10,D5;DQ,S7,D10,D4;DA,SJ,SK,DJ;D2,S6,S9,S4;S3,HK,SQ,SA;H3,H5,HJ,HA;S2,H7,S8,S5;H6,HQ,H9,H10;H4,H8,H2,C3"
1569980811,2,21,1,"CK,C8,CA,C2;S2,S6,S4,SQ;CQ,C6,C5,C7;D10,DA,D9,DJ;S7,S8,S5,SA;C10,CJ,C9,S10;D8,D5,D6,D2;S9,C4,C3,SJ;SK,D7,DQ,DK;S3,HQ,D4,D3;H6,H5,H10,H8;H2,HJ,H4,H3;HK,HA,H9,H7"
1569980811,2,1,1,"CQ,D9,C8,C2;SQ,S7,S10,S4;S9,S6,S3,S2;C10,S8,C9,C5;SK,D6,S5,D10;SJ,D2,SA,C3;D3,D5,DA,DJ;D7,C7,DQ,D8;CK,CA,D4,H7;H4,H8,HJ,H10;H3,HK,H6,H2;DK,CJ,HQ,H5;HA,C4,C6,H9"
1569980811,2,13,1,"C4,CA,C6,C2;DA,D6,D9,D10;CQ,C8,C10,C3;SK,S5,S4,SQ;D7,D8,D3,DJ;C7,CJ,CK,C5;HK,H8,H7,H9;HQ,H2,H6,D5;H4,H10,C9,S6;SA,S10,HA,S2;DQ,SJ,H5,D4;D2,S3,H3,S9;DK,S7,HJ,S8"
1569980811,2,0,1,"C3,CA,D4,C2;C5,D8,C6,CQ;S10,S7,S6,SJ;CK,SK,CJ,C10;SQ,SA,S3,S5;D7,D2,DQ,D5;C4,C8,D10,S2;DA,DK,D9,S4;C7,C9,D6,H4;HA,H3,H8,HJ;H7,H5,S8,HK;HQ,H2,D3,H9;H6,H10,DJ,S9"
1569980811,2,4,1,"C10,C3,CK,C2;D9,DQ,D6,D5;C7,S2,C4,C8;DA,D8,D10,D2;S5,S9,S7,S10;C9,S8,CJ,CQ;D7,D3,S4,SQ;C5,SA,CA,C6;SK,S3,S6,SJ;H6,HK,H2,HQ;H9,H7,H4,H10;H8,H3,HJ,DJ;HA,D4,H5,DK"
1569980811,2,0,1,"CA,C3,CJ,C2;S2,S5,S9,SK;C6,C7,CQ,C9;DA,D10,D9,D6;D4,D2,DQ,D8;S6,SQ,S3,S10;C10,C4,S8,C8;DJ,D5,SA,D7;DK,D3,SJ,H5;HK,H2,H3,H6;C5,H10,S4,H7;CK,H4,S7,H8;HQ,HA,HJ,H9"
1569980811,2,0,1,"C10,C8,CQ,C2;S10,S2,S5,S7;D9,D2,D8,D4;S4,S8,CK,S9;D3,DA,D10,D7;CJ,C9,CA,C7;D6,DQ,DK,D5;S3,C5,SK,SQ;S6,H5,SA,SJ;H10,H6,H9,HK;HQ,H4,H3,HJ;C4,H2,C3,HA;C6,H7,H8,DJ"
1569980811,2,13,1,"CA,C3,C7,C2;D5,DJ,D2,D3;DQ,D10,DK,D8;SQ,S10,SJ,S9;S3,S7,S8,S4;D4,C8,D9,C4;C10,S2,C5,CK;CQ,DA,C9,C6;H7,H5,H6,H9;HQ,H10,HA,H3;SK,SA,S6,H8;D7,HJ,H2,H4;D6,CJ,S5,HK"
1569980811,2,0,1,"CQ,C3,C8,C2;DA,D5,DK,D6;S6,SJ,SQ,S8;S5,C7,S9,S4;D8,SK,D2,DJ;CA,CK,CJ,C10;C4,S7,D10,C6;DQ,D7,S3,D3;SA,S2,HK,D9;HJ,H4,H2,H6;HA,H3,H8,H5;HQ,C5,H10,H9;C9,S10,H7,D4"
1569980811,2,13,1,"CJ,C7,C9,C2;D7,D2,S5,D4;DQ,D9,S4,DA;S9,S2,SA,SQ;C4,S3,CA,C10;D5,S8,D10,DJ;S10,C3,S6,SJ;D3,CK,DK,S7;D6,CQ,C5,SK;D8,H2,C8,H8;HQ,HJ,H9,H3;HA,H6,H7,HK;H5,C6,H10,H4"
1569980811,2,4,1,"C9,C10,C6,C2;S9,S2,S7,S8;D2,D3,D7,D10;D9,D6,C3,DA;CK,C4,C8,SA;C5,C7,CQ,S5;S4,S3,SJ,SK;DJ,D5,D8,S10;D4,DQ,CA,SQ;CJ,H2,H10,HK;H5,HQ,H9,H3;H7,HJ,H4,H8;H6,S6,DK,HA"
1569980811,2,2,1,"C4,CQ,CJ,C2;SQ,SA,S6,D6;C9,C3,CK,CA;S5,S2,SJ,C10;S7,S9,DQ,D4;C6,C5,C8,D3;S10,D2,SK,D9;C7,DA,S4,D10;S3,HK,S8,H10;H3,HQ,H9,H6;DJ,D5,H2,D8;DK,H8,H7,H5;D7,HJ,H4,HA"
