1569980822,2,13,3,"C9,CA,C7,C2;S10,D3,S4,SQ;D8,D5,DQ,D10;S5,CQ,SA,S8;DA,D9,D7,D2;D6,DK,C8,C10;CK,C5,C3,C4;HQ,H4,H7,H8;H10,HK,HA,SK;H9,S9,C6,H3;HJ,DJ,S7,H5;S2,S3,S6,H6;CJ,D4,SJ,H2"
1569980822,2,14,3,"C8,C5,C10,C2;DJ,D9,D10,DA;S5,S10,SA,SQ;C3,C9,C6,CQ;D4,DQ,C4,DK;D5,D6,CK,SK;S7,S9,S2,S6;CA,CJ,S3,SJ;S4,D8,HA,D2;H2,H6,HQ,H5;H7,HK,H9,H4;D7,H3,H10,D3;C7,H8,S8,HJ"
1569980822,2,0,3,"CK,C9,C10,C2;S2,S10,SK,S3;D6,DQ,DK,D5;DA,D7,D2,D10;S9,SA,SJ,S4;CJ,C6,C5,C3;C7,CQ,HJ,C8;H3,H5,H4,H10;H2,HA,CA,H8;D3,D4,DJ,HK;S7,D8,S5,HQ;S6,D9,S8,H7;C4,H9,SQ,H6"
1569980822,2,1,3,"CA,C3,C6,C2;S5,S9,SK,SQ;DA,D7,D10,D6;S6,S7,SJ,S10;DQ,DK,C10,D8;D3,D9,C4,DJ;C5,CJ,C7,S8;D5,D2,D4,S2;S4,S3,CK,H6;H4,H5,HK,H7;HQ,C8,H8,HJ;H2,SA,H9,HA;H3,CQ,C9,H10"
1569980822,2,3,3,"C7,CA,CJ,C2;DQ,D6,DJ,D2;C6,CQ,C8,C9;D8,DA,DK,D10;SK,S9,SA,S7;C3,C10,C4,C5;S10,CK,S8,S3;S2,H6,SQ,SJ;D5,HA,D9,S4;H10,HK,H9,H2;H4,H3,D7,H5;H7,HQ,HJ,D3;H8,S5,S6,D4"
1569980822,2,0,3,"C3,C5,C8,C2;D5,DQ,D6,D2;C7,C9,C10,CA;D9,D10,D8,D7;S9,S8,S5,SJ;SA,S7,S2,S3;SQ,S4,S6,S10;DJ,D4,DA,CJ;C4,DK,C6,CQ;HA,H6,H2,H5;H9,H3,HJ,H8;CK,H10,SK,H4;D3,H7,HQ,HK"
1569980822,2,0,3,"C4,CQ,CJ,C2;CA,D3,C3,CK;C7,S8,C8,C10;S3,SA,S5,S10;D5,D4,D7,DK;C6,S4,DJ,D10;C9,DQ,S2,D8;S9,S6,SJ,SQ;D6,D2,DA,C5;HK,H9,H6,HA;H2,H5,H7,HQ;H4,H8,H10,S7;H3,D9,HJ,SK"
1569980822,2,1,3,"CQ,C6,CJ,C2;DJ,DQ,DA,DK;S3,S7,SA,S8;SQ,S6,S2,S9;S5,S4,SK,SJ;C10,CA,C4,C3;D6,D3,D5,D8;S10,C7,D10,CK;HJ,H4,HQ,H8;H2,H7,H5,H6;HA,H9,HK,C9;D7,D4,H10,D9;C5,D2,C8,H3"
1569980822,2,16,3,"C6,CA,C9,C2;S5,SJ,S4,S8;S10,S2,S9,S6;SQ,C7,SA,S3;CK,C10,CJ,C4;DQ,D3,DA,D10;C8,CQ,C5,SK;D7,D5,D8,DJ;DK,H5,D4,D2;H9,H3,HQ,HA;H2,HJ,H8,H6;H4,HK,H10,C3;D6,H7,S7,D9"
1569980822,2,8,3,"C10,C3,CA,C2;D8,D4,DA,D3;D9,DQ,D10,D2;S2,S8,S4,S9;C4,CQ,C6,C9;SK,S7,SA,SQ;D6,DK,SJ,S5;C8,H5,C7,S6;HJ,H7,HA,H8;H2,C5,H3,H9;HK,S10,D7,HQ;S3,CK,D5,H10;H6,CJ,DJ,H4"
1569980822,2,0,3,"C5,C6,CA,C2;C10,C3,C8,S9;S8,S2,SJ,S4;SA,S6,D6,S10;DK,DA,DQ,D8;D4,DJ,D9,D3;C4,S3,CJ,C9;S5,CK,D2,S7;SQ,C7,SK,D10;HA,HJ,H6,H4;H2,H3,HK,H10;D7,CQ,HQ,H5;D5,H9,H7,H8"
1569980822,2,0,3,"CJ,C7,C3,C2;C8,C4,DA,CA;D4,D3,DJ,D6;S7,S9,S4,SK;D7,D10,DQ,D2;S3,CQ,S5,SA;S10,C6,S8,SJ;D5,DK,C9,D9;C10,SQ,CK,D8;C5,S2,H2,S6;H3,HA,HJ,HK;HQ,H7,H8,H4;H10,H9,H6,H5"
