1569982414,2,17,3,"CJ,C8,CQ,C2;C7,C4,C9,C6;S5,SK,S3,S10;D5,D9,DA,DK;D8,CK,D6,D4;D3,SJ,D7,S8;C5,C3,SA,S9;DJ,CA,D10,S6;S7,C10,S4,SQ;HQ,H10,H6,H4;H3,H5,H8,HK;D2,S2,HA,H2;DQ,HJ,H9,H7"
1569982414,2,4,3,"C10,C7,C6,C2;S7,SQ,S8,S3;D8,DA,D4,D6;DK,DJ,D2,D7;D3,DQ,D10,D5;C8,C9,D9,CA;S4,C4,S5,S2;SJ,CJ,S6,SK;S10,CQ,HJ,HK;C3,CK,H10,C5;H6,HQ,HA,H2;H7,S9,H8,H4;H3,SA,H9,H5"
1569982414,2,3,3,"C7,C3,CK,C2;D3,D8,D9,DA;DK,CA,D4,D6;S2,SQ,S4,S8;C4,C10,C8,D2;SA,S6,SJ,S7;D5,CJ,DJ,D7;C5,C9,C6,S10;S9,SK,D10,DQ;CQ,HQ,H10,H4;H7,HK,HA,H3;H2,H9,S5,HJ;H5,H8,H6,S3"
1569982414,2,0,3,"CK,DJ,C7,C2;D4,D6,D8,D10;C8,S9,C9,C6;DA,D9,D2,D3;S2,SJ,SQ,SA;C10,C5,S3,CA;S4,S6,S10,S8;H5,H7,CJ,H8;H3,H4,HK,C3;HA,H2,HJ,DQ;H9,SK,H6,D7;H10,C4,S5,CQ;HQ,DK,D5,S7"
1569982414,2,0,3,"C5,CK,C9,C2;S4,S9,S2,S8;SA,S6,S7,SK;D5,D2,D7,DJ;CJ,CQ,DK,C7;C4,D8,C8,C3;DA,DQ,D9,D10;H6,H2,HK,H10;S10,SQ,C10,H8;HQ,S3,HA,H9;D6,S5,D3,H7;C6,CA,H5,H3;SJ,D4,H4,HJ"
1569982414,2,18,3,"C5,C9,CJ,C2;S10,S6,S9,SA;D3,DJ,D5,D8;C8,C3,C4,C7;C6,C10,CQ,S5;CA,CK,D10,SK;S2,S7,S8,SQ;DQ,DA,D9,SJ;D6,D2,DK,H10;H5,H2,H6,H3;HJ,HQ,H7,HA;H4,H8,H9,D4;S4,D7,HK,S3"
1569982414,2,0,3,"C6,C9,C3,C2;DJ,D4,DK,D6;C8,C5,C4,C10;S3,SJ,SK,S2;S7,SQ,DQ,S9;C7,D10,CQ,CA;DA,H2,CK,D5;H6,H7,H3,HK;H10,H4,H8,HA;S10,H5,S6,SA;D3,HQ,CJ,D7;D2,HJ,S5,D9;S4,H9,S8,D8"
1569982414,2,0,3,"CA,C6,C3,C2;S2,S4,SA,S8;CQ,C5,C8,C4;DJ,DK,DA,D10;DQ,D6,D3,D8;SK,S5,S3,S6;S7,SJ,SQ,S10;C7,CK,CJ,S9;D7,D5,H9,H10;HJ,H6,H2,H5;D4,HQ,C9,HA;D9,H4,C10,HK;D2,H3,H8,H7"
1569982414,2,13,3,"C10,CK,C9,C2;S6,S5,S8,S10;S7,SQ,SK,SA;C4,C5,C8,CJ;DA,D3,D2,DJ;D7,D4,D5,CA;S9,D8,SJ,S3;CQ,C3,C6,DK;D6,D9,S2,DQ;S4,H8,HJ,H3;H9,HQ,H6,H4;D10,H7,HA,HK;C7,H5,H2,H10"
1569982414,2,5,3,"C9,C3,CQ,C2;S10,S5,S2,S6;D4,D7,D10,D2;SJ,SK,C8,SQ;C5,CA,C6,D3;C10,C4,CJ,S3;D5,DJ,C7,DQ;S4,H5,S7,H7;H6,HK,H8,HQ;CK,H2,D8,H9;D6,DA,SA,HA;S9,H10,H4,D9;S8,HJ,H3,DK"
1569982414,2,26,3,"C6,C5,CA,C2;S3,S10,SQ,S6;S7,S2,C4,S9;C9,CQ,C8,CK;D5,D9,D2,DK;C7,D8,C10,C3;S8,D7,SA,SJ;D6,D10,D3,DQ;S4,DA,H5,SK;HJ,H6,H8,H3;D4,H10,H7,H2;S5,HA,H4,HQ;DJ,HK,H9,CJ"
