1569982422,2,4,2,"C4,C3,CK,C2;DA,D3,DK,D9;C8,C5,CJ,CQ;S6,SK,S4,S7;D2,D10,D5,D6;S3,CA,S9,S10;S8,D8,SJ,S2;DQ,D7,SA,D4;S5,C7,C6,SQ;DJ,C9,H8,C10;HJ,H3,H4,HA;H2,H7,H6,H10;HK,HQ,H9,H5"
1569982422,2,0,2,"CK,CQ,C3,C2;S7,SA,S9,S6;SK,SJ,S4,SQ;D7,DJ,DK,D3;CJ,C5,S5,C10;C9,CA,S8,C4;D8,S10,D9,DQ;S3,S2,D5,D4;HA,H2,H9,DA;HJ,HK,H8,D10;H3,H7,H5,D2;H10,H6,HQ,C7;H4,D6,C6,C8"
1569982422,2,22,2,"CQ,C5,C7,C2;D6,D3,D5,DJ;C10,CJ,C9,C8;S5,S6,S4,S7;DK,D7,D2,D4;SK,SJ,S3,S8;S2,C4,S10,S9;D9,C6,DA,D8;SA,H10,H3,DQ;CA,CK,H2,H8;HQ,HJ,HK,H5;H9,H4,SQ,H7;HA,D10,C3,H6"
1569982422,2,4,2,"CQ,CA,C4,C2;SJ,S7,S6,SQ;D4,D7,D10,D3;CJ,C10,C5,C6;DQ,DA,D2,DK;S8,SK,S9,S3;CK,C9,C3,C8;DJ,D9,D6,D5;C7,S2,S10,S4;HK,H6,H10,H3;H8,H9,HQ,HJ;D8,H2,H4,H5;SA,H7,HA,S5"
1569982422,2,5,2,"C9,C6,C5,C2;S7,SA,S4,SQ;D2,DA,D10,D5;CQ,CK,C8,C3;C10,C7,C4,D3;DQ,D9,D8,D7;CA,S8,CJ,SK;DJ,S6,S2,D6;S3,S10,SJ,S9;HA,H5,H10,HJ;H8,H7,H3,H2;HQ,H9,HK,D4;H6,S5,H4,DK"
1569982422,2,1,2,"C7,C6,C8,C2;SQ,S9,S2,S5;DQ,DK,D10,D3;C4,C3,CA,C10;SK,S8,S3,SA;D4,D6,D8,D9;S6,CK,S10,SJ;DJ,DA,D5,D2;D7,H9,CQ,S4;H4,H6,H10,H5;H8,HA,HQ,H2;H3,C5,HK,CJ;HJ,H7,C9,S7"
1569982422,2,0,2,"CK,C8,CQ,C2;S4,S3,SK,S9;C5,C9,C6,CA;D8,DA,D9,D6;DK,D5,D7,D4;C10,C4,CJ,S2;SA,C7,S8,SQ;S5,D3,S7,DQ;SJ,DJ,S6,HJ;HA,H5,H9,HK;S10,HQ,H10,H7;H8,H4,C3,H2;D10,H6,D2,H3"
1569982422,2,9,2,"C5,C7,CK,C2;SA,S4,S2,S3;SJ,SK,S5,DK;C6,C9,C3,CJ;SQ,S10,D9,S8;C10,DA,D6,CA;D2,D4,D8,D3;DJ,D5,D7,C8;D10,DQ,CQ,S9;S6,HQ,HA,H2;H7,H5,H8,H9;H3,H10,H6,HK;S7,C4,H4,HJ"
1569982422,2,0,2,"C4,C6,C7,C2;D10,DA,DJ,D4;S4,S9,S10,S7;SJ,S3,SA,SK;CA,C9,C5,CK;D8,D3,D2,D9;CJ,CQ,H4,C3;HJ,H9,D7,H2;C8,H7,C10,HA;D6,DK,H5,S2;S8,HQ,S6,S5;H10,H6,D5,H8;DQ,H3,SQ,HK"
1569982422,2,17,2,"C7,CQ,C3,C2;D4,D2,DQ,D10;D7,D6,DK,DA;S10,S5,S4,S8;CJ,C4,C6,S7;C8,C10,CK,D9;S2,SA,SQ,D8;C9,C5,HQ,S6;H10,HJ,HA,H3;H6,S3,H9,H4;H2,SJ,H5,D3;HK,CA,SK,H7;H8,S9,D5,DJ"
1569982422,2,18,2,"CQ,C10,CK,C2;DK,D6,D4,D8;DJ,DA,D2,D9;SJ,SK,S6,SQ;S3,SA,S5,S8;C6,C4,C5,C3;CA,S7,C9,C8;C7,H3,S9,CJ;H6,HA,H7,HQ;H2,H8,H5,H10;S2,S10,H4,S4;D5,HJ,D7,DQ;D3,HK,H9,D10"
1569982422,2,13,2,"C4,C3,C5,C2;D7,D4,DK,D10;C8,C9,C6,S4;S6,SJ,SQ,SA;DA,DQ,D5,D8;SK,S3,S8,S2;DJ,D9,CJ,S5;S7,C7,S10,CQ;CK,C10,D3,CA;H4,HA,H3,HK;D6,H7,H10,HQ;D2,H8,HJ,H6;H9,H5,S9,H2"
