1569982429,2,7,1,"CJ,C10,CK,C2;D10,D6,D2,DK;S8,S9,S4,SJ;D5,DQ,DJ,CA;C8,C5,C9,C6;D8,D7,D3,S7;D4,DA,S5,C7;SK,S2,D9,SA;S10,SQ,CQ,S3;C4,H10,HK,C3;H9,HA,HJ,H5;H7,HQ,H6,H4;H8,H3,H2,S6"
1569982429,2,21,1,"C7,CA,C5,C2;S2,SJ,SQ,S4;CJ,C6,C4,D5;DJ,DQ,DA,D10;DK,D9,D3,D7;D8,C3,D2,SA;CK,C10,C8,S9;SK,HA,S7,H6;H5,H9,HK,H7;S6,H8,S5,H2;S3,CQ,S10,H10;C9,HJ,S8,H4;D4,H3,D6,HQ"
1569982429,2,1,1,"C6,CJ,C4,C2;SA,S8,SJ,SK;S7,D5,S4,SQ;D7,DQ,DA,D4;C5,C8,C7,C10;S6,DJ,S2,S9;S3,D9,C9,S5;D2,D10,D3,D8;DK,CQ,D6,H2;H3,HK,HA,H4;H7,HQ,H10,H9;CA,S10,CK,H5;H6,H8,C3,HJ"
1569982429,2,13,1,"C6,C8,C7,C2;C5,CK,C9,SA;D4,DK,D3,D5;C4,S2,CA,D6;S4,S5,S7,SQ;C3,SK,DJ,DQ;CJ,S9,D9,D10;S8,SJ,S6,S3;DA,D2,D7,C10;S10,D8,H6,CQ;H8,HJ,H4,H2;H5,HK,H3,H7;HA,H9,HQ,H10"
1569982429,2,0,1,"C3,C10,CA,C2;SA,S5,S3,S8;S4,SQ,S2,S9;D2,DJ,D7,D10;DA,D5,D4,D9;D6,DK,D8,C9;C4,C7,CQ,C5;D3,C6,S10,S7;DQ,H2,H4,H6;H10,SK,H3,HA;H8,C8,H7,HQ;CJ,SJ,H9,CK;HJ,S6,HK,H5"
1569982429,2,3,1,"CQ,C10,C5,C2;S8,S7,SA,SK;D10,DA,D6,D2;CK,C6,C8,C4;D5,D8,D4,DQ;S3,S4,SQ,S10;S6,S9,SJ,S5;C7,CA,S2,CJ;DK,DJ,H7,D7;H5,HA,H8,HK;C9,H4,H10,HQ;C3,HJ,H9,H2;D3,D9,H3,H6"
1569982429,2,0,1,"C8,CQ,C6,C2;S4,SQ,S5,S8;SJ,S9,SA,S7;DQ,DA,D5,DK;C3,C10,C4,S6;S2,S10,D8,S3;C9,CK,CA,D6;D9,D3,D2,D4;HQ,H7,H9,HJ;H3,H5,H10,HA;H4,C5,H2,D7;H8,CJ,H6,C7;DJ,D10,HK,SK"
1569982429,2,4,1,"C5,C8,C3,C2;DK,SK,D6,D9;S8,SQ,SJ,S9;CA,CK,CJ,CQ;S2,SA,D2,S6;D10,DA,S7,D5;C6,C9,C10,C7;S5,D3,S10,DJ;S4,D8,S3,DQ;H3,H6,HQ,HK;HJ,H9,H4,HA;C4,H2,H8,H10;H7,D4,H5,D7"
1569982429,2,0,1,"C9,CJ,CA,C2;S2,SJ,S6,S7;D2,DA,D9,D8;S8,S9,SK,SA;D5,DQ,D4,D3;CK,S10,C6,CQ;C7,S5,C3,C10;S4,DK,D7,SQ;C4,D6,DJ,S3;D10,HQ,H8,H3;C5,H2,H6,HJ;C8,H4,H7,H9;HK,H10,H5,HA"
1569982429,2,13,1,"CK,C7,C3,C2;D2,D6,DA,DQ;DJ,D5,D7,D8;DK,S7,D3,D9;SJ,S8,S2,SA;C9,CJ,C8,CA;S9,S3,S10,S6;C4,C10,C6,SK;D4,CQ,SQ,D10;S4,H9,C5,S5;H8,HQ,HJ,H5;H2,H4,H3,H10;H7,H6,HA,HK"
1569982429,2,7,1,"C7,C10,CK,C2;SK,S2,SQ,S3;DA,D6,DK,D8;S8,S7,S9,SA;CJ,CA,C4,C5;D5,D10,D3,D9;S5,SJ,CQ,S10;D4,D2,D7,DQ;C9,DJ,C3,C8;H7,H4,H5,H6;H9,HQ,H10,H2;HK,C6,H8,HJ;H3,S6,HA,S4"
1569982429,2,0,1,"C10,C9,C7,C2;D6,DA,DQ,DJ;S9,S7,S3,SQ;CQ,S2,C5,CJ;S8,SJ,C4,S4;D8,DK,D2,D4;C3,D9,CK,D5;SK,CA,SA,S5;D3,C8,C6,D7;S6,S10,H10,H7;H9,H4,H5,H3;HJ,H2,H8,HA;HQ,H6,HK,D10"
1569982429,2,4,1,"C10,C6,CQ,C2;SQ,S9,S6,S8;S2,S5,S3,SA;D5,D6,D7,DJ;D3,C4,D9,DK;D8,C5,D10,D2;SJ,SK,S7,C7;S4,C8,C9,DQ;CK,DA,CJ,C3;S10,H5,H4,H9;H2,HQ,HK,H6;H8,H7,HA,HJ;CA,H3,D4,H10"
1569982429,2,0,1,"C9,C5,C8,C2;S6,S2,S8,SQ;C4,C10,C3,CK;S7,S3,SJ,S5;C6,DA,CJ,C7;D9,DK,DJ,D3;D2,D10,D7,D4;SA,D5,DQ,S9;CA,D6,CQ,S4;SK,H4,H5,S10;HK,H6,HJ,H7;HQ,H3,H8,H9;H10,HA,D8,H2"
