1569982432,2,0,3,"C3,C4,CJ,C2;D8,S8,DJ,D9;S2,S4,S10,S9;S6,S5,S3,SQ;DQ,DK,SA,DA;D6,D2,S7,D10;C8,CA,C6,CK;C10,CQ,C7,C9;C5,D4,D7,SJ;D5,H3,D3,H6;H5,HK,H10,H2;HQ,H8,H4,HJ;HA,H7,H9,SK"
1569982432,2,9,3,"C8,CQ,C4,C2;D6,D2,DQ,D7;CK,S9,C9,CJ;S7,S6,SJ,S8;C7,S2,C3,CA;D5,DA,D4,D10;S5,S4,SQ,C6;S10,SK,D3,S3;C5,C10,SA,DK;H8,HK,H10,H3;H5,H2,H7,H9;DJ,D9,HQ,HA;D8,H4,HJ,H6"
1569982432,2,17,3,"C7,C3,CA,C2;DQ,DK,DA,D3;S7,SQ,S8,SJ;SK,S9,S2,S4;C8,C4,D10,C9;SA,S10,S6,DJ;S3,CK,CJ,D9;D8,D2,D5,D4;D7,CQ,HJ,H2;H5,H7,HA,H10;C5,C6,H3,HK;H4,HQ,H9,S5;H8,C10,D6,H6"
1569982432,2,0,3,"CA,C10,CQ,C2;C9,C8,C3,C4;CK,C5,D9,CJ;DA,D6,D4,DK;C6,C7,S10,D2;S5,S2,D5,S7;S3,S4,DJ,SK;D7,D8,DQ,D3;H5,H8,H3,H7;HA,HJ,H9,H10;S6,SJ,H2,SQ;HQ,HK,H4,S8;S9,H6,D10,SA"
1569982432,2,0,3,"C5,CQ,C9,C2;D6,DJ,D10,DQ;D4,D9,D3,DA;S10,SQ,S3,S7;DK,SJ,D7,D5;SA,S9,CA,S5;D8,C10,D2,C8;C3,CK,C4,CJ;SK,S8,C7,S6;S2,S4,H5,HQ;HA,H3,H2,H8;H6,HJ,H10,H7;HK,C6,H9,H4"
1569982432,2,0,3,"CA,C5,CJ,C2;C7,C6,C8,CK;S3,S9,SK,D8;SQ,D2,D7,S7;S8,C9,DQ,S5;C10,CQ,D5,C4;D10,HQ,HK,D4;HJ,H9,H4,S6;H5,H2,H7,DJ;SA,H10,H3,S2;S10,HA,DA,D6;SJ,H8,C3,D3;S4,H6,D9,DK"
1569982432,2,4,3,"C5,C3,CA,C2;C10,CK,C4,C6;D8,DQ,DK,D10;S7,S4,SQ,S10;CQ,CJ,D3,S6;C9,S8,DA,SA;C7,D5,SJ,SK;D4,D9,DJ,D7;S5,S3,C8,S9;D6,H8,D2,H10;H2,H5,HA,HK;H9,HQ,H7,H3;H6,HJ,H4,S2"
1569982432,2,0,3,"C9,S10,C3,C2;S6,S5,S4,S9;C4,D2,CQ,C5;D3,D10,DJ,D5;D4,DQ,D7,D8;SA,SK,D6,S2;S7,C6,DK,S8;D9,C8,DA,SQ;H2,H7,H6,HJ;CK,CA,CJ,H3;HQ,H8,S3,H5;H10,H9,C10,H4;HA,SJ,C7,HK"
1569982432,2,4,3,"C7,C6,CA,C2;D7,D2,D6,DQ;CQ,C10,C8,C5;C9,S9,CK,SQ;S5,SA,S7,S10;D5,D4,D10,C3;D8,DJ,DA,CJ;S3,D3,S4,S2;D9,C4,SK,S8;DK,HK,HA,H2;H8,HJ,H10,HQ;H5,H3,H7,H9;H6,H4,SJ,S6"
1569982432,2,4,3,"C10,C9,CA,C2;S6,S5,D5,SQ;C4,C8,C7,C6;DK,D2,D10,D8;SJ,D9,S3,S2;S4,DQ,SA,S10;C5,C3,CJ,D4;DJ,D6,D3,H9;H3,H7,H6,H2;H5,HJ,H10,HK;HA,S8,S9,H4;HQ,S7,SK,CQ;H8,D7,CK,DA"
1569982432,2,0,3,"CJ,C6,CA,C2;D2,D6,DJ,DA;S10,S4,S8,SK;C4,C3,C5,C7;S2,S6,S9,D8;C10,DQ,CK,CQ;DK,D10,C9,D3;D5,S7,SQ,S3;C8,SA,SJ,S5;D4,HA,HK,HJ;H8,HQ,H9,H5;H4,H2,D9,H7;H10,H3,H6,D7"
