1569982455,2,0,2,"C4,C3,CQ,C2;SQ,S4,S7,S6;S5,S10,SA,S8;DK,D3,D4,DJ;D8,D7,D6,SK;C10,C7,C8,CJ;SJ,C5,S9,C6;S2,CK,S3,D2;D10,D5,DA,H5;C9,H3,HA,H2;D9,H9,HK,DQ;H6,H8,H4,HQ;CA,H7,H10,HJ"
1569982455,2,18,2,"CQ,C6,C3,C2;S9,S5,S6,S4;D6,D5,D3,D2;DA,D7,D9,D4;S3,SJ,S10,S2;C4,CJ,C7,CA;S7,C5,S8,DQ;SA,SK,C8,C10;SQ,D8,D10,C9;CK,DK,DJ,H9;H3,H6,HQ,H2;HK,HJ,H10,H8;H5,H7,H4,HA"
1569982455,2,4,2,"C6,C4,CK,C2;DQ,DK,D3,D8;CJ,CQ,C8,C10;SK,S8,S10,SQ;D2,D6,D5,DJ;C7,SA,C5,C9;S4,S3,SJ,S6;D4,D10,DA,S9;S7,D7,S2,S5;H3,HK,H2,H9;CA,H6,H5,C3;H7,H10,HJ,H8;HQ,HA,D9,H4"
1569982455,2,4,2,"C7,CJ,CK,C2;CA,CQ,SJ,C4;C9,C6,S3,C10;D4,D10,DJ,D5;D7,D9,D8,DA;S2,S6,S4,SK;D2,C3,DQ,DK;S8,SA,S9,S10;C8,D6,D3,C5;S7,H10,SQ,S5;H5,H2,H8,H4;HJ,HA,HK,H3;H7,H9,HQ,H6"
1569982455,2,6,2,"C3,C10,CA,C2;S7,S3,SK,SQ;SA,S10,S6,S8;C5,D5,C6,C7;C9,DA,D6,C4;C8,S2,D10,CJ;S4,D7,DQ,SJ;D2,DK,D9,DJ;D3,H8,D8,S5;HQ,HA,HJ,H5;H4,HK,H7,H2;H9,CK,H6,CQ;H3,S9,H10,D4"
1569982455,2,20,2,"CJ,C3,C8,C2;C4,D8,CQ,C7;S2,S9,S7,S8;D10,D3,D9,D7;D6,DK,D2,C9;S10,S6,SJ,S3;DQ,DA,D5,C10;C5,HA,D4,CA;H9,H7,HK,H10;C6,H2,S5,SK;H5,HQ,HJ,H8;H6,H3,DJ,SA;H4,S4,CK,SQ"
1569982455,2,5,2,"C5,CJ,CA,C2;S9,S8,S7,S3;C4,C10,C6,C9;D8,D9,D2,D7;SA,SQ,S2,S4;S10,DJ,CK,SJ;DA,D4,D10,D6;C3,DQ,C7,S5;HA,H9,HJ,H3;H8,H4,H5,H6;H2,HQ,HK,D3;CQ,DK,H10,S6;C8,D5,H7,SK"
1569982455,2,13,2,"C9,C6,C7,C2;D9,D8,D10,D4;S9,SA,S6,S3;CJ,C8,CQ,C10;D2,D7,S5,DA;D6,SJ,S8,DJ;S2,SQ,S7,S4;C5,C3,DK,CK;SK,H7,H10,HK;D5,H2,HQ,DQ;H6,H3,H4,HJ;S10,HA,CA,H8;D3,H5,C4,H9"
1569982455,2,15,2,"CK,C4,C7,C2;S2,S9,SA,S3;D5,DQ,D9,D8;D4,D10,D7,D6;S7,S5,S6,SJ;CQ,C9,C3,C5;CA,DK,CJ,C6;C8,D2,D3,C10;S4,H3,HQ,SQ;HK,HA,H7,H4;H9,H5,S8,H10;DA,HJ,H2,SK;DJ,H8,H6,S10"
1569982455,2,6,2,"C4,C10,C3,C2;S10,S5,S7,S4;S2,SA,C7,SJ;CJ,C9,CA,C6;D4,DQ,D3,DK;S3,C8,SQ,S8;D7,DJ,D9,D8;CQ,C5,CK,SK;HK,H4,HA,H9;D5,D6,H3,DA;H2,HJ,D10,H8;H6,HQ,S6,H10;S9,D2,H5,H7"
1569982455,2,20,2,"C8,CQ,CJ,C2;SJ,S10,S9,S6;D2,D5,D10,DA;C9,CK,C3,CA;SK,S4,S2,SA;C10,C5,C7,C4;DJ,DK,S3,D4;D8,H4,D7,D6;D9,HK,D3,DQ;HJ,H2,HQ,H9;H10,H6,HA,H7;S7,H3,SQ,S5;S8,H8,C6,H5"
