1569982464,2,18,2,"CK,C7,CJ,C2;S3,S5,SQ,SA;C4,C10,C8,C9;D5,DQ,D7,D6;C5,C3,DJ,C6;S8,S6,S4,SJ;D8,D10,D4,D2;CQ,S2,H3,H2;HQ,H6,H10,DA;H8,H9,HJ,D3;HA,H5,CA,S10;H4,H7,S9,D9;DK,S7,HK,SK"
1569982464,2,8,2,"C3,CK,CQ,C2;D10,D5,D7,D2;D6,CJ,DK,D4;S4,S5,S9,S6;S7,S8,S2,S10;C8,C5,C6,SJ;D9,D3,D8,S3;SK,DJ,C4,SQ;C9,C10,H8,HJ;H4,H9,H2,HK;HQ,C7,HA,H7;H6,SA,H10,H3;H5,CA,DQ,DA"
1569982464,2,8,2,"C4,CJ,CQ,C2;DJ,D3,DK,D6;SJ,S8,SQ,S6;C10,CK,C6,C8;S3,S10,S2,S7;D9,D4,DA,D8;C7,C9,CA,C5;D7,D10,D5,D2;HA,H8,HQ,H3;H4,S4,H5,H10;S9,S5,SA,H2;HJ,DQ,HK,H7;H9,C3,SK,H6"
1569982464,2,17,2,"C10,S5,C3,C2;SA,S10,S7,SQ;DK,D3,D5,D9;S6,S3,S2,S4;C9,D7,CQ,C4;D4,D6,D2,DQ;SJ,S8,S9,DJ;CK,SK,C5,CJ;D8,H8,C8,DA;H3,H5,H6,HJ;H9,H7,HK,HA;CA,C7,H10,HQ;C6,H2,H4,D10"
1569982464,2,0,2,"CJ,CA,C5,C2;D7,D9,D10,DJ;SQ,S7,S5,S8;S4,S2,S6,SJ;DQ,D3,DK,D5;C3,C9,C6,CQ;SA,SK,S10,S3;D8,DA,D4,D2;H5,H4,H3,H9;C8,C7,HA,H8;CK,C10,H7,H2;HK,C4,H6,HJ;D6,S9,H10,HQ"
1569982464,2,2,2,"C9,C5,CQ,C2;S7,S8,S3,S5;DQ,D6,D9,D3;D8,D5,D4,CJ;DK,D2,D7,S2;C4,C3,SK,CK;SJ,D10,S9,S4;C6,C10,C8,DJ;DA,HA,SA,HK;H4,H9,HJ,H3;S6,H8,H2,H6;SQ,H5,H10,CA;S10,H7,HQ,C7"
1569982464,2,15,2,"C7,C9,C6,C2;CQ,CJ,C4,C5;D8,D6,D10,D5;SA,S2,SJ,SK;DA,D9,DK,DQ;S6,S5,S7,S3;CK,CA,C8,DJ;S10,S9,S4,SQ;H2,HA,H5,H9;D4,D3,HK,H6;H10,C10,H8,HQ;H4,D2,D7,HJ;H3,C3,H7,S8"
1569982464,2,7,2,"CA,C8,C6,C2;SJ,SQ,S10,S3;D6,D7,DJ,D5;C5,C3,D4,S9;DA,D2,D9,D3;CQ,C7,S8,DK;C9,CJ,DQ,D8;S2,SK,S7,H7;HK,HJ,S5,H5;H6,H3,C10,HA;HQ,H10,C4,CK;H2,H8,D10,S4;H4,SA,H9,S6"
1569982464,2,19,2,"C9,CJ,CK,C2;S8,S4,S10,SA;D10,DK,DQ,DJ;C6,SQ,CA,C10;D9,DA,S7,D2;SJ,S2,D7,SK;D5,D6,C7,CQ;D8,D4,C5,H4;S3,S6,H6,HK;H7,H5,H2,HJ;H9,H8,S9,C4;H3,HQ,S5,C3;HA,H10,D3,C8"
1569982464,2,2,2,"C8,C5,CQ,C2;D3,D9,D2,D10;SK,SQ,S3,S2;D7,DK,DJ,DQ;C10,C4,C3,S10;D5,CK,D4,SJ;D6,CJ,D8,S7;CA,S5,C7,SA;C6,H4,S4,H6;H10,H5,HQ,HJ;DA,S9,HK,H3;S6,S8,H8,HA;H7,H9,C9,H2"
1569982464,2,0,2,"C6,C5,C3,C2;S10,S7,S3,S6;D4,DQ,D6,D5;SA,SK,S5,S8;C9,CK,C8,CQ;D7,D3,DA,D2;CA,CJ,SQ,C10;C4,D10,H3,S4;H8,H10,HA,HK;H6,D8,H7,HJ;H4,S2,HQ,H2;H9,SJ,DK,C7;H5,S9,DJ,D9"
1569982464,2,20,2,"C7,C8,C5,C2;SK,SQ,SA,S2;C6,C10,DJ,CA;D5,D8,D4,DA;S9,S5,S8,C9;S7,D6,SJ,D9;D7,D2,CJ,D10;S6,C3,S10,CQ;D3,DK,DQ,H7;C4,H3,H5,H10;CK,HA,HK,HQ;H8,H4,H9,H6;HJ,S3,S4,H2"
