1569982472,2,16,0,"CA,C5,C3,C2;DQ,D5,D2,D8;S5,SQ,S4,S9;D9,DA,C10,DJ;D4,C8,D6,D10;S6,SK,C6,S3;DK,C7,D3,CJ;D7,C4,S10,CK;S7,H4,SA,S8;H2,HJ,H9,HK;C9,H10,H6,CQ;H3,H5,H8,H7;SJ,HA,S2,HQ"
1569982472,2,0,0,"C10,CK,CA,C2;DQ,D10,D7,DJ;DK,DA,D3,D2;S7,S4,S9,SQ;SK,S6,S2,SJ;C6,C8,C9,C4;S10,SA,CJ,CQ;D6,D5,D4,D9;C7,D8,C3,C5;H10,HK,H2,H3;HA,HJ,H4,HQ;H9,H5,S3,H7;H6,S8,S5,H8"
1569982472,2,7,0,"CK,C7,CJ,C2;DK,DA,D7,DQ;SJ,S3,S9,S7;C9,CA,C8,C4;SA,S10,S6,S8;D10,D9,D5,DJ;CQ,C5,C6,S5;S4,C10,S2,SK;D4,D2,H5,D6;HA,H3,H8,H2;C3,H10,H7,D3;HJ,HQ,H6,HK;D8,SQ,H9,H4"
1569982472,2,12,0,"CQ,CK,C7,C2;S9,SA,S6,SJ;C5,C3,C10,S8;D6,D4,D3,DJ;SK,S5,S2,S10;DQ,D9,C9,D5;S3,S7,S4,SQ;DK,D10,C8,D8;D7,C6,C4,HK;H2,H9,HA,HJ;H8,H5,H6,H3;H7,CJ,D2,H4;HQ,CA,DA,H10"
1569982472,2,3,0,"C3,CJ,C4,C2;D7,D9,D8,DA;S7,SA,S8,S2;C8,CA,C10,C7;S4,SJ,SK,S10;S9,D4,SQ,S6;DK,H4,D3,D2;H7,H5,HA,H10;CQ,HQ,C9,S5;H3,HK,DJ,H9;H6,S3,HJ,DQ;CK,C6,D6,H2;D10,C5,D5,H8"
1569982472,2,4,0,"C6,C3,C8,C2;SK,S9,SQ,S4;S8,S6,S10,S3;DK,D7,D4,D6;D3,DA,D5,D10;C4,C10,D9,C5;CA,CJ,DQ,CK;CQ,SA,D8,C9;D2,DJ,S5,SJ;H10,HA,HJ,H2;H9,HQ,H6,H4;H5,H7,HK,S2;C7,H3,H8,S7"
1569982472,2,0,0,"C7,C10,C4,C2;S5,S2,SK,S6;SA,SJ,S7,SQ;DA,D7,D10,DQ;D5,DK,D8,D9;CA,C9,C3,CK;C5,C8,CQ,DJ;D2,D4,D6,S8;CJ,S10,S3,S4;S9,H10,HA,H7;C6,HQ,H5,H9;H8,H2,HK,HJ;H4,D3,H6,H3"
1569982472,2,3,0,"CK,C7,C9,C2;CJ,C8,DQ,C10;D3,D2,D6,DK;C4,CA,D5,C6;S7,S3,S2,S9;D8,CQ,D10,D7;S10,SK,S4,SJ;C3,D9,DA,SQ;SA,H9,S8,S5;H5,H2,HK,H8;DJ,H7,H4,HJ;D4,HA,C5,H10;H6,HQ,S6,H3"
1569982472,2,4,0,"C4,C7,C10,C2;S7,S5,S3,D10;S4,S6,S2,DA;D6,DK,D8,D9;C5,C9,C3,CA;SJ,DJ,SA,S8;C8,CJ,SQ,C6;DQ,CQ,D3,D4;D7,H10,H3,D2;H9,H4,H2,HJ;S10,HQ,SK,D5;H5,HK,H7,H6;HA,CK,S9,H8"
1569982472,2,16,0,"C6,CJ,C7,C2;S7,S5,SJ,S2;D5,D9,DA,D6;DQ,DK,D4,D8;S9,S3,SQ,C3;S8,CA,SA,CQ;C4,C8,CK,C5;S10,D7,S4,D2;C10,C9,D3,DJ;S6,HQ,HJ,H6;H7,H2,HK,H8;H5,HA,SK,H3;H9,D10,H10,H4"
1569982472,2,2,0,"CQ,C5,C4,C2;S3,S5,SA,S10;DQ,D5,DJ,DK;S9,S6,SJ,S2;C3,DA,D6,C10;C9,C8,D8,D4;C7,CK,D9,D2;SK,S4,HJ,S8;SQ,H7,H2,S7;CJ,H6,H3,CA;H5,HK,H9,H10;C6,D3,HQ,H4;D7,D10,H8,HA"
1569982472,2,0,0,"CJ,C10,D3,C2;D9,D5,DA,D8;SJ,S6,S4,S5;SA,S3,SQ,DK;DQ,D7,DJ,D2;S7,C6,S8,C8;D10,SK,D4,D6;C4,H8,C9,CK;H6,HJ,H2,C5;H5,H3,HK,S10;H7,H9,S9,H10;H4,CA,S2,HA;C3,CQ,C7,HQ"
