1569982482,2,0,3,"C5,CQ,C10,C2;SK,S9,S8,SA;D8,D6,D10,D4;C9,C3,CK,C8;DA,DK,DQ,C7;C4,CJ,CA,C6;DJ,D3,D5,S3;S6,HA,SJ,S2;H7,H6,H9,H3;H8,HQ,H4,H5;H10,S10,HJ,S7;S4,SQ,HK,D9;D7,S5,H2,D2"
1569982482,2,0,3,"CJ,CK,CQ,C2;D10,D9,DA,D2;D3,DK,D4,S7;S8,SK,SQ,S6;C6,C9,D7,C7;S4,S9,SJ,S2;DQ,DJ,SA,D8;D5,S10,CA,S3;D6,C8,C4,C3;H4,HA,H6,H2;S5,HQ,H8,H9;C10,H3,HJ,HK;C5,H10,H7,H5"
1569982482,2,13,3,"C9,CQ,C4,C2;D9,DQ,DA,D10;SJ,S8,S2,SA;DJ,D7,D6,D2;C10,CJ,CK,CA;SQ,S9,S4,SK;C7,DK,S5,C6;D5,D3,D8,S3;S6,D4,C8,S10;H6,HQ,H5,H8;H9,H10,H4,HA;H2,HK,C3,H7;HJ,C5,S7,H3"
1569982482,2,6,3,"C4,C10,CJ,C2;D9,DA,D6,DJ;CA,CQ,C7,C6;C5,SQ,C9,CK;S6,S4,S7,SK;D3,D10,D7,D5;S2,S5,S9,S10;C3,S8,C8,D2;SJ,S3,D8,SA;DQ,D4,H2,HJ;HA,H7,H5,HK;H6,H3,H4,H8;H10,H9,HQ,DK"
1569982482,2,5,3,"C7,D4,CJ,C2;S10,S9,SJ,SK;D2,D3,DQ,D7;CK,C5,DJ,C4;S2,S5,S3,SQ;D6,D5,D9,D10;CA,CQ,C10,DA;S6,S7,SA,S8;C9,C8,H7,HA;D8,DK,HQ,H9;H10,H3,H5,HJ;H6,H8,H4,H2;HK,C3,S4,C6"
1569982482,2,23,3,"C4,C6,CJ,C2;C7,CQ,CK,C3;D2,D8,DA,D3;D7,S5,DQ,D4;C5,C10,CA,S3;S10,S6,S9,SA;DJ,SJ,D6,DK;S8,S7,S4,SK;D9,HA,D10,S2;C9,H5,HJ,C8;H10,HQ,H3,H7;HK,H4,D5,H6;H9,H8,SQ,H2"
1569982482,2,3,3,"C3,CQ,C7,C2;S4,SK,SA,SJ;D5,D7,D8,D2;C5,CA,C6,CJ;D4,C9,D10,D9;S7,S10,S3,S5;C8,DA,C4,C10;S9,S2,SQ,DJ;D3,CK,S8,DK;DQ,H6,H7,D6;HJ,H8,H4,H5;HQ,H10,H3,H2;HK,HA,H9,S6"
1569982482,2,13,3,"C3,CA,C6,C2;S8,S4,CJ,S5;S3,SA,D3,CQ;S9,D5,DQ,SJ;SQ,D10,D9,S7;DA,D8,D4,C4;DJ,C10,DK,C8;C9,HK,C7,HQ;C5,H8,H3,H7;CK,HJ,H6,HA;H5,H9,D7,S10;H10,SK,S6,H2;H4,D2,S2,D6"
1569982482,2,0,3,"CQ,CJ,C7,C2;C10,CK,C3,CA;S8,S10,SJ,SQ;D8,DJ,DK,D9;D10,DQ,D7,D3;S7,S5,S4,SA;S2,SK,S3,S6;D5,C8,D2,DA;C4,D6,C6,S9;H3,H4,H7,HA;C9,H10,HQ,HJ;D4,HK,H9,H8;C5,H2,H5,H6"
1569982482,2,4,3,"CA,C7,C5,C2;SQ,S7,D7,S3;SJ,SA,D4,S10;DQ,D2,DJ,DK;S9,C8,S6,S8;S5,CK,S4,DA;SK,D9,D10,D6;CJ,D3,C4,C10;S2,HJ,D5,H3;H7,H4,H9,H6;C6,H5,C9,C3;H10,D8,HQ,H8;HA,CQ,HK,H2"
1569982482,2,14,3,"C8,CA,C10,C2;D4,D3,D8,DA;S8,S5,SJ,S3;SK,S6,SA,S9;DQ,D7,D9,DK;C3,C6,C5,D10;CK,C9,C7,S10;CQ,CJ,D2,D6;C4,D5,SQ,H5;HQ,HK,H6,HJ;DJ,H8,HA,H7;S2,S7,H3,H10;H4,S4,H2,H9"
1569982482,2,6,3,"C10,CA,CJ,C2;S2,S4,SK,SQ;D6,D3,DJ,D5;C8,CQ,C6,C7;CK,S10,D10,C4;SJ,S7,S5,S9;C5,D9,S6,C3;S8,SA,S3,D7;DK,DA,C9,D2;HK,H3,HQ,HJ;H2,H5,H10,D8;H6,HA,H8,D4;H9,H4,H7,DQ"
1569982482,2,4,3,"C3,CJ,CQ,C2;D9,D8,D3,DK;S9,S6,S4,S7;S3,SK,S5,SQ;C8,C10,D10,CA;S2,S8,DQ,DA;C5,C4,DJ,C9;S10,C7,SA,D4;C6,CK,SJ,D6;H8,H3,H9,HK;H2,HQ,D7,H10;H4,D5,HJ,H6;H5,D2,HA,H7"
