1569982483,2,26,1,"C7,C5,C8,C2;SQ,S10,S7,S2;D3,D8,DA,D10;D6,DJ,DQ,D2;CJ,C6,C9,C4;D7,C3,S5,D9;SK,S6,SA,CK;CQ,CA,C10,S4;S9,S8,DK,D4;H4,HA,H6,H10;H9,H2,H3,H7;S3,HJ,HK,H8;SJ,D5,H5,HQ"
1569982483,2,0,1,"C8,C6,CQ,C2;SA,S5,SQ,S8;S4,S7,D6,SK;D10,D9,D4,DA;S10,S6,C4,S9;D2,DJ,D8,DQ;C9,C7,CK,D3;D5,C10,DK,S2;SJ,CJ,HQ,CA;H6,H4,H2,H10;D7,C3,HJ,S3;H9,H3,H5,H8;C5,HK,HA,H7"
1569982483,2,2,1,"C9,C6,D8,C2;S6,SK,SJ,S7;C8,S2,C4,C10;SQ,S9,S8,S5;DA,D6,D5,DJ;SA,S3,DK,CA;D9,DQ,D2,D4;H8,HK,HA,H9;S4,H5,HQ,C5;D3,D10,H2,C3;CQ,D7,H7,C7;H3,HJ,H6,H10;S10,CK,H4,CJ"
1569982483,2,22,1,"CJ,CA,C6,C2;S9,SK,S7,S4;D2,DJ,D5,D8;C7,C3,C5,C9;D4,D6,D7,DQ;D10,S3,DA,S5;CK,CQ,C4,C8;HJ,HQ,H6,H7;SQ,SJ,H9,S2;SA,HA,H3,S6;S8,H5,H8,D9;H4,H2,HK,D3;H10,C10,S10,DK"
1569982483,2,0,1,"C10,C4,C9,C2;S6,SK,SQ,S4;C3,C6,CJ,C7;D3,DA,DK,DQ;D6,CA,D8,D2;D10,CK,DJ,D4;S2,S5,S3,SJ;SA,CQ,H6,S7;S8,C8,HJ,H3;S10,H9,H8,H10;H4,H2,HQ,D5;HA,H5,HK,D9;H7,C5,S9,D7"
1569982483,2,1,1,"CA,CJ,C9,C2;DJ,D7,D10,S10;D2,DQ,D6,S6;CQ,C10,C3,C8;SQ,S9,S8,S7;D4,D8,C4,D9;DK,C5,SK,D3;DA,SA,C6,SJ;D5,S4,C7,HJ;HQ,H6,H7,HA;H5,H3,H10,H8;S3,S5,H2,S2;H9,HK,H4,CK"
1569982483,2,18,1,"C7,C10,CJ,C2;S2,SQ,SJ,SA;D10,D8,D9,D6;D4,DA,DK,DJ;CA,C4,C6,S7;CQ,C8,C5,DQ;CK,C3,S10,S6;S9,S8,S3,D2;S4,C9,S5,D7;SK,D5,H5,H6;H9,H4,HQ,H8;HJ,H10,H7,HA;H3,D3,H2,HK"
1569982483,2,0,1,"CA,C6,C9,C2;C4,C7,C3,C10;D2,D3,D10,D5;S3,SJ,S2,SK;CK,C8,D8,CQ;SQ,S8,S5,S6;D6,S10,DJ,DA;DK,S9,D7,D9;HA,H5,HQ,HJ;H3,H2,H8,H10;C5,CJ,H6,H7;S7,H4,S4,H9;SA,DQ,D4,HK"
1569982483,2,7,1,"C6,CA,C10,C2;S5,S4,S10,S6;S9,DJ,SK,SJ;D2,DK,D9,D7;CJ,S3,CQ,CK;S7,C5,SA,SQ;DQ,D6,D8,D5;H4,HQ,HJ,H3;C4,HA,H9,C3;C7,S2,H7,C9;D10,DA,D4,H10;H8,HK,C8,H2;H6,D3,S8,H5"
1569982483,2,3,1,"C8,C5,CJ,C2;SA,S10,SJ,S4;C3,CQ,D4,C10;D10,D3,DK,D2;S9,S3,S5,S2;D9,DJ,DA,D7;C7,D6,CK,D5;DQ,H8,SQ,H3;H6,HJ,H4,H10;S7,S8,HA,SK;HQ,C4,HK,H7;H5,C9,CA,H9;S6,H2,C6,D8"
1569982483,2,13,1,"C3,C10,CA,C2;D8,D10,DQ,DK;S4,S5,S7,SQ;D4,D3,S2,D7;C5,C7,C8,DJ;S3,S10,S9,SK;C4,C9,D5,S8;DA,S6,CJ,SJ;D2,HQ,HJ,H2;H10,H4,C6,HK;H3,H5,CQ,H9;D9,H6,HA,CK;D6,H8,H7,SA"
1569982483,2,0,1,"C4,CK,C7,C2;D2,DQ,D10,D4;D5,DA,D6,D9;CJ,CA,C9,C10;S3,S10,SA,SJ;S7,CQ,S6,S2;DK,C5,D3,D8;S9,C8,S5,SQ;C3,H6,H3,SK;H2,H5,H8,HQ;S8,DJ,HA,C6;D7,H4,H7,HJ;S4,H10,HK,H9"
1569982483,2,8,1,"C10,CK,CQ,C2;D7,D4,D3,DA;S10,S5,SK,S3;D6,DQ,DJ,C6;DK,D2,D5,SA;D10,D9,C8,C5;S2,SQ,S4,S9;CA,C3,C7,SJ;S8,CJ,S7,S6;H5,HQ,H10,H6;H7,H3,HJ,H8;C4,H2,C9,D8;H4,HA,H9,HK"
