1569982497,2,5,3,"C8,C7,CQ,C2;D6,D9,D4,D10;D8,D3,DQ,DJ;S10,SQ,S6,S8;CK,C6,C3,CA;S7,S5,S2,SJ;D5,DA,C5,D2;DK,SA,C4,C9;D7,C10,CJ,H7;H2,HK,HQ,H8;H10,SK,H5,HJ;H3,S9,HA,H9;H4,S4,H6,S3"
1569982497,2,0,3,"CQ,C5,C6,C2;D9,D3,DJ,D6;D10,DA,D7,D2;S7,S2,S9,S5;C9,CJ,S6,C7;D5,D8,DK,C3;SK,SQ,SA,SJ;S10,S8,S4,S3;D4,C10,CK,DQ;H8,H7,HA,HQ;H3,H9,H5,H4;HJ,HK,H2,H10;C8,CA,H6,C4"
1569982497,2,13,3,"C6,CQ,CJ,C2;DA,DJ,D6,S6;D2,D3,D8,CA;S9,S4,SA,SQ;DQ,C5,D9,S7;D10,C4,D5,C7;D7,C9,CK,S3;C3,C10,S8,C8;SK,SJ,H3,S10;H10,H7,H2,H4;HA,H9,HJ,HQ;S5,DK,H6,H8;S2,D4,H5,HK"
1569982497,2,3,3,"C5,C3,CK,C2;SJ,S7,S2,S10;D9,D10,D2,D3;D8,SK,DJ,D6;S8,S4,SQ,S5;CQ,CJ,D7,CA;DK,C8,SA,D5;S3,S6,C9,DA;C7,C4,C10,DQ;C6,H7,D4,H4;HK,HJ,H9,HQ;H8,H5,H2,H3;H10,H6,S9,HA"
1569982497,2,0,3,"C7,C5,C10,C2;DJ,D9,D8,DK;SA,S10,S6,S7;S4,S3,SJ,S9;D7,D6,DA,D5;D4,C3,DQ,D3;D10,S2,CA,C8;C6,SQ,C9,CK;C4,H10,CJ,SK;H3,H8,H5,H9;S5,HJ,H2,HA;CQ,HQ,H6,H4;S8,HK,D2,H7"
1569982497,2,3,3,"C10,C3,CQ,C2;D10,D3,D6,D9;SJ,S10,S4,S6;S2,S9,SQ,S7;DA,D5,D2,D7;C7,C4,C5,C8;S3,C6,SA,DQ;SK,DK,CK,S5;S8,HJ,H5,H4;H7,CA,HA,H9;H8,D8,HK,H10;H3,D4,HQ,H2;H6,DJ,CJ,C9"
1569982497,2,0,3,"C4,C8,CJ,C2;S4,S2,S10,S3;DK,DJ,D2,D5;DQ,D3,DA,D8;C3,CA,S5,C10;S6,D7,S8,S9;S7,D6,C6,SA;C9,D9,SK,C5;CK,H3,H9,C7;HA,HQ,H6,H2;H5,H7,HJ,H4;H10,H8,SJ,D10;D4,HK,SQ,CQ"
1569982497,2,13,3,"CJ,C5,CQ,C2;S4,SQ,SJ,S6;C9,DQ,CA,C8;CK,D9,C7,S10;C10,D7,D4,S9;C3,S3,DJ,D2;C6,S7,S8,SA;C4,DK,S2,D10;D3,D5,D8,SK;D6,H7,DA,H2;H10,HK,HQ,H9;H4,H6,H3,H8;HJ,H5,S5,HA"
1569982497,2,0,3,"CK,C5,C10,C2;S6,SK,S8,SA;CJ,C6,C8,S10;CQ,C3,C7,DK;S3,S5,SJ,S9;DJ,D7,D10,DA;D5,DQ,D4,S4;D9,D6,D2,C4;C9,SQ,S2,CA;H6,HA,H5,H3;D8,D3,HJ,H10;H2,H8,H9,HQ;HK,S7,H7,H4"
1569982497,2,13,3,"C3,CJ,C9,C2;D3,D2,DK,D5;D6,DQ,DJ,DA;C4,C10,CA,CQ;S4,S9,SA,SK;S5,S6,SJ,S10;S7,S8,S2,SQ;C8,CK,D8,C5;C6,D9,S3,D7;C7,H10,H7,H9;H5,H2,HA,HJ;D10,HQ,H8,H4;D4,H6,H3,HK"
1569982497,2,5,3,"C6,C8,C7,C2;D4,D8,DA,D2;C5,CA,CJ,C10;S6,S8,S9,SK;SJ,S7,S3,S10;DK,DJ,D3,D6;DQ,D10,C3,CK;C4,D5,CQ,C9;SQ,S4,D7,S5;S2,D9,H9,SA;H7,H8,H4,H3;H6,HJ,HA,HQ;H5,H2,HK,H10"
1569982497,2,17,3,"CQ,C9,C10,C2;SK,S7,S3,S9;S5,SQ,DA,S2;D10,DQ,D4,D2;D3,D7,DK,DJ;D9,D5,D6,D8;S4,S10,C5,SA;C7,C4,CA,CK;CJ,C6,S6,C8;C3,H6,HJ,H2;H7,HK,HA,H5;H3,S8,H9,HQ;H4,SJ,H10,H8"
1569982497,2,19,3,"C10,CJ,C3,C2;D10,DJ,D6,D4;S8,S5,S3,S10;C5,C7,D9,CK;S9,SQ,S4,D7;S6,S7,C8,SK;S2,DA,CQ,D8;DK,H10,DQ,D3;HJ,H8,HA,H9;H7,H5,D2,HK;HQ,H6,H3,SJ;C6,H4,C4,C9;SA,H2,D5,CA"
1569982497,2,6,3,"C6,CQ,C7,C2;DQ,D2,D7,D8;CJ,D6,CA,S4;SQ,S6,S10,SJ;C8,S2,D3,C3;SK,S5,D9,S3;CK,HA,H3,C9;H7,H2,H8,H4;HJ,S9,DK,HK;C5,D10,D5,H6;C10,S7,DA,HQ;C4,DJ,SA,H5;H9,D4,S8,H10"
1569982497,2,4,3,"C7,CK,C3,C2;D8,DJ,D2,D5;S9,SA,SK,S4;D6,D9,DA,D3;C9,C8,CA,C4;C6,CJ,D7,CQ;S7,SQ,S2,S6;S8,D10,S10,S3;DQ,H10,DK,SJ;H9,HJ,H3,H4;H8,HA,H7,H2;C10,H5,H6,C5;D4,HQ,HK,S5"
