1569982513,2,6,3,"C5,CJ,C9,C2;S5,S7,SQ,S10;C8,CQ,C4,CK;SA,S3,S8,S2;S9,SJ,SK,S4;D4,DJ,DQ,D10;C6,C10,DA,CA;S6,D9,D6,C3;DK,D5,D8,D2;C7,HA,HK,H8;H5,H4,H10,H6;H3,H7,D3,H9;H2,HQ,D7,HJ"
1569982513,2,26,3,"C8,C9,C4,C2;DA,D2,D8,DK;C5,CA,CK,CQ;S5,S9,S4,S10;D7,DQ,D10,D4;C10,CJ,S6,C3;S8,SQ,SJ,SK;S2,S3,SA,D9;D6,D3,DJ,D5;S7,H2,HJ,H5;HK,H8,H9,H10;HQ,C6,H7,H3;HA,C7,H6,H4"
1569982513,2,13,3,"CA,CK,C3,C2;D9,D6,D7,D3;D10,D5,D2,D8;SJ,S9,SQ,S2;CJ,C5,C7,S6;DJ,DK,S5,DQ;S4,SA,S7,S3;C6,S8,C8,DA;SK,H6,H3,S10;H4,H10,HA,HK;C10,H9,C4,D4;C9,H8,H7,H2;CQ,HQ,H5,HJ"
1569982513,2,16,3,"CA,C9,CJ,C2;S10,SA,S5,S7;C4,CK,C10,C8;DA,D8,DQ,D3;C3,C7,C5,S8;D10,DJ,D4,DK;SJ,S6,CQ,S4;SQ,SK,D2,S3;D7,D9,S2,D5;C6,S9,H6,H9;H3,HA,H10,H2;H4,HQ,HK,H5;H8,HJ,D6,H7"
1569982513,2,6,3,"C7,C5,C6,C2;DA,DJ,D2,DK;D4,D3,D9,D10;S5,SJ,S6,S4;C9,C4,D8,CQ;SA,CJ,S8,S2;C10,C8,SQ,D7;D5,CK,D6,DQ;S3,H5,S7,S9;H2,H7,H4,H9;HJ,HQ,HK,H3;H8,HA,CA,SK;H6,H10,C3,S10"
1569982513,2,0,3,"C4,CK,C7,C2;S4,S3,S9,S2;D10,D4,DQ,D6;CA,C8,C10,C6;SK,C9,S8,SQ;CQ,CJ,C3,DA;DK,DJ,D7,D9;H6,H2,HJ,D2;S10,H10,H7,S7;D3,D8,H8,D5;H4,HQ,H9,S5;C5,H5,SJ,HK;SA,HA,S6,H3"
1569982513,2,0,3,"CJ,C9,CK,C2;C5,C8,CA,C3;SQ,S2,S6,S8;DJ,DA,D6,D4;C6,C4,C10,D10;D5,D3,S5,SA;SJ,S3,S4,S10;D9,D2,HK,HQ;H5,H10,H8,H7;CQ,C7,H4,S7;H3,H6,H9,D7;HA,HJ,D8,DK;H2,SK,S9,DQ"
1569982513,2,17,3,"C3,C9,C8,C2;DA,D10,DQ,D6;DJ,D7,D3,D8;CK,S5,C10,CA;S2,SJ,S4,SK;CJ,S8,C5,SQ;C6,S10,C7,S6;D2,D4,D9,D5;SA,HQ,DK,S7;S9,H9,H10,H4;H7,HJ,H8,HA;H6,H3,H5,CQ;HK,H2,C4,S3"
1569982513,2,0,3,"CK,C5,C9,C2;DA,DQ,D8,D5;D6,DJ,D10,D2;S2,SJ,S8,S3;CQ,C10,CJ,C3;S9,S6,D4,SK;S4,SQ,DK,H3;H10,H8,SA,H7;C6,HA,C7,HQ;CA,HJ,C4,H5;D3,D7,D9,H2;S7,H4,S10,H6;S5,H9,C8,HK"
1569982513,2,0,3,"C8,CK,C10,C2;S2,S8,S3,SK;D4,D3,DJ,D6;C3,CJ,C6,D7;DA,D8,D5,D2;DK,DQ,D9,S5;C4,C9,CQ,S10;S4,S7,CA,S9;SJ,S6,HK,SA;H5,H10,HA,H8;H2,H4,H9,H7;SQ,C5,H6,HQ;D10,C7,H3,HJ"
1569982513,2,0,3,"C5,C9,C4,C2;D7,DK,D5,D2;SA,S8,S9,S5;S4,S2,S10,SQ;D8,DA,D4,DQ;C7,C3,CA,C10;D3,CK,D9,D6;C6,S6,CJ,DJ;SK,SJ,S7,HA;H10,H5,H4,H7;H9,H8,H2,HQ;HJ,HK,H3,D10;S3,CQ,H6,C8"
