1569982522,2,0,2,"C4,CA,CK,C2;D9,D8,DJ,DQ;S10,SK,S7,SJ;CQ,C7,CJ,C9;DA,D4,DK,D10;C10,C6,C8,C5;SA,S9,S3,S8;D7,D5,SQ,D6;D3,D2,S4,C3;H6,H2,HQ,HA;H7,H4,H10,H3;HK,S2,H9,H5;HJ,S5,S6,H8"
1569982522,2,7,2,"C8,CJ,C7,C2;DJ,D8,D6,D3;CK,C3,C10,CA;S7,S10,SK,S9;SJ,S6,S2,S8;S3,C5,SQ,S5;D9,DQ,DK,DA;S4,C4,CQ,SA;D5,D2,H8,D10;C9,HK,HJ,H4;C6,H7,H3,D4;H2,H9,H10,HQ;HA,D7,H6,H5"
1569982522,2,25,2,"CA,CQ,C9,C2;DA,D8,DK,DQ;C5,SJ,C7,CJ;C3,S4,C8,CK;D10,D6,D3,C4;S7,S9,S2,S10;SK,S8,S6,S5;C6,S3,D5,D4;C10,SA,DJ,HQ;H7,HK,H5,H8;HA,D7,HJ,H3;H10,SQ,H4,H2;D9,D2,H9,H6"
1569982522,2,9,2,"CQ,C4,C10,C2;S8,S10,S9,SK;DQ,D4,D9,D5;D3,DA,D7,DK;D8,CJ,D6,S7;C5,C9,C3,CA;S3,S5,S2,D10;C8,CK,D2,S4;C6,C7,DJ,SQ;S6,H2,H3,SA;HJ,HK,H6,H8;H7,H4,H5,HQ;SJ,H10,HA,H9"
1569982522,2,4,2,"C10,C3,C5,C2;CA,CK,CJ,C4;CQ,C7,SK,C9;DK,DQ,D2,D3;D7,D4,D9,S9;S2,S3,SJ,S8;S10,SA,DA,SQ;S5,HQ,DJ,S6;H3,H8,H7,HA;D5,H2,D8,H5;H10,H6,H4,S4;S7,HK,D6,C6;D10,HJ,H9,C8"
1569982522,2,3,2,"C9,CA,C7,C2;D9,D8,D6,D5;SQ,SA,S2,SK;D7,D10,DQ,DK;S4,C3,S8,S3;C10,CJ,DA,C4;C8,CQ,S7,S6;DJ,D3,D4,S9;S10,C6,HQ,SJ;HJ,H4,H6,H3;H8,HK,HA,H5;H7,D2,H2,H9;C5,CK,H10,S5"
1569982522,2,2,2,"CK,CQ,C5,C2;S6,SK,SQ,S8;D9,DJ,D3,DQ;S4,SA,SJ,S9;DA,D10,D8,D2;D4,D5,D7,DK;S5,S10,S3,S7;C4,C9,C3,C7;D6,S2,C10,CJ;H8,H5,HA,H7;HK,H10,H9,H3;C6,CA,H2,HJ;H6,C8,HQ,H4"
1569982522,2,16,2,"C9,C10,C4,C2;SA,S7,S9,S6;DJ,D10,D9,D2;SK,S10,D8,S3;DA,C5,DK,D6;D5,S8,D7,D4;C6,CK,C7,C8;CQ,CA,C3,CJ;HJ,H3,H5,H4;H7,HQ,H9,SJ;H10,H6,HA,S4;H8,HK,S5,D3;DQ,H2,S2,SQ"
1569982522,2,5,2,"C9,C5,C8,C2;S10,SA,SJ,S6;DA,D7,D10,DK;D8,D6,D3,D4;S7,C7,S3,S9;DQ,DJ,C6,D5;CA,S4,CK,C10;S5,D2,CJ,S2;CQ,H8,H2,C3;HA,H5,H9,H4;H7,H6,H10,HK;C4,D9,HJ,S8;SQ,H3,HQ,SK"
1569982522,2,4,2,"CK,C9,CQ,C2;D3,D10,DA,D7;S7,S6,SA,S8;D8,DQ,D2,D4;C7,C5,CA,C10;SK,SJ,S4,S2;S3,S9,S5,SQ;C4,C6,D6,C3;CJ,C8,DJ,S10;D9,H7,H6,DK;HA,HQ,HJ,H2;H3,H8,H10,H5;H4,H9,D5,HK"
1569982522,2,13,2,"C10,CJ,C4,C2;SQ,S7,S3,S5;S8,SA,S10,S2;D9,DQ,D10,D8;C9,C6,CA,C8;D3,D6,DK,DJ;CK,S6,CQ,C7;D2,D7,DA,S4;C5,H10,C3,H7;H8,H5,HA,H6;D5,D4,H2,HJ;SK,SJ,HK,HQ;S9,H3,H9,H4"
1569982522,2,1,2,"C8,CA,C5,C2;SJ,S8,S7,S6;D9,D5,D7,D4;S10,CJ,SQ,S9;DA,DJ,DK,D8;SA,S2,C4,S4;C9,C6,CK,C7;C3,C10,CQ,D2;D10,DQ,S3,H8;H7,H10,HQ,H9;HJ,HA,H4,D3;H3,H5,H6,D6;HK,SK,H2,S5"
1569982522,2,6,2,"C4,C6,CK,C2;S3,SK,S7,SJ;CJ,D8,C7,C5;CA,S10,C10,C3;C9,S5,D4,DQ;CQ,DA,D7,D10;C8,S9,S6,S4;SA,SQ,D9,S8;S2,DJ,DK,D6;HJ,H3,H8,H4;H10,H6,HA,D3;H2,HK,HQ,D5;H5,H9,H7,D2"
1569982522,2,9,2,"C3,C4,CK,C2;D8,D2,DA,D10;SQ,SA,S10,S2;C7,CJ,C8,C9;D7,D9,D4,D5;SK,S7,S4,S5;CQ,D3,CA,S3;DJ,D6,DK,S8;SJ,S6,C5,S9;HK,HQ,H4,H2;H10,HA,H6,H3;DQ,HJ,C6,H9;H8,H7,C10,H5"
