1569982525,2,0,1,"C4,CQ,C10,C2;D8,D4,D10,D7;S8,S3,SA,S10;C5,C9,C7,CJ;S9,D9,SQ,SJ;D2,D5,DA,S2;DJ,DK,S7,DQ;C8,CK,CA,C3;D3,C6,S5,D6;S6,H10,S4,H5;H6,H7,HA,H2;H4,H9,HJ,HK;SK,H3,H8,HQ"
1569982525,2,0,1,"C7,CA,C10,C2;DA,D3,DJ,D5;S9,S8,S6,SA;S7,S2,CK,SJ;CQ,C8,C3,C6;S4,D8,C4,SK;D6,D2,DQ,D7;C9,C5,S5,SQ;CJ,D10,S10,D4;D9,DK,H10,S3;H6,HJ,HK,H4;H3,H5,H2,H8;H7,HQ,H9,HA"
1569982525,2,12,1,"C9,C3,C10,C2;SJ,S5,S6,S3;DQ,D2,D8,D7;DJ,DK,SQ,D3;CJ,CQ,C8,C4;S2,S4,S8,D10;C6,C7,C5,S7;D9,D4,S10,CA;DA,D5,SA,HA;H9,HK,H4,H8;H10,H3,H7,H5;D6,S9,HJ,H2;CK,SK,H6,HQ"
1569982525,2,13,1,"C3,C9,C8,C2;S8,SQ,S5,S2;DA,D2,DQ,D8;S4,SK,SA,S7;C5,C6,C10,S10;D7,D5,DJ,D9;S9,S3,SJ,D10;D4,D6,D3,H4;CA,C7,H5,H10;CK,C4,H8,H7;HK,HQ,H9,H3;CJ,H6,HA,HJ;CQ,S6,DK,H2"
1569982525,2,13,1,"C5,C3,C4,C2;DQ,D6,D5,D3;DJ,DA,C9,D9;S5,SA,S7,S3;C10,C7,CQ,SQ;D4,D10,SK,D7;S8,S10,S2,S6;CK,D8,CJ,D2;CA,H5,C8,DK;H3,H4,H7,HJ;HA,H2,H8,HK;H10,H6,C6,S9;HQ,H9,SJ,S4"
1569982525,2,7,1,"C9,CA,C10,C2;SK,S6,S9,S2;DJ,DA,D9,D5;D7,DK,D10,D2;CJ,C8,C3,CK;D8,D6,S8,DQ;S4,SA,C6,S5;SQ,CQ,S3,SJ;C5,C7,D3,C4;HK,HQ,H8,H7;H6,H5,H4,H9;S7,H10,S10,HJ;H3,D4,H2,HA"
1569982525,2,4,1,"CQ,C7,C10,C2;S6,SA,S5,SJ;D10,D9,DA,D3;CJ,C5,S8,CA;C3,C4,SQ,D5;S4,S2,S7,SK;D2,D4,S9,C8;DK,DJ,C9,C6;D8,D6,CK,HA;HK,H7,H3,H10;H2,H4,H8,H6;H5,S3,HQ,HJ;D7,DQ,S10,H9"
1569982525,2,18,1,"CQ,CJ,CA,C2;S3,S8,SA,S4;D8,D5,DQ,D4;DJ,DA,DK,D6;C10,S9,C5,C9;S6,S7,S2,SJ;S5,SK,D10,S10;D3,C7,D7,C4;D9,D2,CK,C6;H2,H9,HK,H7;H3,HJ,H5,H4;H10,H8,HQ,H6;HA,C8,SQ,C3"
1569982525,2,0,1,"C8,CA,C5,C2;DA,D6,DK,D9;SK,SJ,S9,S10;SA,S7,S5,S6;S4,SQ,C3,C7;DQ,D4,D8,DJ;CK,C4,C9,D3;S2,D10,CJ,S8;S3,D5,C10,D7;H4,H7,HA,H9;C6,H10,H3,H8;CQ,H6,H2,HJ;D2,HK,HQ,H5"
1569982525,2,13,1,"C10,C6,CQ,C2;SQ,S6,S2,SA;D3,D9,D4,D5;S8,SK,S3,SJ;C4,C8,C3,CJ;S9,S7,DA,S10;D2,DJ,D6,D7;C9,CA,C5,CK;C7,S5,D10,DQ;H5,H8,H3,HK;D8,H4,H6,H2;HA,H9,H7,HJ;DK,HQ,S4,H10"
1569982525,2,2,1,"CJ,C8,C3,C2;D3,DA,D10,D8;SK,S7,S5,S9;D7,D4,D2,D6;CA,CQ,C9,C10;C7,C6,CK,C4;SJ,S3,S6,DK;SA,S10,S4,H6;H8,H9,H5,H7;D9,DJ,H3,H4;H2,HQ,H10,HA;SQ,HJ,DQ,S2;S8,HK,C5,D5"
1569982525,2,2,1,"CQ,C4,CJ,C2;D4,D6,DQ,D9;SJ,S10,S5,S9;C10,C9,CK,C8;D5,DJ,D7,DK;D8,D2,D3,DA;S3,S6,SA,S2;SQ,CA,C5,S4;C3,C6,HK,S7;HQ,HJ,H5,H7;H6,H10,H4,H2;H9,D10,S8,H8;H3,C7,SK,HA"
1569982525,2,0,1,"C5,C7,C10,C2;S3,S5,S8,S4;D3,D8,DQ,D4;D10,D6,DK,DA;S2,S6,SK,SQ;D5,CJ,CK,C9;S9,SA,C8,S7;C4,H6,CA,C6;D2,H3,H2,SJ;DJ,HJ,HQ,H7;S10,HA,H4,C3;D9,H9,H5,CQ;D7,H10,H8,HK"
