1569982529,2,18,3,"CA,SK,C5,C2;S4,S3,S10,S6;D10,D9,D4,DA;CK,SA,C4,C8;SQ,S9,S7,S5;D2,DK,D6,DJ;S2,SJ,C10,S8;D7,HA,DQ,D3;HQ,H6,HJ,H5;C9,HK,C6,C3;D8,H2,H9,CQ;H4,H3,H7,H8;CJ,H10,C7,D5"
1569982529,2,21,3,"CK,C8,C3,C2;S4,S5,S3,S2;D6,D4,D3,DK;S7,S8,SK,SQ;CQ,C6,CA,C5;D7,C7,DQ,D2;D10,C4,D8,D9;DJ,C10,DA,D5;SA,CJ,SJ,S9;S10,HJ,HK,S6;H5,H2,H9,H7;HQ,H6,H4,H8;H10,H3,HA,C9"
1569982529,2,0,3,"CA,C5,CJ,C2;S9,S3,S2,SJ;C6,C10,C3,CK;DA,D5,D8,D7;D10,D6,D4,S5;S8,SQ,S10,SK;C7,C8,DK,C9;DQ,S6,SA,D3;CQ,S7,C4,DJ;S4,H9,HK,H8;HJ,HQ,H6,H5;H3,HA,H10,H4;H7,D9,H2,D2"
1569982529,2,17,3,"C5,C8,C10,C2;D9,D10,D5,DJ;SQ,S5,S9,SJ;C7,C4,CJ,CK;S7,S3,S8,S6;D2,D7,D4,D3;C6,C3,DA,CQ;S4,SA,D8,SK;S2,H7,S10,H10;HQ,H6,HA,H2;H8,H4,H9,CA;C9,D6,H3,DQ;HJ,H5,HK,DK"
1569982529,2,0,3,"C8,CK,C3,C2;S5,S9,SQ,SK;D10,D8,D9,D3;D6,D2,D7,D5;CJ,C6,C10,C5;C4,S8,DK,C9;S6,S2,DA,S4;DJ,DQ,H3,H5;H4,HA,H9,H2;H10,H7,SJ,H8;HJ,CQ,D4,HK;S10,H6,S3,S7;SA,HQ,C7,CA"
1569982529,2,5,3,"C8,CA,C7,C2;DK,D9,D3,D10;CK,C4,CQ,D8;D6,D5,D4,D7;S10,SK,S3,SQ;S9,SA,S5,SJ;S2,S8,C9,D2;DQ,HQ,DA,H7;HK,H3,H6,HA;H4,S6,H8,H5;C10,C5,C3,HJ;CJ,C6,DJ,H2;S4,S7,H10,H9"
1569982529,2,4,3,"C3,C4,CK,C2;D6,D4,DQ,D5;DA,D3,DK,D9;D10,D8,SK,DJ;SJ,S7,S9,S5;C10,C6,C5,C8;D7,S6,S10,D2;C9,CA,SA,C7;S2,S3,SQ,CQ;CJ,H7,H10,H3;H4,HJ,H9,H5;H6,HA,HQ,H2;S4,HK,H8,S8"
1569982529,2,0,3,"C6,CQ,C9,C2;D7,DA,D9,DK;SK,S5,SQ,SA;S10,S6,S8,S4;D6,D8,D10,DQ;CA,C3,C8,C4;C5,C7,CJ,S7;D2,S2,D5,D4;CK,H6,C10,S9;HK,H4,HJ,HA;H10,H8,H9,H7;HQ,H3,H5,D3;S3,H2,SJ,DJ"
1569982529,2,7,3,"C8,C9,C5,C2;D4,D9,DJ,DA;S4,SK,S5,S10;D2,D6,D8,S7;D5,D3,D7,SQ;CQ,C7,CJ,CA;C3,CK,C4,C6;S9,S2,SA,S6;S3,S8,HA,H5;H8,HK,H7,H9;C10,H4,H6,H2;D10,H10,DK,H3;HJ,DQ,SJ,HQ"
1569982529,2,3,3,"C9,C8,C4,C2;D10,D7,DQ,DA;C7,CA,CQ,C6;S8,S10,S2,S7;C10,D5,DK,CJ;D4,D3,D9,D2;S4,SQ,S3,S6;S5,D6,SA,SJ;C5,H7,H5,H10;H9,HK,H6,HA;H8,H4,CK,H3;HQ,HJ,C3,SK;H2,DJ,S9,D8"
1569982529,2,6,3,"CQ,C5,CJ,C2;D3,D9,D5,D2;CK,C8,C3,C10;D4,DQ,DK,DA;S9,S5,S10,S6;S4,SJ,S7,SA;D8,D6,D7,C6;SQ,D10,S2,S8;DJ,H4,C9,C4;H9,H8,CA,HQ;HK,H6,H7,SK;H5,H10,HA,C7;HJ,H3,S3,H2"
1569982529,2,13,3,"C6,CJ,C9,C2;S2,SK,S7,SQ;S4,S5,D5,S9;D2,D8,D7,DK;S8,S6,D4,S10;DA,D9,DQ,C5;S3,CA,C4,SA;SJ,C3,CK,DJ;CQ,C7,C10,D3;H7,H10,HQ,H4;D6,D10,H8,H9;HJ,H5,HA,HK;C8,H3,H2,H6"
1569982529,2,0,3,"C7,C9,CQ,C2;D5,DJ,D3,DA;S8,SK,S2,S3;CA,C8,C6,C3;DQ,D6,D2,D8;S10,S9,D9,S5;S4,C5,D4,S7;CJ,DK,CK,D7;HQ,H8,H7,HA;H2,SQ,H5,HJ;H10,D10,C10,H4;H9,SJ,C4,H6;HK,SA,S6,H3"
1569982529,2,0,3,"C5,C3,CQ,C2;CA,C8,CJ,D8;S3,S4,SA,S10;D9,DJ,D6,CK;D4,DK,D5,C4;S8,S5,S6,SJ;SQ,S2,S7,D2;C9,D3,C6,C10;C7,SK,DQ,D10;HQ,H5,H3,H9;H8,H10,HA,HJ;HK,H6,DA,H7;D7,H4,S9,H2"
