1569982535,2,20,0,"C10,D10,CJ,C2;S4,S6,S3,S5;C6,CA,DK,C7;S9,S7,S10,SJ;DJ,D9,DQ,D6;D4,D3,D8,D7;CK,D2,CQ,C9;C3,SQ,C8,C4;S8,H9,DA,SA;SK,H8,H6,S2;H10,H4,H5,HA;H7,H3,HQ,C5;H2,HJ,HK,D5"
1569982535,2,0,0,"C5,CA,C6,C2;D6,D2,D8,DJ;DQ,C7,D5,D3;DK,C4,S4,D4;SA,S3,S6,S8;S2,SQ,S10,SJ;CQ,C3,C9,C8;CK,C10,D10,S9;CJ,SK,S5,D7;H8,H5,H10,H3;HQ,H2,HJ,H9;D9,S7,H7,DA;HA,H4,HK,H6"
1569982535,2,7,0,"CJ,CK,C9,C2;S6,S10,S4,S7;DQ,DJ,D3,D7;C4,C6,CQ,C5;D5,D2,D10,DA;D6,D9,D8,SQ;S8,SA,S2,H6;HQ,H2,H4,H8;C7,C10,H7,CA;H5,H10,HK,H3;HJ,SJ,D4,C3;HA,S9,SK,C8;H9,S3,DK,S5"
1569982535,2,0,0,"C8,C10,C4,C2;D3,D2,D5,DK;D10,D9,D6,DQ;CQ,CA,C9,C5;SA,S10,S6,S5;S8,S7,C3,S4;D4,SQ,DA,D8;CK,CJ,SK,S9;C7,S2,SJ,DJ;C6,S3,D7,H8;HQ,H7,HK,HA;H3,H9,H6,H2;HJ,H10,H5,H4"
1569982535,2,4,0,"C7,C3,C6,C2;D5,DA,D10,D2;CJ,C4,SQ,C5;SJ,S9,S6,S10;S7,SK,D3,S4;CA,D9,C10,CK;D4,DJ,DQ,S5;D8,D6,S3,S8;D7,DK,C9,C8;H8,HJ,H4,H5;H6,H9,HA,H2;H7,H3,SA,HK;S2,H10,CQ,HQ"
1569982535,2,3,0,"C4,C3,C8,C2;S7,S6,SJ,SA;D5,D6,D10,DA;S9,CQ,SQ,SK;CA,C6,C10,S2;DQ,D7,D9,D2;S4,DK,C9,S5;S3,C7,CK,C5;S10,H2,H3,H10;H6,H7,HQ,H5;HA,D8,H4,H8;D3,D4,H9,HJ;DJ,S8,CJ,HK"
1569982535,2,0,0,"C5,C6,C3,C2;SK,SA,S8,SJ;S10,S6,S5,S2;DJ,D8,D3,D7;C8,C9,D5,CQ;SQ,S7,DQ,S9;S4,C4,DK,S3;C7,CJ,D9,D10;CA,D2,D6,C10;D4,DA,HJ,H7;H5,H3,HQ,H6;HA,H9,H2,H4;H8,H10,CK,HK"
1569982535,2,19,0,"C7,CK,C9,C2;DA,D9,D5,D4;DJ,D3,SA,C10;S5,S9,SK,S7;S10,S8,D2,C4;C5,CQ,C3,C6;SJ,D8,S3,C8;S6,DK,SQ,CA;S4,D10,CJ,DQ;S2,D6,H2,H4;HJ,HQ,H3,HK;H7,H6,H8,HA;H9,D7,H5,H10"
1569982535,2,1,0,"CK,C4,C9,C2;C6,C3,C8,C10;S5,SA,S4,S6;C7,CA,D2,CQ;S9,SJ,S8,S7;D4,DQ,D8,D10;SK,DJ,S2,D3;D6,D7,D5,D9;C5,HQ,S10,H6;H9,H5,H10,HA;H2,H7,H3,HJ;CJ,H4,SQ,HK;DK,DA,S3,H8"
1569982535,2,4,0,"C6,C9,C4,C2;CA,C10,CK,CJ;DQ,DA,D8,DJ;D5,S3,D3,D9;DK,S4,D2,D7;C8,CQ,S2,D4;SK,SQ,S10,SJ;S7,S5,SA,S6;C7,H2,HA,C3;D10,H3,D6,HJ;H4,H8,H9,H10;S8,HQ,C5,H5;S9,H7,H6,HK"
1569982535,2,9,0,"CJ,C4,C10,C2;S3,SK,S6,S4;C6,CA,CK,C7;D3,D8,D5,D7;S8,S9,S5,SQ;D6,D4,DA,DK;C3,CQ,C9,S7;S10,C8,SJ,SA;H9,H7,H3,H5;H2,H8,DJ,H10;C5,HJ,D10,H6;D9,HA,D2,HK;S2,H4,DQ,HQ"
1569982535,2,6,0,"C5,CQ,C8,C2;S7,S6,SA,SQ;D3,D5,D2,DQ;DK,DJ,D10,D7;SJ,DA,D4,S8;S10,D6,C7,S4;S5,D8,CA,SK;CK,C4,C9,CJ;HQ,H3,H4,H9;H2,HJ,H10,S9;H8,H5,S3,H7;H6,D9,C10,HA;HK,C6,C3,S2"
1569982535,2,0,0,"CJ,CA,C4,C2;S7,S8,S10,SA;DA,D6,C5,DK;D7,DQ,CQ,DJ;SJ,S3,S6,S5;C6,CK,C3,D9;SQ,S2,SK,S9;D3,D2,D4,C10;D10,C9,D8,S4;H10,H6,H4,HJ;HQ,H2,C8,H8;H9,H7,C7,HK;H5,HA,H3,D5"
