1569982538,2,8,1,"D6,C5,C6,C2;D9,D2,D5,D8;DQ,C9,D7,D3;SA,S9,SQ,S4;S10,S7,S8,S5;DK,C10,D10,S6;S2,SJ,S3,C3;C7,D4,CJ,SK;CA,C4,DJ,DA;CQ,CK,H7,H2;H4,HA,H5,HQ;HJ,H3,H6,H8;H10,C8,H9,HK"
1569982538,2,18,1,"CK,C8,C6,C2;DA,D3,D7,D4;CJ,CQ,D6,CA;S9,S10,SK,S7;D10,DJ,D9,DQ;SA,S2,S5,SQ;S3,SJ,C10,S4;C3,C4,C9,S8;D5,DK,H10,D8;HK,H7,H9,H8;H6,HA,H5,H4;HJ,HQ,C5,H2;H3,C7,S6,D2"
1569982538,2,13,1,"C6,CK,CA,C2;D3,D2,D8,D9;SQ,SJ,S10,S6;DJ,D6,D5,D10;D4,DQ,D7,DK;C4,C10,C9,CJ;S4,S3,C3,SA;S7,S9,C8,SK;H4,H10,H3,HJ;S5,S2,H5,H2;C7,C5,HA,H7;CQ,H6,H8,HQ;S8,DA,H9,HK"
1569982538,2,10,1,"CJ,C8,C10,C2;C3,C6,CQ,C9;S8,S7,S6,S2;DA,D2,D10,D3;D8,DJ,DQ,D5;S3,S10,S5,SJ;D4,D9,SA,DK;CK,C5,S9,C7;CA,D7,SK,SQ;S4,H4,HK,H6;H8,H10,H2,H5;D6,HJ,H3,HA;HQ,H9,H7,C4"
1569982538,2,0,1,"C9,CA,CK,C2;SJ,S10,S8,S9;C7,C4,CQ,C5;D2,D5,DJ,D8;D10,D4,DK,DA;S4,SQ,S7,S6;C6,S2,CJ,DQ;D7,SK,D6,D9;S5,HK,S3,SA;C10,H4,C8,H2;H8,H6,H5,H10;HQ,H3,HJ,HA;C3,H9,H7,D3"
1569982538,2,4,1,"CQ,C4,C6,C2;C5,C9,D10,C7;S3,S2,S8,SQ;C3,C10,D6,CA;D7,DA,DQ,D9;S5,CK,SA,S6;SJ,D5,SK,S9;S4,D4,D8,S7;HA,HQ,H6,H8;H4,H7,HJ,H3;DJ,DK,D2,H5;CJ,C8,S10,H9;D3,H10,H2,HK"
1569982538,2,20,1,"C9,C8,C6,C2;D8,D9,D5,DA;S9,SQ,S5,SA;CA,CJ,S2,CQ;C5,S7,D10,C3;C4,S10,D6,C7;D3,D7,H10,DQ;H7,HA,H9,H6;S6,H4,HK,SK;D4,H5,DJ,S8;D2,H3,S4,DK;C10,HJ,CK,SJ;H8,H2,S3,HQ"
1569982538,2,0,1,"CJ,C9,C7,C2;S9,SA,S7,S8;DQ,DJ,D4,DK;D5,D8,D6,D9;S10,D3,S4,S5;S2,D2,SK,S6;CK,CA,S3,C8;DA,C10,SQ,D10;C6,C4,H7,C5;HA,HK,H5,H2;CQ,H10,H8,H6;C3,HQ,H9,SJ;H4,H3,HJ,D7"
1569982538,2,0,1,"C10,C8,CJ,C2;S8,S4,SK,S2;D10,DA,D2,D8;D3,D7,S10,D9;S9,S3,C5,SJ;C7,C9,CA,S6;DK,D4,CQ,DQ;C3,C4,CK,D6;HJ,C6,HK,H7;H4,S5,H10,H5;HQ,S7,HA,H8;H3,SA,H9,D5;H6,DJ,H2,SQ"
1569982538,2,0,1,"CJ,CA,CQ,C2;DJ,D7,DK,D8;C9,C4,C5,C10;DQ,D4,D3,D5;S3,S8,S7,SJ;S2,S6,S9,S10;D10,DA,D9,D2;C3,S4,C6,S5;D6,H2,SK,C7;H7,HK,H6,HJ;HA,H3,H8,CK;H10,HQ,H9,SA;H4,SQ,C8,H5"
1569982538,2,1,1,"CA,CK,C7,C2;DQ,D8,DK,D3;S8,SQ,S2,S9;D10,S3,D4,D6;D7,C4,D9,D5;S4,C3,S7,S10;CQ,CJ,C10,SK;SJ,SA,C5,S6;DA,H8,DJ,C8;H4,H5,HK,H3;H6,HQ,H9,H10;HJ,H2,D2,C9;HA,H7,S5,C6"
