1569982566,2,5,2,"C4,C10,C8,C2;DJ,DK,D7,DA;D2,DQ,S6,D10;S4,SK,S5,S10;CA,C5,D4,CJ;C3,C9,D9,CK;S8,S7,SQ,S9;D5,S3,SJ,D6;S2,H9,SA,C6;H8,HQ,H10,HJ;H6,H7,H3,D3;H2,H5,HK,C7;CQ,HA,H4,D8"
1569982566,2,8,2,"CK,C7,CQ,C2;S6,S7,S3,S5;D5,D3,DK,D9;S8,SK,SA,S9;D4,D7,DQ,D2;C6,C8,C10,C3;SQ,S4,C4,SJ;C5,C9,CA,D8;DA,D6,HA,DJ;H10,H4,HJ,H6;H7,HQ,H5,H2;S10,H9,HK,S2;CJ,H8,H3,D10"
1569982566,2,2,2,"CK,CA,C9,C2;D4,D5,D8,DJ;S6,SQ,S3,S9;S4,SJ,S5,SK;S8,C8,S10,S2;D6,DA,DQ,D2;D3,D10,C7,SA;C6,CQ,C5,C10;D9,H9,HQ,S7;H6,H10,H2,HK;CJ,HJ,DK,H8;C3,HA,H5,H3;C4,H7,D7,H4"
1569982566,2,18,2,"C8,CK,C5,C2;S4,S7,S2,S10;D2,D9,D7,D4;CJ,C7,DA,CQ;SK,D3,S8,S9;S3,D8,SQ,S5;C6,C9,DJ,C4;D5,D6,DQ,C3;DK,C10,D10,S6;SJ,H5,H9,SA;CA,HJ,H4,HK;H7,HA,H6,H10;H3,H8,HQ,H2"
1569982566,2,4,2,"C8,CA,C3,C2;SJ,S2,SQ,S9;C5,D2,C6,C7;D10,DJ,D3,D9;S10,D4,S8,S6;C10,DK,CJ,C4;SA,D5,S5,S4;S7,D7,CQ,S3;SK,HJ,D8,DQ;H3,H2,H4,H5;D6,H9,DA,H10;HA,HK,CK,H8;HQ,H7,C9,H6"
1569982566,2,7,2,"CK,CQ,CJ,C2;SQ,S7,S10,S8;C8,C7,D3,CA;C5,C3,D9,DA;DK,C9,D10,D6;SJ,S4,SA,S2;D5,C6,DQ,D2;SK,C4,S6,DJ;S9,C10,S5,D7;D8,H10,H5,H7;H6,H8,HQ,HK;H9,HA,H3,S3;H2,H4,HJ,D4"
1569982566,2,3,2,"C5,CA,C10,C2;S8,S6,SK,S7;C4,C3,C7,C8;D3,D8,D7,DJ;D9,D4,D2,DK;CK,D6,CJ,C6;CQ,D10,SQ,S5;S9,SA,S4,S2;DQ,SJ,DA,S3;HA,H2,H7,HJ;H10,H5,H4,H9;HQ,HK,H8,S10;H3,D5,H6,C9"
1569982566,2,5,2,"C10,CK,CQ,C2;C9,C6,C3,DA;C7,C8,CJ,D6;DJ,D3,D9,D8;DQ,D10,DK,D2;S9,S4,S5,S8;S6,SQ,S3,S2;HJ,H8,H7,H4;H2,HA,H3,H6;C5,D7,H10,CA;D4,C4,HK,H9;SJ,S7,S10,H5;D5,SK,SA,HQ"
1569982566,2,9,2,"C9,C4,CK,C2;C8,C10,C6,CA;D4,DJ,D7,D9;C7,CJ,SQ,C3;S6,S8,S10,SK;DA,D10,D3,DK;S7,S3,S2,S9;D8,D2,DQ,H9;H4,HK,D5,H3;H5,SJ,H6,HQ;H8,SA,H7,H2;HA,S4,C5,H10;HJ,D6,CQ,S5"
1569982566,2,17,2,"C7,C4,CK,C2;D5,DA,D10,DJ;S9,SQ,S6,S3;D6,C10,D4,D9;S4,SA,SJ,S2;CJ,CA,C5,S10;C6,C3,CQ,D2;D8,C8,S5,D7;DK,H2,H3,D3;H4,H9,HK,HA;HJ,HQ,H7,H6;S7,H10,C9,SK;H5,H8,S8,DQ"
1569982566,2,17,2,"CQ,C5,CJ,C2;S4,S5,SK,SJ;DA,D3,D8,D5;C8,D4,CA,C10;C3,D2,D7,C6;S3,SA,S7,S9;D10,DQ,D6,S6;S10,S2,HK,SQ;H4,CK,H2,H9;H6,H10,C7,H8;H7,C4,HA,H3;HJ,H5,DJ,S8;HQ,C9,D9,DK"
1569982566,2,3,2,"C10,C9,C6,C2;D7,DJ,D5,DA;SQ,SK,S4,S10;CA,C5,C8,C7;CK,S9,CQ,CJ;DQ,D8,D2,D3;D10,D9,D4,S3;S5,SJ,S7,S2;D6,DK,SA,S6;HJ,H9,H7,H2;HK,C4,HA,H3;H5,H10,S8,HQ;H8,H6,C3,H4"
1569982566,2,0,2,"C7,C4,C5,C2;CQ,C6,C3,CK;S10,SQ,S2,S5;DQ,D8,D7,D5;C10,C9,SK,CJ;S9,S4,SJ,SA;D10,DA,D6,D2;D9,D4,C8,DJ;S7,S6,D3,H9;H4,HJ,HA,H6;H3,H8,HQ,HK;H10,S3,H5,CA;H2,S8,H7,DK"
1569982566,2,16,2,"C7,C5,C4,C2;S5,SJ,S3,S9;D10,DK,D9,DQ;D2,D4,D8,D7;CA,CJ,C8,C10;C6,S10,S6,CQ;S4,S7,SQ,C3;SA,S2,D6,CK;S8,D5,DA,C9;DJ,H9,HQ,H5;H3,H6,H7,HA;HJ,H2,H8,SK;H4,H10,HK,D3"
