1569982572,2,0,2,"C7,CJ,CQ,C2;D8,D3,DK,D4;D6,S9,D5,DJ;CK,C8,C4,C6;DA,D10,S6,SK;D9,D2,SQ,S4;DQ,S2,C10,S8;SJ,S10,C3,SA;HJ,HQ,H2,H6;H4,H8,H5,H10;D7,S3,CA,H9;H3,S5,HK,HA;H7,S7,C5,C9"
1569982572,2,4,2,"C9,C5,C10,C2;D9,D5,D3,DA;SJ,S4,SA,S3;C4,C8,CK,CA;D8,DK,D10,D4;CQ,S10,C6,C3;CJ,S5,C7,DJ;S6,SK,S7,S8;DQ,D7,D2,D6;H6,H10,HA,H5;H2,HQ,HJ,H4;S2,H9,S9,SQ;H8,HK,H7,H3"
1569982572,2,4,2,"CQ,C10,C8,C2;C5,C4,CA,S4;D10,DK,D6,D3;S9,SA,SK,S8;CJ,DA,S7,C3;D8,DJ,D7,SQ;SJ,S2,S5,S3;D5,D4,D9,C7;C9,H9,HK,CK;H7,H4,H6,HJ;H2,H10,S10,HA;H8,H5,D2,S6;H3,HQ,DQ,C6"
1569982572,2,20,2,"C4,C3,C9,C2;SQ,S4,S9,S5;C7,C8,C5,CQ;SJ,S6,S8,S7;DJ,D10,DQ,D3;D9,D4,D7,D2;DK,C6,D8,D6;S10,H9,S3,SK;H10,H8,HQ,HA;H4,H7,HK,H2;CK,H6,CA,C10;S2,H3,SA,CJ;HJ,H5,DA,D5"
1569982572,2,0,2,"C7,C4,CA,C2;D3,DQ,D5,D10;CQ,C3,C8,CJ;S4,S2,SA,S9;D6,D9,DA,D7;S10,SK,S3,SQ;C6,C5,C9,CK;S5,S7,S8,S6;DK,C10,D2,D8;H10,HQ,H2,H6;H8,H4,H5,HA;SJ,HJ,H9,H7;D4,H3,HK,DJ"
1569982572,2,15,2,"CA,C9,C10,C2;DJ,D7,D4,D3;DA,DQ,D8,D10;CJ,C8,CQ,C3;S2,SJ,C6,S4;S9,S5,S6,C4;SK,S10,S3,CK;C5,H6,C7,H10;S7,H8,SQ,HJ;H3,D2,H4,HA;S8,D6,H2,H7;SA,D9,H9,DK;HK,D5,HQ,H5"
1569982572,2,8,2,"C7,CK,C8,C2;S5,S10,D6,SA;S3,S4,C3,S7;S2,SQ,D10,S6;DJ,D8,D2,DK;C6,CQ,CJ,S8;C5,C4,C9,SJ;D3,D7,D5,H10;HJ,H2,H5,H6;HK,H3,H7,HA;H8,DA,CA,H4;HQ,D4,DQ,S9;H9,D9,C10,SK"
1569982572,2,4,2,"S5,C9,C10,C2;S8,D9,S7,S4;D2,D6,D4,D5;CK,CA,DA,C6;C5,C3,SA,C7;DQ,C8,DK,D8;CQ,CJ,DJ,D10;C4,S10,D7,SK;HJ,H8,H6,H2;H3,H7,HA,H10;S2,S9,H4,SJ;S6,SQ,HK,S3;H5,H9,HQ,D3"
1569982572,2,16,2,"CK,C3,C10,C2;SJ,S10,S3,SQ;C8,CA,CJ,C6;D8,D6,DQ,D9;D7,DJ,DA,D10;S7,C4,S9,S4;CQ,C7,C9,D2;C5,D4,S8,SA;D5,H5,S2,DK;H3,H2,H7,H8;H4,HQ,D3,HJ;H6,S6,HA,HK;SK,S5,H10,H9"
1569982572,2,11,2,"C5,CQ,CA,C2;S6,S8,SQ,S3;DQ,D10,D2,DJ;D8,D6,D4,D9;S7,C6,SJ,S4;C10,C4,C3,C8;C7,C9,S10,S9;DK,S2,DA,D3;S5,SK,D5,SA;CK,H4,HA,D7;H5,H9,H6,H8;HK,HQ,H7,H2;HJ,H10,CJ,H3"
1569982572,2,0,2,"C5,C7,CJ,C2;D3,DA,DK,S3;SJ,S2,S8,S7;CQ,C9,S4,C10;C8,CK,SQ,C3;DJ,SK,D9,D5;D7,H5,D8,D2;C6,HA,HJ,S9;S10,H9,S6,S5;CA,H7,HQ,D6;HK,H6,H3,H4;SA,H8,DQ,D10;C4,H2,D4,H10"
1569982572,2,9,2,"C7,CJ,C8,C2;SA,S8,S3,S6;D10,S9,D9,D2;D3,S4,D8,D7;C9,C3,CQ,C10;S2,S5,SK,SQ;DQ,D4,DA,SJ;S10,CA,D6,HQ;H3,H10,H8,HJ;H7,C4,HK,H5;H2,DJ,H9,CK;HA,D5,H4,S7;H6,DK,C6,C5"
1569982572,2,8,2,"CK,C6,C8,C2;SQ,S6,D6,S10;S7,SJ,DQ,SA;D3,D10,D2,D9;CQ,CJ,C7,C5;C9,D8,C4,C10;S4,DA,S5,S9;D5,D7,C3,DJ;S8,HJ,S3,DK;H7,HK,HQ,H2;H3,H4,H8,H6;CA,H5,HA,SK;D4,S2,H10,H9"
1569982572,2,25,2,"CA,C10,C3,C2;DA,D3,D6,D4;D2,D5,D7,DK;S5,S8,SJ,SK;CQ,C5,C6,CJ;D8,S7,D9,C8;D10,S6,DQ,CK;C7,HQ,C9,S2;HJ,HK,H7,H6;H8,DJ,H5,H4;H9,S3,S4,H2;H10,S9,SQ,H3;HA,SA,C4,S10"
