1569982587,2,11,0,"CK,C7,C6,C2;S7,S2,SQ,S4;DK,D2,D6,D9;D7,D5,DA,SA;C5,CA,C9,C10;CQ,D8,C8,S5;S3,SK,SJ,S10;S6,H6,S8,H3;HQ,H5,HJ,HA;H9,H4,H8,H2;H7,D10,D3,CJ;H10,C4,DQ,C3;HK,D4,DJ,S9"
1569982587,2,16,0,"CQ,C4,CK,C2;D9,DK,D8,D10;S10,S7,S5,S8;C7,CA,C10,CJ;D6,D2,DQ,D3;D7,S9,D4,DA;SK,S2,S3,S4;C6,C5,C8,C9;SQ,S6,SA,D5;SJ,HQ,H7,H10;H2,HA,HJ,H5;H9,HK,H6,H4;H3,C3,DJ,H8"
1569982587,2,0,0,"C10,CJ,C7,C2;S5,S3,S6,SA;C5,C6,C9,C3;C8,D4,CK,S7;DJ,D3,D8,D10;DQ,DK,CQ,D9;SJ,C4,SQ,S9;DA,S8,CA,D7;S10,SK,H8,S4;HA,HK,H5,H4;S2,HQ,H2,D5;H3,H9,H10,H7;D2,H6,HJ,D6"
1569982587,2,5,0,"C9,C5,CQ,C2;S10,S6,SJ,S8;S5,S4,S7,SK;SA,C3,D9,S2;SQ,CJ,D5,S3;C8,C10,CA,C7;DQ,D2,DK,DJ;D6,DA,D7,D3;S9,C4,D8,C6;HJ,H5,H4,H7;H2,H9,HQ,HK;H6,D4,HA,H8;H10,D10,CK,H3"
1569982587,2,0,0,"C10,C9,C7,C2;D10,DK,DJ,DQ;SQ,SK,S5,SA;D6,D8,D3,CA;C6,CJ,CK,S7;D2,D9,DA,S2;C4,CQ,H5,H9;HJ,HA,H8,H6;S3,SJ,S10,H10;S9,D7,S4,HQ;S6,D4,D5,HK;S8,H3,C3,H4;C8,H7,C5,H2"
1569982587,2,0,0,"CK,C9,CQ,C2;D9,DQ,D6,DA;CA,DK,C5,C6;S7,S6,SQ,S9;C7,S4,SA,C3;C10,D8,S3,C8;SJ,D10,D5,SK;CJ,D2,DJ,S5;S8,D7,D4,S2;C4,HK,H9,H8;H6,H2,H10,HA;H3,H7,H4,HQ;S10,D3,H5,HJ"
1569982587,2,7,0,"C6,C7,C3,C2;D10,D6,D7,DJ;S3,S2,S8,S9;D4,DQ,D2,D5;D8,D9,DK,D3;S4,SQ,S7,SJ;C5,CQ,C4,CK;C10,C9,CJ,CA;DA,HQ,HA,H5;S5,HK,H10,S10;SK,H4,H2,SA;C8,H3,HJ,S6;H8,H9,H6,H7"
1569982587,2,7,0,"C4,C6,CJ,C2;D9,DK,D6,D10;C9,C10,CA,C8;S2,S4,S7,S9;D4,D7,D5,DQ;S5,SQ,SK,SA;C3,C5,CQ,S6;SJ,C7,S3,H4;HA,H9,H7,H8;S8,DJ,H6,HK;H3,D8,H5,H10;HJ,DA,HQ,S10;D3,D2,CK,H2"
1569982587,2,5,0,"CK,C4,CA,C2;D5,DA,DJ,D4;C6,CJ,C10,C5;S4,SJ,S9,S3;CQ,C8,C3,D3;S10,S8,S5,SA;D7,DK,D10,DQ;SQ,D6,S2,S6;SK,C7,D8,S7;HK,H9,H6,HJ;HQ,H10,HA,H5;H7,H3,H2,H8;D2,C9,H4,D9"
1569982587,2,4,0,"C9,C10,CQ,C2;D9,DQ,D3,D5;DJ,DK,D7,DA;S9,S2,S8,S7;S5,S6,SJ,CA;D6,D2,D4,C8;S4,SA,S10,C4;C3,C5,CK,CJ;C7,C6,D8,D10;H2,HA,H4,H6;H7,HJ,H5,H10;H3,HK,SK,H8;HQ,SQ,S3,H9"
1569982587,2,0,0,"CA,D9,C3,C2;DA,DJ,D7,D8;D3,D4,D2,C8;DQ,DK,S4,S3;SQ,S8,S6,S5;S10,SA,CK,SK;C10,C9,D6,C4;CJ,C6,SJ,C5;CQ,C7,D10,S7;S2,HA,D5,S9;H9,H8,H2,HK;H7,HJ,H10,H4;HQ,H3,H6,H5"
1569982587,2,16,0,"C7,C9,C4,C2;SJ,S2,S10,S7;D5,DJ,D4,DQ;D10,D8,D7,DK;S6,S4,SQ,SA;D6,D3,CQ,D2;CJ,C5,C3,C6;D9,CA,C8,S3;DA,SK,CK,S8;C10,H10,H4,HA;H2,H9,H3,H7;S5,H5,HK,H6;S9,HJ,HQ,H8"
1569982587,2,13,0,"C9,CQ,C4,C2;DK,DA,D4,D5;C5,C7,SJ,C6;SA,SQ,S3,S10;S5,S7,S4,D7;D6,D2,DQ,D10;CK,SK,C10,C3;H9,H5,H10,H3;D8,DJ,H7,D9;H8,H6,HJ,D3;HQ,H4,HK,S9;S8,S2,HA,CA;S6,CJ,H2,C8"
1569982587,2,13,0,"CJ,C6,CA,C2;S6,S7,S8,S3;D6,D3,D8,DK;S2,S4,SJ,S5;SQ,S9,C10,S10;SK,C9,C8,SA;DA,D2,D10,D4;C3,C7,CK,C4;D9,D7,D5,DQ;C5,HJ,CQ,H4;H9,HQ,H6,H3;HK,H7,H5,H8;H2,HA,DJ,H10"
1569982587,2,0,0,"C10,C3,C6,C2;D10,DQ,D8,D3;SJ,SQ,S9,SK;D5,D6,D9,D4;S5,SA,C7,S7;S2,S10,C4,DK;S4,CJ,S8,DJ;CK,C9,C5,CQ;CA,S6,D7,DA;C8,H2,H8,HJ;H5,H9,HK,H3;HQ,H4,H10,H7;HA,D2,S3,H6"
1569982587,2,26,0,"CA,C4,C7,C2;SQ,S7,SA,S2;SK,C6,S10,S3;S6,D6,S5,SJ;CK,CQ,C5,C8;D5,D9,DJ,D7;DQ,D2,DA,C10;S8,D8,D10,S9;S4,CJ,DK,D3;H8,H6,H9,HA;D4,H7,HJ,HQ;C9,H2,H3,HK;C3,H5,H10,H4"
