1569982592,2,3,3,"CQ,C6,C7,C2;S3,S7,S5,S8;C9,C3,C4,C10;S6,S4,S9,SK;C8,CJ,D8,S2;D3,D4,D6,DJ;DQ,D10,D9,DK;D5,CA,DA,SJ;SQ,HK,SA,S10;H4,H7,H9,H10;D2,HJ,H8,D7;HA,H5,C5,H6;H2,HQ,CK,H3"
1569982592,2,0,3,"CK,C9,CA,C2;D6,D5,D8,D2;S10,SK,S5,S8;SA,S7,S2,S3;D10,DA,DJ,D4;C3,C10,DK,C6;C8,DQ,D7,C4;S6,H4,SJ,SQ;HA,HK,HJ,H5;C7,H7,HQ,C5;CQ,H6,H10,CJ;D3,H8,D9,S9;S4,H2,H9,H3"
1569982592,2,17,3,"D4,C10,C9,C2;C3,CK,CA,S9;D6,DK,DA,D5;SJ,SA,S5,SQ;C5,CQ,C8,S2;D3,C7,D10,D2;DQ,S3,D9,D8;D7,S6,CJ,S7;C4,C6,S8,S4;HK,HQ,H6,H3;H5,H8,HJ,H9;S10,H4,HA,SK;H2,H10,H7,DJ"
1569982592,2,6,3,"C9,CJ,C7,C2;S3,S5,S7,S9;D2,D6,D7,D3;C8,C6,C4,CK;C5,DK,S4,C3;D10,D8,D9,DQ;D4,DJ,D5,DA;S10,SJ,S2,SQ;CA,S8,S6,C10;H4,H10,HQ,H5;H7,H8,H2,HK;SK,HA,H9,SA;H6,HJ,H3,CQ"
1569982592,2,0,3,"CQ,CK,C4,C2;SJ,S9,S5,S2;S10,S4,S6,SK;D5,DA,DQ,D10;D4,CJ,D7,D8;SQ,S3,SA,CA;C9,C6,C8,C7;C5,D3,C3,S8;C10,D6,D2,S7;HA,H4,HJ,H9;H10,DJ,H5,HQ;H7,DK,H8,HK;H3,D9,H2,H6"
1569982592,2,13,3,"C10,C7,C6,C2;S6,S9,S3,S4;CJ,C5,CA,C9;S10,D9,S7,S8;D4,DK,D7,D3;D8,D2,D6,S5;DA,D5,DJ,SQ;CQ,C8,S2,C4;CK,C3,SK,SA;H2,H3,H7,H5;H4,H8,HQ,HK;HJ,H9,H10,DQ;HA,SJ,H6,D10"
1569982592,2,10,3,"C10,C6,C9,C2;D4,D3,D8,D2;S2,S6,S9,S3;CA,C7,C5,C4;CQ,CJ,D10,C8;D7,D9,DK,DA;SQ,S7,S4,S5;D5,SK,D6,SA;DQ,SJ,S10,S8;DJ,H3,HQ,H8;H7,HJ,HA,H9;C3,H4,H2,H5;CK,HK,H6,H10"
1569982592,2,4,3,"C3,C7,C6,C2;S5,S2,S3,SJ;DK,D4,D10,D7;DJ,DA,D5,S10;S6,SK,S8,SQ;CA,C10,CJ,C9;D3,D2,S4,DQ;SA,C8,D8,S9;S7,CQ,D9,CK;C4,H3,D6,C5;H5,H2,H8,H10;H9,HA,H6,H7;H4,HK,HJ,HQ"
1569982592,2,2,3,"CA,C10,CK,C2;S7,S8,SJ,SA;D6,DA,D7,D10;C8,C4,CJ,C5;SQ,S4,S3,S5;D4,D9,DJ,D3;D8,S9,DK,D5;S2,S6,DQ,S10;CQ,C7,C6,C3;C9,H3,HJ,SK;H6,HQ,H2,H5;H4,H7,H8,HK;D2,H10,H9,HA"
1569982592,2,13,3,"C8,S10,C9,C2;D7,DA,D9,D4;C6,CQ,SQ,C5;C3,S2,D3,CJ;SA,S4,S6,S3;C4,SK,D2,C10;D10,DK,DQ,D6;S7,S8,C7,S5;SJ,S9,CA,CK;DJ,HK,H10,D5;H5,HJ,H2,H4;HQ,HA,H3,H6;H9,D8,H8,H7"
1569982592,2,0,3,"C5,C9,CJ,C2;D9,DK,D2,D8;SJ,S2,S4,S3;S8,CK,S10,S5;C8,CQ,CA,C10;D10,C4,D4,SA;D7,S6,D3,S7;DJ,SK,DA,C6;C7,H8,C3,SQ;HK,H4,H3,HQ;H6,HA,D6,H7;H5,DQ,H9,H2;S9,D5,HJ,H10"
1569982592,2,0,3,"C7,C9,C8,C2;D6,D7,D9,DJ;S4,SA,S8,S6;CK,C4,C10,CQ;D2,D5,DK,D3;SJ,S7,S10,S2;D10,DA,D4,S5;C3,C5,C6,CJ;SK,SQ,S3,H7;H5,HJ,H10,H6;H2,DQ,HK,H3;HQ,S9,HA,H8;H4,D8,CA,H9"
