1570031185,2,4,3,"C3,CK,CQ,C2;D9,D4,DK,DQ;SK,S2,S8,S5;SQ,D8,S6,S4;S7,D10,S3,S9;D7,DJ,DA,D2;C7,CA,C9,C5;S10,HA,SA,SJ;H3,H9,HQ,H8;C8,H6,H10,CJ;C10,H7,C4,HK;H4,HJ,C6,H2;H5,D3,D5,D6"
1570031185,2,14,3,"C6,C8,C10,C2;D8,D2,DK,DJ;CK,C4,CJ,CQ;S2,S3,S5,S8;D5,D9,D4,D7;DA,D3,DQ,S9;S10,SJ,S4,S6;SK,C3,SQ,S7;D6,HK,CA,C7;HQ,HA,H4,H7;H8,H2,H10,H9;H5,H3,D10,SA;H6,HJ,C9,C5"
1570031185,2,17,3,"C9,C3,C7,C2;D10,D7,DQ,DA;S2,S8,S5,S7;S9,S6,S3,D5;D9,D3,D6,C4;SQ,SJ,SA,C6;C10,D4,CA,CK;CJ,DK,CQ,S10;D2,SK,C8,DJ;S4,H5,C5,D8;H2,HK,H8,HA;H9,H3,H10,HJ;HQ,H6,H4,H7"
1570031185,2,12,3,"C5,C4,C9,C2;D2,D9,DA,D7;SJ,S6,S2,S4;DJ,D10,SQ,D4;D8,S5,S10,DK;S3,SA,SK,S7;C3,C8,C7,CK;S9,CQ,C6,S8;CJ,H3,C10,DQ;HJ,H7,HQ,H10;CA,H5,HK,H2;H8,H4,H6,D3;HA,H9,D6,D5"
1570031185,2,0,3,"C10,C7,C5,C2;SK,SQ,S4,SA;D6,DJ,D8,D7;S8,S6,CA,S3;DQ,D10,DK,D2;D5,D9,CJ,D3;C9,C6,C8,S10;C3,C4,CK,D4;DA,CQ,S7,S5;H2,H5,HK,H6;H4,HQ,HJ,H9;H7,HA,S2,H8;H10,S9,SJ,H3"
1570031185,2,4,3,"C8,CA,C6,C2;SJ,CK,S6,S10;S8,DA,S2,S3;D10,D2,D5,D9;S7,DK,S4,SK;C9,C7,C10,C5;CQ,C4,C3,DJ;D4,D3,D6,S5;CJ,D7,D8,SA;H5,HJ,HQ,H2;H3,HA,HK,H7;H9,H6,SQ,H10;H4,H8,DQ,S9"
1570031185,2,13,3,"C9,CK,C6,C2;C4,CQ,SA,CJ;D6,D10,D2,D4;D7,D5,D9,DJ;S3,S10,S7,SK;S5,S6,CA,S2;C10,C5,SQ,DQ;C7,C8,D3,S8;DA,S9,H7,D8;H9,H6,H4,H10;SJ,HK,HQ,H2;S4,H5,H8,HJ;DK,HA,C3,H3"
1570031185,2,9,3,"DJ,C9,CQ,C2;C6,C8,D8,C3;C10,CK,S7,D9;S5,SQ,S8,S9;S4,S6,SK,SA;D5,D7,DA,D3;D4,D10,D2,D6;S10,DQ,S2,C5;C4,DK,SJ,C7;HJ,H8,H3,H4;H9,HK,HQ,H6;CA,H10,S3,H5;CJ,HA,H7,H2"
1570031185,2,4,3,"CJ,D3,C9,C2;D2,D7,D9,DJ;C6,D4,CA,CQ;C7,S2,C10,C5;CK,C8,D10,C4;S7,S4,SJ,SQ;SA,S8,SK,S9;D6,DQ,D5,D8;C3,S6,DA,S3;DK,H5,H4,H3;HA,H10,HQ,H9;S10,HK,H2,S5;H7,H8,H6,HJ"
1570031185,2,3,3,"C7,CJ,C8,C2;C5,S7,C6,C3;S5,S2,S3,SA;D3,D8,D4,D5;S8,S6,S10,SJ;S9,S4,D9,SK;DA,CK,D10,D2;H4,HJ,C4,H10;H8,CQ,H6,HA;D7,CA,DK,H7;D6,DQ,H3,H9;H2,HQ,HK,C9;H5,C10,DJ,SQ"
1570031185,2,6,3,"C8,C5,C6,C2;S2,SJ,S4,S9;DK,D7,D10,DQ;D5,DA,DJ,D6;SA,S7,S5,S8;SK,SQ,C7,S6;D2,D9,D4,S10;C4,C3,HA,C10;H10,H7,H4,HJ;H3,H9,H8,H2;C9,CQ,HQ,CK;S3,CA,CJ,H5;H6,D8,D3,HK"
