1570124946,2,0,3,"CK,CA,C9,C2;C5,C7,C6,CJ;D5,D10,DK,D4;S7,S8,SQ,S3;C10,S9,CQ,C4;S5,H4,S4,SK;H7,H2,HQ,H8;HK,HJ,H6,H5;DQ,D6,D9,D8;DA,S10,DJ,D7;HA,H9,S2,D3;H3,SJ,SA,D2;H10,C8,C3,S6"
1570124946,2,10,3,"C10,CQ,CK,C2;D9,DA,D8,D5;C3,SA,C5,C8;C4,C9,S10,CA;DK,DJ,D6,D10;S7,SQ,S9,SJ;C7,CJ,D2,S2;S8,HQ,S6,S3;S4,HJ,SK,H6;D3,H8,H3,DQ;H7,HK,H10,H4;HA,H2,H9,H5;D7,D4,S5,C6"
1570124946,2,6,3,"SK,C3,C10,C2;C5,C7,D3,C6;D4,D5,D8,D9;DA,DJ,S8,D7;CK,S4,CA,S7;SJ,S3,S5,SA;DQ,S6,D10,D6;S9,SQ,H2,S10;H6,HA,HJ,H5;H9,H4,H10,H7;HK,H3,CQ,DK;C4,H8,C8,S2;CJ,C9,HQ,D2"
1570124946,2,18,3,"CK,C6,C8,C2;CA,C3,CJ,C5;C9,C10,HK,C4;D10,D8,D6,D2;DJ,D3,DK,DA;H10,H5,H4,H2;D5,DQ,D7,D9;S3,S5,SJ,S7;S6,SA,S4,S10;S8,S9,HJ,SK;D4,H7,H3,H9;SQ,S2,H8,CQ;H6,HA,HQ,C7"
1570124946,2,1,3,"C3,C4,C5,C2;SQ,H5,S4,SA;CJ,C10,C7,CK;DA,D2,D6,D4;S5,S9,SK,DK;H7,H9,H10,HJ;H4,H6,C9,HK;D10,D5,DQ,DJ;S7,D7,H8,S3;S6,D8,C6,S10;CQ,S2,H2,CA;HQ,D9,SJ,HA;D3,H3,C8,S8"
1570124946,2,0,3,"C4,C3,C8,C2;CK,CJ,H8,C5;D6,DA,DQ,DK;S5,H10,SJ,SK;HQ,S2,HK,H9;H5,H3,D10,H2;CA,SA,C7,D3;D9,D5,DJ,D2;CQ,C6,SQ,S4;C9,H6,H4,S10;C10,H7,HJ,S3;S8,D8,S7,S6;D4,HA,D7,S9"
1570124946,2,0,3,"CA,C3,CK,C2;C9,C7,C4,C10;D10,D4,D3,D7;DA,S4,D8,DK;DQ,SQ,D9,H5;S8,S3,S10,S6;S5,S7,SJ,CJ;HQ,H4,H3,HA;H8,H6,S2,H9;H10,H2,H7,D6;D2,C6,C8,DJ;SK,S9,CQ,SA;C5,D5,HK,HJ"
1570124946,2,8,3,"C10,C7,C6,C2;SK,S6,S9,S7;D8,DQ,D4,DA;C3,CK,C5,C4;S4,S10,HQ,S8;H5,H7,HA,H4;HK,H10,H9,H6;D9,DK,D7,D3;C8,CJ,D6,CQ;SJ,H3,D10,SQ;SA,S2,H8,D2;S3,D5,CA,DJ;S5,C9,HJ,H2"
1570124946,2,0,3,"C10,C5,C7,C2;DA,D3,DQ,H6;D6,D7,D9,S10;HQ,H2,H8,H10;HJ,D5,HA,H9;SK,S8,SQ,SJ;CK,C6,C3,D2;S9,S5,S7,S3;C4,CQ,C8,HK;DJ,CJ,D4,D10;C9,S4,CA,H7;S2,DK,SA,H4;H5,S6,D8,H3"
1570124946,2,2,3,"CJ,C3,CQ,C2;D3,DQ,DA,D9;C8,H10,C7,C5;SK,S5,S6,S7;DK,D2,D4,D8;SA,SJ,S9,S3;S8,SQ,H8,S2;H9,HK,D5,H2;CA,H4,C6,C4;H3,H5,H6,DJ;D7,D10,H7,CK;C9,HA,HJ,C10;S4,S10,D6,HQ"
1570124946,2,7,3,"C6,C8,CJ,C2;DQ,D7,D10,D8;D4,DJ,DK,DA;C4,D6,C10,CK;D2,D9,D3,C9;S3,S5,SJ,S7;S4,SK,S2,CA;C5,H10,HJ,C7;CQ,C3,S9,H7;HK,H8,H3,H5;H4,H2,S6,H9;HA,HQ,S8,SQ;SA,H6,S10,D5"
1570124946,2,4,3,"C6,C3,CA,C2;DK,DQ,D4,DJ;CQ,CJ,C5,HK;SK,S6,S5,SQ;D5,D8,D3,DA;H6,H4,H2,HA;H5,HQ,H3,H8;S7,S8,SJ,C9;S4,S10,S3,C7;D7,SA,D2,D10;HJ,H7,C4,H10;C10,S9,C8,D6;D9,S2,CK,H9"
