1570124973,2,2,0,"CK,C5,C7,C2;C9,C6,C8,CA;D4,DA,D9,DJ;S3,S5,S2,SJ;D7,D6,D3,D8;S9,H7,S10,S8;S4,S6,H5,SA;D5,D10,H6,D2;H8,HK,HA,HJ;C3,C4,CQ,H4;DQ,HQ,S7,DK;H9,SQ,H2,H10;CJ,H3,SK,C10"
1570124973,2,3,0,"C10,CJ,CA,C2;S5,S8,S6,S4;D5,D6,D2,D3;D7,D4,H2,DJ;C4,D9,CK,C6;D10,C7,DQ,H3;H9,H5,H6,H7;SJ,SK,S2,S9;C3,H4,C8,C5;S3,DA,SA,HJ;S7,S10,DK,H10;C9,HA,CQ,H8;D8,SQ,HK,HQ"
1570124973,2,7,0,"C10,C9,C8,C2;D3,D6,D4,DK;S8,SJ,SA,SQ;CA,C7,C4,CJ;DQ,D7,D5,H9;H5,H8,H7,H3;S2,DA,S7,S5;H6,HK,D9,S9;S3,S4,D8,S10;C5,CK,H2,CQ;S6,SK,HJ,DJ;C3,HA,H10,D10;C6,H4,HQ,D2"
1570124973,2,3,0,"C7,CA,C9,C2;DA,DQ,D10,D3;S4,SK,S10,S8;SQ,S9,SA,S7;S6,S3,S5,S2;C8,CK,C3,C6;D6,H5,D2,D7;D8,D5,CQ,DJ;H8,H9,HA,H3;HK,HJ,H2,C5;H6,H10,H7,C10;D4,CJ,DK,SJ;HQ,D9,H4,C4"
1570124973,2,0,0,"C6,CA,C7,C2;D4,D10,D2,DK;C5,CJ,C4,C9;SJ,S3,S4,SK;CK,C3,C8,S6;D6,DQ,D8,S9;SQ,S10,S2,H7;D7,DJ,D9,H4;SA,S7,S8,HQ;H10,H2,HA,HJ;D3,DA,D5,H6;H3,H9,H8,H5;S5,C10,CQ,HK"
1570124973,2,2,0,"C7,CQ,C8,C2;DQ,DK,D10,C10;DA,D9,D7,H2;C9,S2,C6,C3;CA,H7,CK,CJ;H4,HJ,H6,H9;D8,HA,D2,H8;D6,SJ,D3,SQ;D5,S5,SK,S7;DJ,S3,S6,C4;D4,H3,H10,S8;S10,C5,HQ,S4;S9,HK,H5,SA"
1570124973,2,23,0,"C4,C7,C3,C2;DJ,D6,D2,D10;CK,C6,C9,C8;S6,S10,S7,S8;S9,SJ,S5,S3;DK,DQ,DA,D5;SK,SA,S2,S4;CA,C10,CQ,C5;D8,D9,D4,D3;SQ,HJ,H8,HA;HK,H9,H3,H7;H10,H5,HQ,D7;H4,H6,H2,CJ"
1570124973,2,15,0,"C7,C8,C6,C2;C9,C5,CQ,C4;SJ,SK,S7,S9;DK,D7,D6,D5;DA,DJ,SQ,D10;SA,S3,S2,S6;D2,D8,H9,D9;H3,HJ,H7,HQ;CK,H6,CA,CJ;C10,H5,S8,C3;H8,HK,H4,D4;HA,H2,S5,D3;H10,DQ,S4,S10"
1570124973,2,3,0,"C9,CJ,C4,C2;SQ,S6,S4,S2;SA,S8,SJ,S3;D6,D7,D8,DK;C7,C5,C6,C3;D10,D5,DJ,DQ;C8,CA,CK,S10;C10,CQ,H6,HQ;SK,H4,S9,S5;HJ,H7,H9,H10;D3,D4,D2,HA;H2,DA,H8,H5;H3,HK,D9,S7"
1570124973,2,21,0,"CQ,C5,C3,C2;C7,C4,C6,CA;DJ,D10,D5,D6;DK,D2,D8,D7;SA,S4,S7,S5;S9,SJ,S10,S2;DQ,D4,D3,HK;H4,H2,HJ,H6;DA,H3,D9,S6;H5,HA,H7,S8;H9,H8,SK,S3;HQ,C8,C10,SQ;H10,CJ,CK,C9"
1570124973,2,8,0,"C8,CA,C9,C2;C4,CK,C6,C5;S8,S3,S9,S10;D3,D5,H5,DQ;D6,DK,D2,SQ;H6,H9,H8,H7;D8,S4,D7,H4;D9,HQ,S2,HK;SJ,SK,S7,S5;H3,DJ,H10,H2;SA,C10,D10,S6;CQ,HA,DA,CJ;C3,HJ,D4,C7"
1570124973,2,4,0,"C6,C10,CJ,C2;DJ,D6,D7,D9;S3,SA,S4,S9;S2,SJ,SQ,S6;C5,C8,C3,C4;C9,CA,CQ,S8;C7,D10,HQ,H3;S10,S5,SK,H10;HJ,H2,H9,HK;H4,H8,D4,H7;D5,D3,DQ,D8;S7,D2,DA,H5;CK,H6,DK,HA"
1570124973,2,3,0,"CK,D7,C10,C2;CQ,S4,CJ,C7;DK,DJ,D9,D10;S9,SQ,SA,S2;D3,D4,D5,D6;DA,D2,C6,D8;S5,S8,S6,S7;SJ,H5,CA,S10;S3,HA,H10,C9;H6,H7,H2,HK;C3,HJ,H8,C4;C8,C5,SK,HQ;H4,DQ,H3,H9"
1570124973,2,12,0,"C6,C9,CQ,C2;S2,S7,S3,S10;D5,D4,D7,D2;SA,S4,S9,S8;SQ,S5,SJ,S6;SK,D10,CA,C7;C4,CJ,C10,CK;C3,DK,D6,C8;DQ,D9,H5,D3;H3,H8,HQ,HK;HJ,H7,H6,H2;H10,D8,H9,H4;DA,C5,DJ,HA"
