1570124981,2,3,3,"C5,C8,C7,C2;D6,DJ,D3,D9;D5,D7,C9,CK;D8,D4,CQ,S5;S9,S10,SA,S8;CJ,D2,CA,C6;SK,S4,S7,S3;S2,SJ,S6,H10;HQ,H8,H6,H7;C4,H4,SQ,C10;H3,HJ,HK,DQ;DK,HA,H2,DA;D10,H5,H9,C3"
1570124981,2,4,3,"CA,CK,C4,C2;S6,SJ,S9,S5;CQ,SQ,C8,C7;S3,S4,SA,S8;DK,D4,D3,D5;S10,SK,DA,C3;S7,H4,HK,HQ;H5,H7,HA,H6;D6,H2,DJ,D7;D10,D8,H10,D9;C6,HJ,C9,C5;H9,DQ,H8,C10;S2,CJ,H3,D2"
1570124981,2,8,3,"C7,C10,S4,C2;C8,D8,C4,C9;S2,S3,S6,SQ;SA,S8,SJ,S10;DQ,D6,DJ,D5;D3,D9,D10,D7;C5,CA,C3,HK;H9,HJ,H8,HQ;H3,HA,H7,H6;DK,D4,DA,D2;H5,CK,H10,S9;H4,CJ,CQ,SK;H2,S5,C6,S7"
1570124981,2,9,3,"CA,CJ,C7,C2;C10,C4,C5,CK;CQ,C6,D10,C9;D5,D3,DK,D7;S6,SQ,S2,S9;SJ,SK,S4,S10;D2,DJ,D8,D4;D6,D9,DQ,SA;S5,H8,S8,HA;DA,H4,H9,H10;H2,H3,HJ,H7;H5,HK,S7,HQ;H6,C8,S3,C3"
1570124981,2,0,3,"CA,C8,C4,C2;D4,DK,D3,D8;D10,DA,SJ,D7;S6,S9,S5,S4;DJ,C3,C5,D9;CQ,C10,CJ,C9;C6,H6,HJ,CK;SQ,H7,SA,S10;S7,S8,D6,H3;HA,HK,H9,H4;C7,HQ,D2,H2;S3,S2,D5,H10;SK,H5,DQ,H8"
1570124981,2,1,3,"CK,C4,CA,C2;C5,C8,C3,H5;S7,SQ,S8,S10;D6,DQ,D9,D5;S6,SK,S3,S9;D7,DA,D8,DK;S2,SJ,S5,S4;D10,D3,C6,D4;SA,C10,CQ,H7;HA,H8,HK,H2;H9,D2,H10,HJ;H4,H6,C7,HQ;CJ,DJ,H3,C9"
1570124981,2,0,3,"C6,CJ,C8,C2;SK,S9,DJ,S2;SJ,S10,H5,S8;C10,C7,CQ,CK;S5,CA,S6,HK;DA,D2,D3,D8;DK,SA,D6,D7;C3,H10,C9,D9;H6,H7,H3,HA;D5,D10,DQ,SQ;H4,HQ,H8,S4;HJ,H9,C4,S7;H2,C5,D4,S3"
1570124981,2,1,3,"C6,CK,C8,C2;S7,SQ,S10,S2;CA,C5,C9,C4;S5,S4,S8,SK;CJ,SA,C3,C10;D8,D9,D6,DA;S6,S3,HJ,S9;SJ,H2,H8,H4;D3,DJ,HK,D5;H6,H10,H9,HA;DK,DQ,D7,C7;D2,D4,D10,CQ;H3,HQ,H7,H5"
1570124981,2,4,3,"C6,CJ,CA,C2;SK,S8,S4,S9;SJ,SQ,SA,S10;C5,C10,C7,C8;S3,S5,S6,S7;CQ,CK,C3,C9;DQ,DA,DK,D8;D9,D2,D4,DJ;D10,D3,D5,H2;D6,S2,D7,H7;HQ,H6,HK,H3;H10,HJ,H5,H4;H8,C4,HA,H9"
1570124981,2,9,3,"C6,CK,CJ,C2;D6,D4,D5,D7;S9,S3,SQ,SK;C8,CQ,C4,C7;S8,SJ,S4,S2;D8,S5,DA,D9;C10,C9,H6,C5;H9,H7,H8,H3;CA,HK,S7,DQ;H5,DK,H4,H10;D3,C3,DJ,HQ;S10,D10,SA,HA;HJ,S6,D2,H2"
1570124981,2,2,3,"C3,CA,CJ,C2;SK,S3,S4,S9;S7,SJ,S2,C10;S10,S8,S5,H4;HA,H7,HK,H6;HQ,H3,C8,D3;SA,S6,SQ,D8;D2,DQ,DJ,D7;HJ,H9,CK,D6;D4,H8,DK,DA;C5,H10,C4,CQ;C7,D9,D10,C6;C9,D5,H2,H5"
1570124981,2,4,3,"C6,C10,CK,C2;DJ,D6,DK,D2;D5,D4,D8,D10;S2,S7,SK,S5;CJ,CA,H3,C4;S8,SJ,S4,S3;HK,H2,HA,H9;D9,S9,H7,D3;SQ,C9,S6,DQ;SA,C3,S10,H5;DA,C8,C7,CQ;D7,HJ,C5,H4;H6,H8,H10,HQ"
1570124981,2,2,3,"CK,C7,CQ,C2;D2,DJ,D9,D3;S6,SK,S8,H10;D4,D10,D5,DQ;C8,DK,C10,C6;SQ,HJ,S9,SJ;S4,C3,S7,S10;HQ,H5,HA,H7;HK,H9,H4,H2;C5,H3,CJ,H6;S2,C9,SA,S3;S5,C4,D7,DA;D6,CA,H8,D8"
