1570124993,2,4,1,"C4,CA,C7,C2;D8,DQ,D7,D2;S9,SK,S7,S8;S6,SJ,S5,S3;CQ,H7,C3,C6;DK,D5,D6,DJ;DA,D10,D3,D4;S2,SA,S4,C8;HQ,HJ,HA,H6;C5,H10,CK,H2;SQ,C9,S10,HK;H4,CJ,H5,H9;H3,H8,C10,D9"
1570124993,2,2,1,"C5,C10,C7,C2;D4,D6,D2,DA;S4,SJ,S6,S9;DJ,H4,D3,D8;DQ,H8,D10,SA;C4,S3,C3,CK;CJ,C8,H6,S7;CA,C6,HJ,D7;C9,S5,S8,HA;H7,H2,H9,H5;SK,SQ,DK,D9;S10,CQ,H3,D5;S2,HQ,HK,H10"
1570124993,2,4,1,"C8,CK,C7,C2;SA,SQ,S4,S3;D6,DQ,D8,DA;D5,D4,D2,D10;CJ,CQ,C6,C5;DJ,CA,D9,D3;SK,S8,H6,S10;H5,H7,H3,H10;H8,H9,HK,HQ;SJ,S2,S6,HJ;H2,C10,HA,H4;S9,S7,C4,C9;DK,S5,C3,D7"
1570124993,2,20,1,"C9,C7,C5,C2;S2,S6,S4,SK;DJ,D7,D3,D9;D8,D10,S8,D2;C6,C10,CK,CJ;SQ,S7,S10,S3;SA,H6,S9,S5;H10,HQ,HA,H8;D6,SJ,C8,DA;CA,DK,C4,C3;CQ,D4,H7,H3;H9,DQ,HK,H5;HJ,H2,D5,H4"
1570124993,2,15,1,"C4,C9,CK,C2;S8,S5,S3,S6;D10,D3,DJ,D6;C3,C10,C5,C6;S4,HK,SA,S10;H2,H8,H3,H10;D5,C7,DA,D9;HJ,HQ,HA,H5;SJ,SK,S2,H6;D2,SQ,D4,D7;CA,H4,H7,CQ;CJ,DQ,S9,C8;D8,H9,S7,DK"
1570124993,2,4,1,"C6,C3,CQ,C2;S8,S7,SJ,S6;D2,D7,DJ,DK;C10,C5,C8,CA;CJ,C7,H6,CK;H2,H8,HQ,H5;D6,DQ,D4,DA;HJ,H3,H7,H4;S10,S4,SQ,S9;S5,S3,SK,S2;D8,C9,D3,D9;H9,D5,HK,H10;SA,HA,C4,D10"
1570124993,2,21,1,"C6,CJ,C7,C2;D5,D10,D9,D3;DQ,D7,CK,D6;D8,D4,CQ,S3;S8,SA,S4,S7;DA,D2,S9,C10;SQ,S5,S6,S10;C4,SK,C9,C5;CA,C3,H7,C8;H3,HK,H2,H10;SJ,HA,H6,S2;H4,H5,HJ,H8;DJ,DK,H9,HQ"
1570124993,2,1,1,"C8,C10,CQ,C2;D10,D5,D3,D4;S6,S5,S2,S9;DA,DK,D7,D9;C7,C9,C3,C5;S8,S10,SQ,S4;S7,S3,SJ,DQ;C6,H7,CJ,C4;D6,DJ,H8,D8;H2,H3,H4,H6;HK,H10,D2,H9;HQ,HJ,CK,H5;HA,CA,SK,SA"
1570124993,2,5,1,"C8,C6,C5,C2;S7,SK,S5,S8;D5,DA,D7,D8;S4,SJ,D9,SA;S3,SQ,S2,H5;H7,H3,H2,HK;D10,D3,D6,D4;DK,D2,S6,H10;DQ,S10,C7,H8;CK,CA,C9,CQ;C3,DJ,H4,C10;H6,S9,H9,HJ;HA,C4,CJ,HQ"
1570124993,2,0,1,"C5,C7,C6,C2;D5,DK,D7,D6;DQ,D3,DA,DJ;S6,S8,SJ,S3;SA,S9,S7,S10;C8,CA,C10,C4;CJ,C3,CQ,D4;D2,H4,D9,D10;HK,H6,H9,H2;SQ,S2,H8,H3;HQ,HA,H5,H10;S4,S5,CK,HJ;H7,SK,C9,D8"
1570124993,2,4,1,"C6,DJ,C5,C2;D8,D10,D3,DA;D9,D6,D4,DK;C7,CQ,CA,SJ;C9,C4,CJ,S2;S3,SK,S5,S8;DQ,D2,D5,S10;C3,CK,C10,S4;S6,H8,S9,SA;H6,HJ,H7,H3;H2,H9,HK,H5;H10,H4,HQ,D7;SQ,HA,S7,C8"
1570124993,2,0,1,"C7,C10,CK,C2;SJ,S8,SQ,SK;CQ,S9,C6,CJ;D4,DA,D10,D8;DJ,DK,HQ,D7;H2,H5,H7,HJ;S4,S10,S7,S2;HK,H4,H10,H8;HA,H6,D3,S3;H3,H9,D2,SA;S6,C4,S5,C9;D5,C8,D6,C3;D9,DQ,CA,C5"
1570124993,2,1,1,"C10,CK,C9,C2;D2,D6,DQ,D4;C7,C3,CA,C4;D3,D5,S5,DA;S8,S6,C8,SQ;S10,SK,S3,H9;D7,H8,D9,DK;CJ,DJ,CQ,H4;SJ,C5,S9,SA;H6,H7,H10,HJ;S4,H5,S7,H2;S2,D8,HA,HK;C6,D10,HQ,H3"
1570124993,2,0,1,"CA,C5,C7,C2;S7,SA,SK,S3;S8,S9,S5,S4;CJ,D4,C6,C10;S10,H9,SQ,S6;DK,D2,D8,DA;D5,D6,CQ,D3;D10,DJ,H6,D7;H7,HK,HA,HJ;CK,H2,C4,DQ;C9,H4,S2,H10;C8,H5,D9,HQ;C3,H3,SJ,H8"
