1570124998,2,19,2,"C7,C3,C8,C2;D6,H5,DJ,D2;D5,D7,D8,CQ;SQ,S3,SK,S5;S10,S2,S6,C9;DA,D10,D4,CJ;D3,DQ,D9,HA;S4,SJ,HK,H2;H6,H7,HJ,H8;DK,S8,SA,H3;C10,C4,S7,CK;H4,H9,HQ,H10;CA,C6,C5,S9"
1570124998,2,4,2,"CJ,C4,C10,C2;DJ,D6,D8,D9;C5,C8,HK,C3;H10,H6,H8,H2;H5,S9,H3,HQ;S5,S8,SJ,S7;D5,D2,DQ,SQ;H9,C9,CA,H4;C6,CQ,C7,S2;DA,DK,D7,SK;D3,H7,D10,S6;S10,S4,HA,SA;HJ,D4,S3,CK"
1570124998,2,0,2,"C6,C9,CQ,C2;C4,CA,C5,C3;S8,S9,SA,SK;C7,CJ,C8,C10;S2,S3,S5,S7;D9,D3,DA,D8;DJ,DQ,D10,DK;SJ,H7,SQ,S6;S4,H4,D7,S10;H3,H2,H9,H5;HQ,HJ,HA,D6;H10,HK,H6,D5;CK,H8,D4,D2"
1570124998,2,0,2,"C6,CA,C8,C2;D7,D5,D8,D10;DK,DQ,D6,DA;C9,C3,CK,HA;HK,H2,H3,H7;C7,CJ,S7,D2;SK,SJ,S10,S9;C10,C5,S6,S8;CQ,H6,DJ,H10;C4,HJ,S2,D9;SQ,SA,S4,S3;H4,H8,H5,D3;H9,S5,HQ,D4"
1570124998,2,23,2,"C9,C8,C6,C2;D3,D6,D5,DA;S10,SA,SJ,S3;C3,C4,HJ,CQ;HA,H5,H4,H6;S6,S2,S7,SK;H9,H3,H7,DJ;D8,DK,D10,D9;SQ,S8,CJ,S9;DQ,D7,D2,S5;C10,D4,C7,CA;C5,CK,H10,H2;HK,S4,H8,HQ"
1570124998,2,13,2,"C9,C10,CQ,C2;C6,C4,C5,C3;DK,D2,D8,D4;CA,C8,D6,S2;D10,DQ,D5,D9;SK,S4,S9,SA;S8,S5,SQ,S3;C7,HK,CK,H9;H2,HQ,H6,HA;H8,HJ,H7,H10;H5,H3,D3,S7;S10,H4,DJ,SJ;D7,S6,DA,CJ"
1570124998,2,9,2,"C9,C10,CQ,C2;C7,C5,CK,C3;DQ,D3,D2,DA;SK,S8,SQ,SJ;D9,D8,DK,D4;S4,S9,S10,S3;DJ,D7,D10,H2;S2,S6,S5,S7;H10,H9,H4,H8;HJ,HA,H6,D6;H7,H3,C6,CJ;SA,H5,D5,CA;HK,HQ,C4,C8"
1570124998,2,4,2,"C4,CQ,C5,C2;S2,SQ,S10,SK;DK,D9,DQ,D4;D8,D3,DA,D5;D2,DJ,D6,D10;C10,C3,C9,CK;S9,H4,S5,SJ;HA,H2,H10,HJ;C7,C6,CJ,S4;H5,H8,H3,HQ;S6,H9,HK,S8;S3,S7,D7,CA;H6,SA,C8,H7"
1570124998,2,4,2,"C6,CJ,C7,C2;CQ,C5,C10,C8;S5,S9,S4,SJ;D10,D4,DQ,DJ;S2,SQ,SK,S6;CA,CK,C4,C3;HA,HQ,H7,H10;H5,H8,HJ,H4;D5,H3,D9,D8;DA,DK,H9,D6;D7,D2,H6,S3;S10,C9,HK,S7;SA,D3,H2,S8"
1570124998,2,4,2,"C7,C4,CJ,C2;D10,D5,D3,D8;D9,D2,DA,DK;S4,S6,S2,S9;C6,C5,S5,C8;SQ,S3,S8,SA;SK,HA,HQ,SJ;DJ,DQ,D7,D4;CK,H5,CQ,CA;D6,H3,H8,C3;H7,H6,H10,HK;H9,H2,HJ,H4;C9,C10,S7,S10"
1570124998,2,9,2,"CQ,CA,C10,C2;S8,S4,S2,S5;C5,C9,C7,CK;C8,C4,SJ,C3;SA,S7,SK,SQ;S9,S10,S6,DK;D2,DJ,D10,D6;D9,H5,D5,D7;DQ,HJ,D8,D4;C6,CJ,H9,HQ;H3,H7,HA,H6;DA,H10,D3,H4;S3,HK,H2,H8"
1570124998,2,6,2,"C3,C9,CQ,C2;D7,D3,DQ,D2;D9,DJ,D5,D4;CJ,CK,C6,CA;S3,S2,S8,S4;C7,C10,SQ,C5;S10,C8,S9,SK;SA,S6,H9,S7;H10,H8,H3,HJ;S5,HQ,SJ,H2;H5,H7,DK,HA;H6,H4,D10,DA;HK,D8,D6,C4"
1570124998,2,11,2,"C10,C8,C3,C2;S2,SQ,SA,S10;DA,DQ,D4,D8;D7,D10,D2,D6;DJ,D9,SK,DK;CA,D5,C4,C9;C7,H2,C6,C5;CQ,HQ,SJ,CJ;HJ,H5,H8,HK;S9,S4,S5,H7;S6,CK,S3,H3;S7,D3,H9,H4;S8,H10,HA,H6"
