1571050942,2,0,3,"C10,C9,C3,C2;CQ,C7,CA,C6;D6,D2,DQ,D7;S3,SJ,S2,S7;D3,D8,D9,D4;CK,SA,C8,CJ;DK,D10,D5,DJ;SQ,S9,SK,S4;H2,HA,C4,C5;H5,H9,H10,H7;HJ,H3,H4,H6;S5,HK,HQ,H8;S8,DA,S10,S6"
1571050942,2,2,3,"C6,CK,C9,C2;S3,SA,S6,S5;C10,HJ,CJ,C5;C7,CA,H3,C3;H8,H10,H7,HQ;S2,S8,H9,S9;D10,D5,DQ,D2;DJ,D4,DA,D6;H2,S4,SJ,S7;HA,D8,D3,DK;HK,H4,H6,H5;C4,SQ,S10,CQ;C8,D7,D9,SK"
1571050942,2,9,3,"CA,C3,CQ,C2;S7,S5,SQ,S10;D7,D5,D3,D6;DQ,D9,D8,D4;H10,DA,S8,D2;HA,D10,H8,DK;C8,CJ,CK,C9;S9,S2,H2,S4;SA,H7,SK,S3;H6,H3,HQ,HK;C4,S6,DJ,SJ;H4,C10,C6,H5;H9,C7,C5,HJ"
1571050942,2,0,3,"C9,C7,C10,C2;S8,S6,S4,SQ;SK,S9,SA,S7;C4,CK,C8,CA;D3,CQ,C3,C6;DQ,DK,DJ,D8;DA,D2,D4,D6;H4,D7,D5,D10;H3,H8,HK,H7;H9,S3,H2,H10;HQ,S10,HA,CJ;H6,S2,H5,HJ;D9,SJ,S5,C5"
1571050942,2,0,3,"C5,CA,C8,C2;CJ,C6,C10,CK;D7,D6,D9,DJ;C4,CQ,C9,C7;S9,SQ,S10,SA;D3,DQ,D4,D10;DK,D2,SJ,DA;S8,S3,S4,S7;S5,HQ,H10,S6;H6,H8,H5,H9;D5,H7,HA,SK;HJ,H4,HK,S2;D8,H3,H2,C3"
1571050942,2,0,3,"C10,CQ,C9,C2;CK,C8,C6,C7;D4,DK,D3,D2;S2,S7,SK,SA;CJ,CA,C3,C5;S5,S9,S4,S8;SJ,SQ,S3,S10;D5,D7,DQ,DJ;HK,H7,H8,H4;D10,C4,H9,DA;D8,H3,H2,D6;H10,HJ,HA,HQ;D9,S6,H6,H5"
1571050942,2,1,3,"C8,C10,C5,C2;S9,S7,S5,S8;DQ,DK,DA,D2;HQ,S2,SK,S3;DJ,H9,CQ,C9;H5,H3,H6,HJ;CJ,H7,D8,CK;D5,D3,D9,D6;D4,C6,D10,D7;H2,HK,S10,H4;C4,SA,HA,C7;S4,SQ,H8,CA;SJ,S6,H10,C3"
1571050942,2,16,3,"C5,CJ,CQ,C2;S8,S9,S4,S3;DQ,DA,D10,D4;C8,C3,S5,C7;SQ,HA,S7,S10;DJ,D3,H9,DK;D6,SA,H3,D8;H7,H8,H4,H5;SK,H6,H2,HJ;C6,C4,HQ,H10;C9,S6,D7,D9;S2,CA,D2,D5;C10,SJ,CK,HK"
1571050942,2,9,3,"CA,CQ,C5,C2;C3,C9,CK,C8;DK,D3,D6,D4;D8,D5,DJ,D10;CJ,C6,H3,C7;HK,H9,S9,C10;DA,D2,D9,DQ;H7,H8,H6,HJ;S8,S10,SQ,SA;S5,SJ,S2,S4;C4,SK,S7,S3;H4,H10,HA,H5;H2,S6,D7,HQ"
1571050942,2,0,3,"C6,C7,CJ,C2;DA,DJ,D8,D7;SJ,S8,S6,S9;D2,DK,D9,D10;D6,D4,CK,DQ;C4,CA,C10,CQ;S10,SK,S3,S2;D3,H5,H7,D5;H3,HK,H4,H10;S5,HJ,S7,SQ;S4,C9,HA,SA;H8,C8,H6,H9;H2,C5,C3,HQ"
1571050942,2,22,3,"CA,C6,C5,C2;SK,S4,S10,S9;S3,SA,S2,S8;S6,S5,D10,SJ;CK,CQ,C10,C4;H2,C9,C8,C7;D2,D6,D8,D3;DQ,DK,HJ,DJ;H4,H7,D9,H8;H9,HQ,CJ,C3;HA,H5,D4,D7;S7,SQ,H3,DA;H6,H10,HK,D5"
