1571050962,2,0,0,"C7,C5,C6,C2;C4,C9,C3,CQ;SQ,S4,SJ,S10;S2,SK,S3,SA;DA,D10,D9,D5;C8,C10,CA,CK;D7,DQ,D2,D4;S7,S9,S5,S6;H3,H2,H4,H10;H6,S8,HJ,H9;H8,CJ,D6,DJ;H5,HK,D3,HA;H7,HQ,DK,D8"
1571050962,2,1,0,"C8,CQ,C10,C2;S6,SA,S4,SJ;D10,DJ,D7,D4;S2,H9,S10,S7;H8,H6,H5,H2;SK,D5,S8,S9;DK,DA,DQ,D8;D6,D3,CA,D9;CK,C3,C6,C5;C9,CJ,HA,C4;SQ,H3,HQ,H10;H4,D2,S3,C7;H7,S5,HK,HJ"
1571050962,2,0,0,"C9,C10,C8,C2;D8,D4,D3,DJ;S9,S10,SQ,S3;CQ,CA,C6,C4;S5,S8,SJ,S4;D6,D5,DA,D2;D10,H4,D7,D9;S6,S2,CJ,SK;H7,H6,HQ,HJ;H3,HK,H10,H9;C3,H8,H2,H5;SA,CK,DK,C7;DQ,C5,S7,HA"
1571050962,2,26,0,"C7,C8,CA,C2;D8,D2,DQ,D9;D10,DK,D5,D3;DJ,D4,D7,D6;C5,C4,CQ,C9;S2,S4,SA,S3;S10,HA,SQ,S9;S5,S7,H9,SJ;H3,H6,H7,H8;SK,H10,HJ,HQ;CJ,H2,C6,CK;S8,H5,H4,DA;C3,HK,C10,S6"
1571050962,2,0,0,"CK,C4,CQ,C2;CJ,C9,C7,C10;DK,D5,D10,D4;H7,D3,D8,DQ;SK,SJ,S8,S6;H2,H4,H6,H5;HJ,S5,HA,S10;C8,SA,D7,S3;HQ,HK,H8,H3;C6,S7,D2,S2;D9,D6,C3,DA;H9,S4,C5,H10;DJ,SQ,CA,S9"
1571050962,2,17,0,"CQ,CK,CJ,C2;SJ,S9,SQ,S7;S6,S3,H3,S5;H5,H7,H6,HA;H2,H4,HJ,H9;SA,S2,C8,S8;DK,D8,DJ,DA;D9,D7,D3,D10;HK,H8,H10,HQ;D2,C9,D4,DQ;C3,S4,D5,D6;C7,C4,C5,SK;C6,CA,C10,S10"
1571050962,2,0,0,"C6,CK,CQ,C2;S9,S10,S5,S3;CA,CJ,C4,C8;D10,D3,D6,D4;DQ,DK,D2,D9;C10,C9,C5,C7;D5,S8,SQ,D8;D7,HK,HQ,DJ;H3,HA,H6,H2;S2,H10,SA,SJ;H7,SK,HJ,DA;H5,S4,H4,C3;S6,S7,H9,H8"
1571050962,2,0,0,"CA,CQ,CJ,C2;S3,S2,S6,S4;DJ,D10,DQ,DA;D5,S9,S5,SJ;D4,CK,C8,C6;C7,C9,H9,C10;S7,SA,D8,S10;D3,D6,D9,D2;H4,H2,S8,SQ;C4,HK,DK,C3;H10,H7,HQ,H6;H5,HJ,H3,HA;C5,D7,SK,H8"
1571050962,2,1,0,"C7,D10,C10,C2;CA,CJ,D2,C6;C5,D9,CK,CQ;SJ,C4,HA,C8;SK,SA,S2,SQ;DA,D8,D3,D5;S8,S6,D6,D7;H7,H8,D4,DQ;S9,S3,H9,S10;H2,H5,H6,H4;HK,HQ,H3,DJ;S4,C3,S5,C9;HJ,H10,S7,DK"
1571050962,2,25,0,"C5,C7,C4,C2;SJ,S4,SA,S10;C9,CA,SK,CQ;DK,D6,D8,D9;D2,D5,D10,DQ;S8,S6,S5,S7;C6,CK,HQ,C8;H5,H6,H8,H2;HA,HJ,C10,CJ;S3,D4,SQ,DA;H3,H9,H10,S9;H7,D3,H4,S2;HK,D7,C3,DJ"
1571050962,2,3,0,"CK,C4,C3,C2;S4,S6,SK,SA;D8,D4,D3,D5;DA,D9,DQ,DK;C7,C10,CQ,C9;S8,S3,S10,S2;HA,CJ,C5,CA;H8,H7,HJ,HK;H3,S9,H9,H4;H6,H10,D10,H2;SQ,S5,H5,HQ;D7,D2,C6,D6;SJ,C8,DJ,S7"
