1571051053,2,8,1,"C4,CQ,C7,C2;D4,DJ,DQ,D9;D10,HK,D3,DK;H7,H5,H6,H4;C10,C8,CK,CJ;SQ,S7,DA,D8;S9,S2,S4,SJ;H9,S8,S3,S5;H10,SK,D7,HJ;C5,C6,C9,CA;H2,S6,D5,C3;H8,S10,D6,H3;SA,D2,HQ,HA"
1571051053,2,5,1,"C6,S5,C4,C2;SQ,C7,C9,C3;D8,DQ,D6,D3;S10,SK,S3,S4;CA,H8,CJ,C8;D4,D5,DJ,D7;C5,H3,CK,CQ;H9,H5,H4,H10;S9,SJ,S7,SA;D2,DA,HK,D9;HJ,HQ,HA,H2;D10,S6,S2,S8;DK,H7,H6,C10"
1571051053,2,20,1,"C7,C9,CJ,C2;D10,DJ,D9,D3;DK,D4,DA,D6;SQ,S2,S8,S4;DQ,H9,D7,D8;H5,HA,HK,H6;S5,S3,S6,S7;H8,H2,H7,H3;H10,HJ,C4,HQ;CK,C8,C10,C5;C6,SA,C3,CA;SK,S10,D5,CQ;H4,S9,D2,SJ"
1571051053,2,0,1,"C9,C5,C10,C2;S6,S5,HJ,S7;HK,HQ,H6,H10;D7,D5,DQ,D3;C3,C8,CQ,CJ;D10,D4,HA,D2;S3,S9,C7,S10;SJ,SQ,CK,SK;S8,CA,D9,S2;H8,DA,H3,D6;H9,C6,H5,DJ;H7,SA,H4,D8;H2,S4,C4,DK"
1571051053,2,0,1,"C4,C7,CK,C2;D6,D10,D2,D3;S6,SJ,SA,S4;S9,S10,SK,S2;D7,DA,D5,DJ;C5,C10,H9,C3;HA,H8,H4,H6;S3,S7,S5,SQ;C6,DK,CQ,D4;H3,HQ,H10,H5;H7,D9,H2,DQ;C9,D8,CJ,S8;HJ,CA,C8,HK"
1571051053,2,0,1,"C9,C4,C6,C2;D4,D3,DK,D10;D5,C5,C7,C8;DA,D6,S8,DQ;S9,S6,S7,S4;S10,SJ,SK,SA;H5,S5,S2,S3;H4,H9,H2,H3;CK,HK,HA,HJ;D7,CA,D9,DJ;H6,C10,H7,D2;H10,CJ,HQ,SQ;C3,CQ,H8,D8"
1571051053,2,20,1,"C6,CK,C9,C2;S10,SJ,SQ,S3;D10,D4,D6,D3;CA,C10,CQ,C4;S4,S8,S5,S2;C8,C5,CJ,C3;S7,S9,H9,SK;D9,D7,DJ,DA;H2,H6,H7,H3;HJ,D2,SA,D5;C7,DQ,H8,D8;H4,H5,H10,HK;HA,DK,HQ,S6"
1571051053,2,0,1,"CK,CA,C6,C2;D3,D7,D6,DK;SQ,S7,S8,SA;D4,H9,D10,D2;S4,S3,S9,SK;C10,CQ,C7,C4;S5,SJ,HK,S2;C8,DJ,C5,CJ;H2,H3,H7,HJ;H10,DA,HQ,C3;D5,H4,H5,H6;D8,HA,S10,C9;D9,H8,S6,DQ"
1571051053,2,13,1,"C3,CQ,C6,C2;D2,DQ,D6,D3;CK,S7,C8,C5;SQ,S8,S10,S6;D7,D10,D5,D8;C9,DJ,HK,C7;S4,S5,SJ,S3;H9,H3,H4,HJ;C4,S9,DA,CJ;CA,H6,D9,C10;H5,S2,H7,SK;H8,H2,H10,HQ;D4,DK,HA,SA"
1571051053,2,4,1,"C6,C4,CQ,C2;CA,CJ,H3,C9;DA,D4,DJ,DQ;HK,C8,H9,C5;SA,SK,S8,SQ;HA,H7,HJ,H10;D7,DK,D5,D9;D3,D8,D6,D2;S9,C3,H6,H2;S4,S10,D10,H5;C10,S5,CK,HQ;C7,S2,S3,H8;S6,SJ,S7,H4"
1571051053,2,0,1,"CK,C3,C4,C2;D4,DA,D2,D5;CA,C10,C7,CQ;D8,C5,D7,D9;D3,SQ,DQ,D6;S10,SJ,SK,S7;S9,S4,S6,S3;SA,C8,HK,S5;H4,H2,H8,H9;C9,H6,H10,H7;H5,D10,H3,HJ;HA,DJ,HQ,S8;CJ,DK,C6,S2"
1571051053,2,0,1,"CJ,C3,D9,C2;S7,S5,S3,S2;D6,DJ,D8,D3;CQ,C4,H5,C6;H8,H3,H4,H9;D5,DQ,SA,DA;SK,D7,C8,D2;H6,DK,C9,D4;S6,S10,H10,SJ;HQ,HA,C5,C10;S8,SQ,CK,S4;C7,HK,H2,D10;CA,HJ,H7,S9"
1571051053,2,24,1,"CK,CA,C7,C2;D8,D5,DK,D4;C3,C6,C8,C5;CJ,C9,C10,CQ;S6,S4,S8,SQ;DJ,DA,D2,D6;DQ,D3,D10,D7;SJ,S7,HK,SK;S2,SA,H5,S5;H9,HQ,HA,H3;HJ,H2,H8,C4;S9,H10,S3,S10;H7,H4,H6,D9"
1571051053,2,0,1,"C4,C5,C3,C2;S3,S4,S7,SQ;C10,C6,CJ,C8;D8,D3,D6,D2;S2,S5,S6,S10;CQ,C7,DK,SJ;D10,H9,H10,SK;D4,DJ,D5,DA;DQ,CK,HK,C9;HJ,H5,H4,HA;H3,SA,H2,H8;D9,S9,H6,CA;D7,S8,H7,HQ"
