1571051081,2,7,0,"CA,CQ,C4,C2;SA,S8,S4,SQ;D3,D2,DQ,D5;DA,D7,D10,D6;C6,C8,CJ,CK;C9,C10,H8,C3;H2,H9,H10,HA;H3,H5,HK,HQ;H7,H4,D8,HJ;S3,SJ,S5,SK;DJ,DK,C7,C5;H6,S6,D9,D4;S9,S10,S7,S2"
1571051081,2,0,0,"CA,C10,D4,C2;DK,DJ,D7,D3;S3,S10,S8,S7;CQ,CJ,H3,C9;H2,H8,H9,HJ;S4,S5,D9,SA;HK,H7,H10,H4;S9,C4,SJ,SK;DA,C5,C8,C3;DQ,D6,CK,D8;HQ,C6,D2,D10;S6,C7,SQ,S2;D5,H5,H6,HA"
1571051081,2,16,0,"C7,C4,CQ,C2;S10,S5,S4,S3;SQ,S8,S9,SK;C5,DK,C9,C10;SA,S6,SJ,S2;DA,D10,DQ,D5;D3,CA,D8,DJ;D2,H2,D4,D6;CJ,H7,H5,H6;HA,HQ,C8,C3;HJ,H8,HK,CK;H4,H9,D7,C6;H3,S7,H10,D9"
1571051081,2,23,0,"C10,CA,CJ,C2;DQ,D5,D8,D3;S4,S9,SA,S8;C4,CQ,C5,C8;C6,C9,H6,C3;HK,H8,S10,H9;D7,DK,D4,DA;H4,D2,H10,H5;D9,C7,D6,D10;SK,H2,S3,H3;SQ,HJ,S5,HQ;S7,S2,SJ,HA;S6,CK,DJ,H7"
1571051081,2,16,0,"CQ,C6,C3,C2;D6,D10,D8,D7;H6,SA,S10,S8;SJ,SQ,C5,S5;H2,H3,H10,H5;S9,DA,S6,S4;H4,HJ,HQ,H8;CA,C8,C9,CJ;C7,CK,C10,C4;D3,D9,D4,D5;DQ,S7,DK,D2;HA,H9,S2,HK;H7,SK,DJ,S3"
1571051081,2,1,0,"C9,CK,C8,C2;D3,D2,D7,D6;S10,S2,S7,S6;D8,D4,D9,D10;S4,S5,H10,S8;S3,SA,DA,DK;H9,H2,H5,HJ;C4,S9,C7,CA;HA,SK,C5,C3;C6,DQ,SQ,C10;CQ,D5,H3,CJ;DJ,H4,H6,H7;SJ,HK,H8,HQ"
1571051081,2,0,0,"C8,C9,C3,C2;D6,D9,DQ,DA;CA,C10,HQ,CQ;SK,S5,S8,S9;H2,H8,H4,H6;D10,S4,DK,D2;D3,D7,H7,D4;SQ,SJ,HA,HK;S10,S2,S6,SA;H3,C7,D5,C5;D8,C4,S7,CK;DJ,HJ,H5,CJ;S3,H10,H9,C6"
1571051081,2,1,0,"C8,CK,C4,C2;SK,SQ,S3,S6;C10,CQ,C3,CA;S5,S2,S8,S10;HQ,SA,S9,S7;H5,H10,H3,H7;DJ,DA,SJ,S4;C5,C7,C6,C9;DK,D9,D4,D10;D6,HA,D5,D8;D7,H6,H2,H8;DQ,H9,H4,HJ;D2,CJ,D3,HK"
1571051081,2,9,0,"CK,C3,C5,C2;D4,D9,DJ,D3;CA,C10,CJ,C9;D7,DA,DQ,DK;S5,SK,S4,SQ;D5,D8,C4,D2;C8,HK,H8,D10;SJ,S2,S8,S7;H10,H9,HA,H2;HJ,H6,S6,D6;S3,S9,H5,S10;C7,SA,C6,CQ;HQ,H4,H3,H7"
1571051081,2,8,0,"C5,C3,CK,C2;CA,CJ,C4,C10;S10,H5,C7,C6;SK,S8,SA,S2;H9,H8,HJ,H4;DA,D2,DJ,D10;S3,S4,S6,SJ;H6,H10,H7,HK;D5,D9,D4,D7;S9,S7,SQ,S5;C8,DQ,D3,D8;H2,D6,CQ,HA;H3,DK,C9,HQ"
1571051081,2,4,0,"CK,C3,CQ,C2;S2,SJ,SQ,S8;S4,C7,C5,C8;D5,D8,DQ,DA;S10,S3,S5,S7;DJ,D6,D4,D2;C10,C9,HA,CA;SK,D3,S6,SA;H4,H6,H9,H7;DK,D9,HJ,D7;C4,HQ,H5,C6;H10,H8,S9,H3;HK,D10,H2,CJ"
1571051081,2,0,0,"C8,C5,C3,C2;C6,C10,C4,C7;S7,S9,S8,SJ;D10,D5,DJ,D3;S3,H5,S6,S5;D9,DA,DQ,DK;CJ,C9,HA,CK;H4,H7,H6,HJ;CQ,H10,HQ,CA;H9,SQ,HK,H3;D6,D8,SA,SK;S2,H2,D2,D7;S4,H8,D4,S10"
