1571051361,2,0,1,"D6,C3,C7,C2;CK,HK,C8,C6;D10,D3,D7,DK;S2,SQ,SA,SJ;D2,DJ,H7,D4;H8,H4,HQ,H2;HJ,CJ,DQ,D5;S7,H10,H9,HA;S9,S3,C4,S5;S6,C9,CA,C5;C10,S10,CQ,S4;H5,DA,D8,H6;H3,SK,D9,S8"
1571051361,2,0,1,"C9,CK,C7,C2;CQ,D5,C10,C5;S5,SA,S2,S6;D8,DJ,D9,DA;S9,S3,SQ,S7;D2,D4,H5,D7;HJ,H4,HK,H10;HQ,H8,C3,CA;H2,HA,CJ,C8;SK,S8,H9,S10;H6,H3,S4,H7;D6,D3,D10,C4;SJ,DQ,DK,C6"
1571051361,2,13,1,"CJ,C5,C7,C2;S3,SQ,S8,SJ;C4,C10,C9,C6;SK,SA,S4,S7;DK,D6,D9,D2;DA,D10,DJ,D7;DQ,CQ,C8,C3;D8,S9,H7,S2;HA,H8,H9,H10;H6,D4,HQ,D3;S5,H2,H4,HJ;CA,D5,H5,CK;HK,S6,H3,S10"
1571051361,2,1,1,"C3,C9,CQ,C2;CK,C8,C7,C4;D5,D3,D10,D6;SK,S10,S5,S7;S9,S6,SA,S4;DJ,DQ,D8,DK;SQ,S8,C6,S2;CJ,C5,H8,C10;D4,D9,D2,DA;H7,H3,H9,H5;H10,HA,H6,HQ;H4,H2,HJ,HK;SJ,S3,D7,CA"
1571051361,2,21,1,"C4,S7,C10,C2;D4,DJ,DK,D7;D5,D8,D9,D10;S2,SK,S5,S6;D2,SQ,SA,S9;C6,C7,SJ,C5;D6,C9,CJ,CQ;DA,CK,HA,C3;S4,HQ,H9,S8;S10,CA,H3,C8;H10,H7,H4,H5;HJ,S3,H6,H8;D3,H2,HK,DQ"
1571051361,2,15,1,"C7,C9,CQ,C2;SJ,S9,S10,S6;D8,D5,D2,DQ;D3,DA,D9,D4;DK,D6,CK,D10;H2,S5,SK,SA;H6,H8,HK,H3;C5,C6,C10,CJ;H9,HA,C4,CA;S4,H4,S2,S3;H7,H5,D7,H10;HJ,S8,C3,S7;C8,DJ,HQ,SQ"
1571051361,2,4,1,"C7,C6,CA,C2;C9,CJ,C3,C4;D4,D3,DQ,D9;D6,DA,D5,DJ;H8,CQ,CK,C10;H7,H4,H2,H5;HA,H3,HJ,H6;SK,S7,S8,S5;C8,SQ,S2,C5;H10,S9,S3,S10;H9,HK,S4,HQ;D2,SA,DK,S6;D7,D10,D8,SJ"
1571051361,2,4,1,"C6,C10,C8,C2;DA,D4,D10,D6;S10,SJ,S4,S3;C4,C9,S6,C5;HA,C3,SQ,CJ;D5,CK,DQ,CQ;H7,H3,H4,H2;SK,S9,S2,S5;D2,DJ,DK,D3;HQ,S7,D9,SA;H6,D7,H9,H10;CA,D8,HJ,H8;H5,C7,S8,HK"
1571051361,2,5,1,"CQ,C8,CK,C2;CA,CJ,C5,C6;D5,D6,D4,D8;C4,C9,H4,C10;SK,S10,S3,S4;S6,SJ,S9,S7;S5,S2,DA,SA;DJ,D7,D9,D2;H3,H6,SQ,S8;H10,HQ,DK,D10;H7,HK,H8,C7;DQ,HA,HJ,H9;H2,C3,D3,H5"
1571051361,2,3,1,"C10,CJ,CA,C2;D10,D6,D8,DQ;D5,D9,S8,D7;SA,S10,S9,SK;D4,S5,S6,SQ;C6,C3,C9,CQ;C7,C4,C5,CK;DK,S2,S3,S4;HQ,HA,S7,C8;H2,H4,H6,H7;H10,H3,D3,H5;HJ,DJ,H9,D2;HK,DA,H8,SJ"
1571051361,2,0,1,"DK,CQ,C4,C2;SA,DQ,D10,D4;S8,S7,S9,S4;C10,H10,C8,CK;CA,H4,C3,C5;H9,H6,H3,H8;D9,CJ,D6,D8;H2,DA,DJ,D5;S10,S6,C6,S5;C9,HK,SJ,S3;S2,H7,H5,SK;HA,D3,C7,SQ;D7,D2,HQ,HJ"
1571051361,2,0,1,"C8,C7,CJ,C2;S3,H9,SQ,S6;D4,D6,D2,D8;S2,S5,C10,S9;D7,SA,D10,S7;H3,HQ,H8,HJ;CK,C3,C6,C4;CQ,DJ,CA,C5;HK,H10,DQ,DK;H4,SK,D5,S8;D9,H6,H2,HA;DA,S10,H5,SJ;D3,S4,H7,C9"
