1571051410,2,15,1,"C3,CQ,C4,C2;S8,S2,S5,S7;C7,CJ,C8,CA;C5,D10,S3,C6;S10,SJ,S4,S6;S9,SQ,D4,SK;DK,DQ,D9,DJ;H10,HK,D3,D2;D7,HQ,C9,D5;H4,H2,DA,H5;H8,H6,SA,H3;H7,D6,HA,C10;HJ,D8,H9,CK"
1571051410,2,1,1,"C10,C3,CQ,C2;S6,S8,SQ,SK;DK,DJ,DQ,DA;S10,C5,S5,S3;C4,HJ,SJ,SA;CA,D5,S9,S2;D4,D7,D3,D10;CK,C7,CJ,C8;H10,H7,H2,H9;H6,H5,HK,HQ;H8,D2,S4,S7;H4,C9,D6,C6;D9,H3,HA,D8"
1571051410,2,4,1,"C9,CQ,CJ,C2;S5,SJ,S6,S3;SQ,D6,S9,S7;D3,D2,D10,D4;D8,D5,DJ,DA;C5,CK,C4,C7;C3,H7,D9,C10;HK,H10,H4,H3;S8,S10,CA,SK;H6,SA,H2,S2;H8,C8,HJ,H9;S4,HA,DQ,H5;C6,D7,DK,HQ"
1571051410,2,0,1,"C8,C6,C7,C2;SK,SQ,S7,S3;S10,D9,SA,S2;S6,DJ,C9,S4;D10,DK,D6,D2;C3,C4,CK,C10;DQ,D7,D8,D5;HQ,CQ,H10,CJ;H6,DA,H3,D3;H7,HK,H2,H5;H4,H8,S9,HA;H9,CA,SJ,S8;D4,HJ,C5,S5"
1571051410,2,6,1,"C3,CA,C9,C2;SK,S8,S10,S9;CQ,CJ,CK,C7;D10,DQ,D4,D8;C5,C8,C6,C4;S4,S5,S7,SJ;D2,S6,D3,DJ;HQ,H7,D6,DK;HA,H2,DA,HK;H3,S3,H6,H8;H9,D5,HJ,H5;SA,SQ,D7,H4;S2,C10,D9,H10"
1571051410,2,18,1,"C10,C5,CA,C2;C8,C9,CJ,CQ;D2,D3,DA,DJ;S6,S7,SJ,S8;C4,HA,CK,C3;H9,H4,H2,H10;H5,HJ,H8,H6;D4,DK,D5,D8;S3,SA,S4,S2;SK,H7,HK,HQ;DQ,D7,C6,D9;S10,S5,D10,C7;SQ,H3,S9,D6"
1571051410,2,11,1,"C10,C5,C9,C2;CK,CQ,CJ,C6;S7,S8,S2,SQ;D7,D9,D5,D10;DJ,D8,D2,D4;C4,HK,S10,C7;H8,H7,H9,H10;HQ,SJ,H3,CA;DK,S3,SK,SA;D6,S5,HA,S6;DQ,H5,HJ,C3;D3,S9,H4,C8;DA,S4,H6,H2"
1571051410,2,2,1,"CQ,C3,C9,C2;C6,CK,C7,C10;D8,DA,D9,D10;DJ,D3,D4,DK;S10,S5,S4,S8;SQ,C8,CA,C5;SK,S2,S6,S7;DQ,D2,SA,D6;HQ,S3,H2,S9;H6,HK,H7,H3;H9,H8,CJ,H5;H4,D7,HJ,H10;D5,SJ,C4,HA"
1571051410,2,4,1,"CQ,CK,C7,C2;SA,S7,SQ,SK;D3,DA,D9,D10;DK,D8,D7,DQ;CJ,C5,C10,CA;SJ,S8,S3,S2;HQ,HJ,S9,S5;H4,H2,H9,H3;H7,H10,D4,H5;C4,C6,S10,C9;D2,H6,H8,S4;D5,C3,HK,C8;DJ,D6,HA,S6"
1571051410,2,1,1,"C5,SA,C3,C2;S10,D4,S7,SQ;SK,HA,S6,S9;H5,HJ,H4,H2;S5,D9,DJ,S2;D6,DQ,DK,D3;C10,HQ,CK,C9;C7,H3,H6,H7;C6,DA,H8,H9;S3,D5,D2,D10;C8,SJ,H10,CJ;CQ,S4,HK,C4;D8,D7,CA,S8"
1571051410,2,2,1,"C5,CK,C7,C2;D5,D10,D6,DQ;D4,D8,DK,DJ;SQ,SA,SJ,S10;CJ,C4,CQ,C8;S5,S2,S4,S3;D3,D7,HA,DA;HQ,HK,H6,H8;S7,S8,H3,SK;C9,H7,H4,C3;H9,HJ,S6,H2;S9,C10,D2,H5;CA,C6,D9,H10"
