1571051416,2,13,1,"C3,CK,CJ,C2;S3,S2,SJ,SQ;D6,DQ,D3,D4;SK,H5,S10,SA;CA,C8,HQ,C6;H7,H3,H2,H8;D9,S9,S7,S4;D8,D10,D5,DA;C5,H10,H9,H4;HK,HA,C10,S8;H6,DJ,C7,S5;D2,DK,CQ,C4;S6,HJ,D7,C9"
1571051416,2,12,1,"C5,C8,CJ,C2;DQ,D8,DJ,D2;SJ,D6,D9,DK;C4,D4,D3,D5;S4,S3,S2,SK;H5,DA,CQ,D10;H9,H10,H8,H4;C6,CK,C10,CA;S6,S10,S7,S5;SA,SQ,C9,C3;H6,HJ,HK,HQ;H3,C7,S9,D7;HA,H7,H2,S8"
1571051416,2,2,1,"C8,C10,C7,C2;D4,D7,D3,DQ;S6,S4,SQ,S7;H4,C3,CJ,CK;D10,H7,C5,CQ;HQ,H2,H10,HJ;S9,S2,C4,SK;DA,D5,HK,D8;D9,C9,D2,DK;S3,H8,DJ,D6;SJ,S8,H6,S5;CA,H9,SA,S10;H5,C6,HA,H3"
1571051416,2,0,1,"C8,C7,CQ,C2;D5,DJ,DQ,D6;D4,D7,D9,D2;C4,C5,CA,C6;S10,S8,S5,S6;SJ,S7,S4,S9;H10,D8,SQ,D10;H2,HJ,H5,H4;C10,CK,CJ,C9;H8,DK,S2,D3;SA,HQ,H7,H6;H3,HA,SK,DA;H9,C3,S3,HK"
1571051416,2,25,1,"C3,C9,CQ,C2;C4,C7,C5,CA;D6,D8,DK,D10;DA,DJ,DQ,D9;S9,C8,CK,C6;S2,S7,S10,SQ;H7,S4,S5,S6;H4,H3,H2,H6;CJ,SA,SJ,S3;HQ,D5,D7,D2;HA,HJ,D4,D3;H9,H5,SK,HK;H10,H8,S8,C10"
1571051416,2,17,1,"C9,CJ,CK,C2;DK,D3,DA,DQ;S4,SQ,SJ,SK;D8,D7,D9,D2;C4,CQ,C6,CA;DJ,D10,HK,D4;S6,S5,D5,S10;HA,S2,HJ,S8;H6,S7,C8,SA;C7,H3,C10,C3;H2,H8,H5,H10;C5,H4,S9,HQ;D6,H7,S3,H9"
1571051416,2,1,1,"CJ,CQ,C7,C2;S3,SQ,S5,S7;SA,S2,S8,S4;C10,C8,CA,C6;D5,D10,DJ,D3;HQ,D6,D8,D2;SJ,S9,H8,S10;SK,D7,DA,DQ;H3,H2,H9,HA;HJ,C5,H5,HK;D9,C3,CK,C4;H10,H7,S6,DK;H4,H6,C9,D4"
1571051416,2,4,1,"C7,C6,CQ,C2;S9,SA,S8,SK;DK,C8,C10,CK;D4,D6,D2,D9;DA,D5,DQ,DJ;C5,C9,D7,D3;S10,SJ,S7,SQ;S5,H9,CA,D10;S6,CJ,HQ,D8;H10,H3,H4,H5;S4,S3,H2,S2;C3,HJ,H8,C4;HA,HK,H6,H7"
1571051416,2,7,1,"D7,C6,C4,C2;S6,SQ,S9,S8;D4,D9,D3,DK;D8,D5,D6,D2;S4,SJ,S2,SK;DJ,C5,H8,D10;C8,CJ,HK,C10;H10,H5,H4,H6;CQ,H2,H3,HJ;C9,S5,SA,S3;S7,DQ,HA,H9;C3,S10,CA,CK;HQ,H7,DA,C7"
1571051416,2,5,1,"CK,C7,CJ,C2;D6,D8,DA,DK;S2,S9,S5,SJ;S10,S7,SA,S4;SQ,S6,S8,SK;DQ,D7,DJ,D9;C6,C5,H10,C9;CA,HA,H9,C3;H4,H6,H3,H8;D3,HJ,D4,D10;D5,H5,HQ,H7;C4,D2,HK,C10;CQ,S3,H2,C8"
1571051416,2,3,1,"CA,C5,CQ,C2;C4,C9,C8,C3;C10,CK,D8,C6;DK,D2,DA,D10;S10,S6,SJ,SQ;S2,S5,S7,S3;S8,C7,HJ,CJ;HQ,HA,S4,S9;H6,H8,H2,H10;HK,DJ,SA,H7;D6,D3,H4,D7;D9,D5,H5,D4;SK,H3,H9,DQ"
