1571051485,2,4,1,"CA,C10,C4,C2;DK,DQ,D6,D9;CJ,C6,CK,C9;SA,SQ,SK,S5;S9,S6,S4,S7;DJ,D10,DA,D7;D3,D4,D8,D2;H9,S10,S8,S2;H8,H3,H5,H7;HA,HQ,H2,HK;H6,C3,H10,D5;C5,C8,S3,SJ;HJ,CQ,C7,H4"
1571051485,2,4,1,"C9,CK,C7,C2;D6,D3,D4,D5;C4,S2,S5,SQ;D8,D7,D10,DA;DJ,D2,S7,DK;C5,SJ,S4,SK;CA,HA,SA,S8;S6,H5,H8,S9;HJ,H7,HK,H9;C8,S10,CQ,C3;DQ,CJ,D9,C6;H4,H6,H3,H2;H10,HQ,S3,C10"
1571051485,2,6,1,"C8,CA,C5,C2;SJ,S3,S9,SQ;S6,HK,S2,S7;C10,CK,HJ,C4;H6,C7,D10,CJ;H4,H3,H2,H5;D3,D8,D7,DK;HA,HQ,H7,H10;DQ,D5,C6,D4;SA,C9,DJ,SK;CQ,DA,S4,S10;H8,D2,C3,D6;H9,D9,S5,S8"
1571051485,2,0,1,"C9,CQ,C6,C2;C4,CK,C8,C3;S7,SA,S8,S10;S4,S2,H2,S6;HA,H7,C5,CJ;SQ,S5,H8,S9;DQ,D9,C7,DK;H4,H10,HJ,H5;D3,D5,H9,C10;DJ,HQ,D10,CA;H3,SJ,DA,HK;D4,S3,D7,SK;D6,D8,D2,H6"
1571051485,2,0,1,"C7,CQ,CK,C2;C3,C6,CJ,C5;S8,SJ,S6,S9;DK,D3,DJ,D4;S4,C10,S3,S5;SA,D6,SQ,SK;DQ,HQ,S2,S10;H5,HJ,H9,H10;D2,DA,D7,D8;H8,C8,H2,HA;D10,C9,H6,C4;H4,S7,H7,D5;H3,CA,HK,D9"
1571051485,2,3,1,"CK,CA,C8,C2;S10,S9,SQ,S4;H2,C4,C10,C6;DA,D9,D10,D8;S6,S8,SA,S7;H10,H8,HQ,HJ;CQ,CJ,DK,C5;D5,H9,H3,D6;DQ,H4,H5,D2;S3,SK,D3,D4;HK,SJ,S2,S5;D7,C9,H7,C3;H6,C7,HA,DJ"
1571051485,2,21,1,"C3,C7,C6,C2;D2,DQ,DJ,D6;S6,D7,S3,D10;S10,SK,SA,S9;CK,C9,C10,CA;C8,C5,HQ,C4;S4,S7,S2,S5;H2,HK,H4,H7;HA,D8,SJ,S8;D4,H6,HJ,SQ;D3,H9,H5,H10;D5,CJ,D9,H8;DA,CQ,DK,H3"
1571051485,2,21,1,"C9,C5,CJ,C2;S4,S3,SA,S2;D3,DJ,D7,DQ;C6,S7,S10,S6;H9,C8,C4,C10;H8,H6,H5,H10;H3,HQ,H2,H7;D2,D5,D4,D6;CK,SK,D8,DK;HJ,CQ,SJ,D9;SQ,HA,HK,D10;H4,C7,S5,DA;S9,C3,S8,CA"
1571051485,2,1,1,"CJ,C8,CQ,C2;SK,S7,SQ,S2;D2,DA,D10,D8;S5,S8,SJ,S10;DK,D3,DQ,D4;SA,S4,S6,S9;CA,C3,H5,C9;HJ,HA,H4,H7;CK,D6,C6,D7;H6,H9,H3,H8;S3,H2,HQ,H10;DJ,C5,HK,C4;D5,C7,D9,C10"
1571051485,2,7,1,"C3,CK,C4,C2;DQ,D7,D3,D5;C8,SQ,C5,CJ;C7,H2,HA,C6;S5,S3,SK,SJ;D2,D4,D6,D9;H8,S2,H5,HK;H7,DA,H4,HQ;CA,SA,S7,C10;S4,S6,CQ,S8;DJ,H6,H3,H9;DK,D8,H10,C9;D10,S9,HJ,S10"
1571051485,2,16,1,"CJ,C6,CQ,C2;S4,SA,S7,S10;DJ,D2,D5,DK;S6,S9,SK,SJ;D8,D4,D10,DQ;H7,D7,C7,D9;C9,CK,C3,C8;H8,H4,H5,H6;SQ,S8,S2,S3;H10,D6,HQ,DA;HA,C10,H9,H3;D3,HK,H2,HJ;C5,CA,S5,C4"
