1571051539,2,1,3,"D3,C10,CA,C2;CK,HQ,CQ,C7;S3,S4,SQ,SJ;H8,H9,H10,H4;S9,H7,S8,S6;DK,D4,DA,D9;H3,C6,H2,H5;HA,C8,SK,S2;S10,H6,C4,S7;D6,D2,D5,DQ;C3,CJ,HJ,C5;S5,D10,DJ,D7;C9,HK,SA,D8"
1571051539,2,0,3,"CJ,CQ,CK,C2;S3,S9,S5,S10;S8,S4,D9,SJ;D2,D8,D5,DK;DA,D4,DJ,D10;H2,HK,S2,S6;H6,H8,H10,H4;SQ,C4,C5,SA;HA,H5,HJ,H9;HQ,C9,C6,SK;DQ,C3,C7,C10;D3,C8,H7,D7;D6,CA,H3,S7"
1571051539,2,0,3,"C8,CQ,C5,C2;S2,SA,SJ,S6;H4,S10,S5,S7;H7,S4,D2,S9;HQ,H10,HK,HA;C6,CA,CK,C4;DJ,D7,DQ,D10;D3,D5,DK,D6;H8,SK,H5,H3;S8,D8,H6,H9;S3,D4,HJ,H2;C10,SQ,D9,DA;CJ,C3,C9,C7"
1571051539,2,3,3,"C5,CQ,C4,C2;S3,S6,S8,S5;S4,SQ,S2,SA;DJ,D5,D10,DK;S10,H7,SJ,SK;CK,C10,C3,C9;HQ,HA,S9,S7;HJ,H6,HK,H10;H2,H4,D8,H5;D4,D7,D2,D9;H3,H9,D3,H8;C6,DA,D6,DQ;C8,C7,CA,CJ"
1571051539,2,0,3,"C3,C9,C6,C2;SQ,S9,S2,S7;DA,D2,D9,D3;CA,C8,CK,C5;S3,SA,S8,SJ;DK,D4,D7,D8;S6,S5,SK,S10;S4,DQ,DJ,D10;HA,H3,H6,H7;HJ,H4,H10,HK;D5,C7,H5,D6;CJ,C10,H9,C4;H8,HQ,CQ,H2"
1571051539,2,3,3,"CA,C6,C3,C2;S10,SQ,S6,SA;D3,DA,D6,DJ;C9,C7,H10,C10;H6,H5,H2,H3;C8,D8,CK,CQ;CJ,DK,D7,D4;D9,DQ,HK,D5;SJ,D2,S2,D10;HJ,H4,H7,H9;HA,S5,C5,C4;S9,S7,S8,S4;HQ,H8,S3,SK"
1571051539,2,0,3,"CJ,C8,CQ,C2;SQ,S7,S8,SA;SJ,H2,S9,S4;H3,H5,H6,H9;C9,C10,C6,CK;DJ,DK,D5,DQ;D2,HK,HQ,H7;D10,S10,S6,S2;C7,H8,C3,C4;D6,D3,D7,D8;S3,HA,C5,SK;D9,H4,HJ,S5;D4,DA,H10,CA"
1571051539,2,3,3,"CJ,SK,C6,C2;D2,D3,D7,D4;C5,HQ,C8,C4;CQ,CK,H10,C9;SA,S4,S9,SJ;HK,H4,D10,H5;D6,DQ,H8,D5;S6,S7,S5,S10;S3,SQ,C10,C7;S8,HJ,H9,HA;DJ,H6,D9,DA;S2,H7,D8,H3;DK,C3,CA,H2"
1571051539,2,6,3,"CJ,C6,S2,C2;C8,SK,C3,C7;S7,CK,CA,C4;S9,S6,S8,SA;D6,DQ,D2,D5;S3,S5,S4,S10;D3,D9,D7,DA;H3,H7,H10,H2;HQ,D8,DK,D4;HA,H5,HJ,D10;C10,H8,H9,CQ;C9,H6,SQ,C5;H4,SJ,DJ,HK"
1571051539,2,0,3,"C4,C5,CQ,C2;DQ,D5,D8,D6;S3,SA,SK,S4;S8,S6,SJ,SQ;D9,H5,DA,D10;H4,H3,H7,H2;C9,CA,HA,C6;S5,C3,H10,S9;DJ,C10,D7,C7;HQ,DK,H8,H6;D3,D2,CJ,D4;S7,HJ,C8,HK;S2,S10,CK,H9"
1571051539,2,0,3,"C9,CJ,CA,C2;C6,C4,C8,CK;S9,S7,SK,S4;SQ,CQ,SA,C5;DK,C7,HK,C3;DQ,D5,D6,DA;H6,HQ,H10,HA;D2,C10,D10,DJ;D8,HJ,D4,D9;H5,H9,H4,H7;D3,S10,S2,S5;S8,H8,H3,H2;D7,S6,S3,SJ"
