1571051545,2,17,2,"C8,CA,C3,C2;SQ,C9,C5,C6;S9,S6,S8,S10;S2,SA,S3,SJ;D10,C4,D2,D9;HK,D8,D6,D7;DQ,S7,SK,S4;HQ,H4,H7,HA;DA,CK,DK,S5;C7,CJ,D3,C10;H10,HJ,H8,D4;H5,H2,H6,DJ;H3,CQ,H9,D5"
1571051545,2,3,2,"C9,C10,C8,C2;C5,S5,C6,C4;SA,S2,S4,S10;D10,D3,D2,D8;H4,CJ,SJ,C7;H5,H7,H8,H9;H10,H3,H2,H6;S3,SQ,S7,S8;C3,DQ,DA,D5;D7,HJ,D4,D6;CK,S6,SK,S9;DJ,HK,HA,CQ;D9,HQ,DK,CA"
1571051545,2,0,2,"C9,C4,C6,C2;D3,D10,D9,D6;S9,S3,SK,S2;D4,DJ,DQ,D2;S8,S4,H5,S10;CQ,CK,C3,CJ;C8,S7,H9,S6;HJ,H8,HK,H10;DA,CA,C5,C10;H3,HA,H6,H4;H7,D5,SA,D7;H2,DK,SQ,C7;SJ,HQ,S5,D8"
1571051545,2,2,2,"C9,C7,CK,C2;S6,SA,S7,S9;DK,D3,DJ,D8;C3,C4,CA,C10;DQ,D9,D2,D5;H2,D10,DA,D6;HJ,S8,S2,SK;H3,H4,H7,H6;H10,CJ,C8,C5;CQ,C6,S4,D4;H5,HQ,H9,HA;HK,S5,S3,H8;SQ,SJ,D7,S10"
1571051545,2,20,2,"CK,C8,C7,C2;D5,D10,D9,DQ;D2,DK,D4,D3;SK,HJ,S4,S10;H10,SJ,S8,S2;S7,S9,CA,SQ;C10,CJ,C5,CQ;H9,HK,H7,H8;H2,H5,H3,H4;D6,D8,D7,DJ;SA,C9,HA,S3;C3,H6,S6,S5;C4,DA,HQ,C6"
1571051545,2,13,2,"CJ,CA,C4,C2;D9,D2,DK,D6;C9,C3,CQ,C5;DA,D7,DQ,D10;C8,C10,C7,C6;S8,SQ,S7,S4;S3,S9,S6,SJ;HQ,H4,H6,HJ;H8,HK,H5,H9;HA,D3,SA,D8;H10,SK,S2,D5;H3,S5,CK,D4;H2,S10,H7,DJ"
1571051545,2,0,2,"C9,C5,CA,C2;C7,C8,CQ,CJ;D8,D9,DJ,DK;H9,CK,C3,C10;H4,H7,H2,H10;H6,H3,H5,HA;SQ,C4,SA,C6;D3,D6,D4,D2;SJ,S3,S4,S2;D5,HK,D10,DA;S7,SK,H8,HQ;S6,S10,S5,D7;S8,S9,HJ,DQ"
1571051545,2,10,2,"CA,C4,CJ,C2;D5,D9,D8,D10;C8,D7,D2,D4;SJ,S10,S3,S5;D6,C6,S9,C3;S8,SA,SQ,S6;DQ,SK,S4,S2;HJ,C9,HQ,C10;DJ,CQ,DK,C7;H4,H9,H5,H3;H2,S7,H8,CK;H7,D3,HK,C5;HA,DA,H10,H6"
1571051545,2,21,2,"C8,C4,CK,C2;H9,D4,DA,D6;D7,H10,D3,DQ;CQ,C3,C10,C7;S3,S4,SQ,S10;DK,C9,SK,CJ;D5,HQ,D2,D8;D10,C5,D9,CA;S9,H7,H8,H4;HA,S6,H2,H5;SA,S8,H3,HJ;DJ,S7,HK,H6;C6,S2,S5,SJ"
1571051545,2,13,2,"C8,C7,C9,C2;SQ,SA,SK,S8;DA,C10,CJ,CA;S4,S9,SJ,S7;D7,D2,D10,DJ;S3,HA,S2,S10;H8,H6,HQ,H2;D8,H10,D9,D5;HJ,H5,H9,H4;HK,C5,D3,D4;H7,C6,DQ,D6;C3,CQ,C4,DK;S5,CK,S6,H3"
1571051545,2,2,2,"CJ,C6,C7,C2;S5,S10,SK,SA;C10,CQ,CA,C9;D8,D6,D7,D3;C4,C3,S7,CK;SQ,S9,H9,S3;H7,H8,H3,HK;D5,D2,DK,DA;S6,DQ,S2,SJ;HJ,D9,S8,S4;H2,C5,HA,C8;H5,HQ,DJ,D4;D10,H4,H10,H6"
