1569977223,3,20,3,"C2,C3,CJ,C4;S5,S4,S7,S3;D6,D10,D4,DQ;C6,CQ,C5,CA;DA,D7,HA,D3;D9,DK,H6,H4;C7,S9,C9,CK;HJ,H8,H2,H9;SQ,SJ,S2,H10;C10,D8,S6,C8;S8,S10,SA,H7;SK,H3,DJ,HK;H5,D5,D2,HQ"
1569977223,3,1,3,"C2,CK,CQ,C10;D10,D5,D3,D6;S8,SJ,S5,S10;C8,CA,CJ,C7;SK,HQ,SQ,S2;D4,DK,DQ,H9;H10,HK,H6,H2;H3,C3,H8,HJ;C9,DA,C6,S4;C4,D7,D2,S6;C5,S3,D8,S9;S7,H4,DJ,SA;H7,HA,H5,D9"
1569977223,3,21,3,"C2,C6,CA,C10;S9,SQ,S6,S8;D3,DJ,D7,D8;SJ,S5,SA,S2;C9,H9,CQ,C4;H4,HJ,C3,H6;H10,H8,CK,HQ;D2,D5,D10,D9;DQ,D6,CJ,D4;S10,SK,S3,S7;S4,HA,C7,DA;H5,HK,C8,H7;C5,H3,DK,H2"
1569977223,3,0,3,"C2,C7,C9,C10;S3,SA,S7,S6;D8,DK,D6,D3;C4,CA,C6,CQ;S5,SK,SQ,H4;H8,HK,H9,H10;D7,D4,D10,DA;C5,C3,C8,CJ;DJ,D5,H2,H3;D2,DQ,S10,H7;S2,S8,CK,SJ;D9,H6,HQ,HA;HJ,S9,H5,S4"
1569977223,3,0,3,"C2,S8,C4,CA;S4,SA,S6,SK;DK,D5,D6,DJ;D7,D10,HJ,D8;H10,HK,H2,H8;H6,H7,H3,C3;S2,S7,S3,S5;H9,S9,D4,HA;CJ,H5,C8,C5;SJ,HQ,SQ,D3;S10,D9,C9,C7;C6,DA,CQ,CK;C10,DQ,H4,D2"
1569977223,3,3,3,"C2,CA,CK,C8;CJ,C10,C6,C4;D4,D7,D8,DK;SJ,S9,S6,H2;S4,SQ,S8,HJ;C9,SK,C7,C3;D2,D9,D6,DQ;DJ,S10,D5,D3;DA,H5,H8,H9;D10,H7,HQ,HA;CQ,S2,H3,C5;H4,HK,S7,S3;H6,S5,SA,H10"
1569977223,3,4,3,"C2,C5,C10,C3;S5,S7,S2,SA;D9,DJ,D4,D3;CK,C8,CJ,CA;S10,S6,SQ,SK;D8,DQ,D10,DA;D6,D5,D7,D2;S4,S8,S3,S9;HK,H8,H3,HQ;H7,H6,H9,H2;C9,HA,C4,C6;C7,H10,HJ,CQ;SJ,H4,DK,H5"
1569977223,3,1,3,"C2,CQ,C10,C8;S9,S10,S6,SQ;C7,CK,C3,H2;D6,DK,D10,DQ;S5,S7,S3,SA;S8,S2,S4,D2;SJ,SK,HJ,D4;D3,H4,DA,D7;H10,HA,H5,H6;CA,C4,H3,C6;C5,H8,D5,C9;HK,HQ,H9,H7;D9,D8,DJ,CJ"
1569977223,3,15,3,"C2,C3,C5,CA;SJ,S5,SK,S8;CQ,C6,HJ,CK;HK,H4,HQ,H9;C7,CJ,DA,C4;DQ,D3,DJ,D7;D4,D8,H2,D10;S4,S6,S7,SA;D2,DK,D5,H6;H7,C9,H3,HA;H10,D6,H8,S9;C8,S3,C10,S2;S10,D9,SQ,H5"
1569977223,3,1,3,"C2,C9,CA,CQ;D10,DJ,DA,D2;S7,SQ,S6,S3;D3,HA,D4,D8;C5,C10,C6,C7;DK,H4,D7,HJ;D5,S5,D9,C8;C4,C3,CJ,CK;S8,S9,S4,SA;SJ,HK,S2,H2;SK,DQ,S10,H5;H9,H8,H10,H6;HQ,D6,H3,H7"
1569977223,3,18,3,"C2,C9,C5,C7;DA,D10,D9,DK;D7,D2,DJ,DQ;S4,S5,S8,S9;CK,CA,C4,C6;S3,S7,SA,SJ;CJ,HJ,C8,H6;C10,D5,H4,HQ;S6,SK,HK,S10;D4,S2,D8,D6;H9,CQ,H5,H10;H8,C3,H2,HA;D3,SQ,H3,H7"
1569977223,3,16,3,"C2,CQ,C7,CA;S5,SJ,S2,S4;D4,D6,D9,D2;SA,S7,S6,C8;S9,S8,S10,CK;C3,H4,HA,C9;D10,DK,H6,D7;S3,SQ,HK,D5;C10,HQ,H8,C4;C5,H9,HJ,CJ;D3,H2,SK,DA;DQ,H7,D8,C6;DJ,H10,H5,H3"
