1569977236,3,26,1,"C2,C6,C3,C10;S8,S6,S5,S9;D5,DA,D8,DJ;C4,C8,CQ,C9;D6,DK,D2,D10;D4,D3,DQ,H10;H8,H4,H3,H7;SA,S3,S7,H9;CJ,C5,H5,C7;SK,SJ,S2,H6;S10,HA,S4,D9;CA,HJ,SQ,CK;D7,HQ,H2,HK"
1569977236,3,7,1,"C2,C3,C5,CA;D6,D7,D3,D8;S5,SK,S4,S3;S8,SJ,SA,S7;CK,C6,C9,C8;C4,D10,C10,CQ;SQ,S9,S6,HK;DA,D5,D2,D4;CJ,DJ,H9,C7;H5,H7,H4,HQ;H10,DK,H2,H8;H6,DQ,S10,HJ;HA,D9,S2,H3"
1569977236,3,16,1,"C2,C9,C10,CK;S4,S7,S10,S2;D5,D8,D10,D6;D9,D7,DQ,DA;C6,CJ,C4,C7;S6,S5,S3,SK;CQ,CA,H4,C5;SQ,S9,S8,SJ;SA,HA,H9,C3;H5,HJ,H10,D3;D4,DJ,H7,D2;HQ,H6,H2,C8;H3,H8,HK,DK"
1569977236,3,8,1,"C2,C3,CQ,C8;SA,SK,S6,S7;D2,DQ,DJ,D3;D10,DK,D7,D4;S4,S8,SJ,H6;H5,HJ,H10,H4;S2,S9,S10,CK;CJ,C10,C7,C5;D5,D9,D8,HK;H8,HA,H3,H7;HQ,C9,S3,H9;D6,DA,SQ,C4;C6,CA,S5,H2"
1569977236,3,1,1,"C2,CA,CQ,C4;S4,S5,S9,S3;DQ,D9,D6,D10;D4,D3,DA,H2;H7,D5,HJ,HA;H4,D8,H6,HK;C9,C8,CK,C10;SK,S2,H9,S8;D7,H5,DK,S7;H8,HQ,SQ,H3;S6,SA,SJ,C7;DJ,S10,C6,D2;C3,H10,CJ,C5"
1569977236,3,0,1,"C2,C7,CA,CJ;S3,SJ,S8,SK;C8,CK,CQ,C9;D7,DA,HK,D9;HJ,HQ,H3,H6;H7,C4,H2,H10;D5,H5,DQ,D2;DJ,S6,H4,D4;D10,HA,C3,D3;D6,H9,S4,DK;SQ,S10,S9,S2;C10,C5,C6,SA;D8,S7,H8,S5"
1569977236,3,0,1,"C2,C8,C10,C9;S4,SJ,S9,S3;S5,S7,SK,S2;D5,D6,D4,D3;C5,CJ,C3,CQ;C4,C6,HJ,C7;D9,DK,D8,DQ;D2,SA,DA,D7;CA,H8,S8,H3;CK,H6,H10,H2;H9,H5,HQ,HK;D10,H4,H7,S10;DJ,SQ,HA,S6"
1569977236,3,0,1,"C2,CK,CA,C3;D7,D3,D5,D6;S8,SQ,S2,SA;CJ,C7,C10,C5;SJ,S5,S3,S7;DK,DJ,D10,H7;DA,D8,D9,S4;SK,S10,H9,S6;D4,DQ,D2,C6;CQ,H10,C9,C4;C8,HK,H3,H2;HA,H4,HQ,HJ;H8,H5,H6,S9"
1569977236,3,13,1,"C2,C3,C6,C8;S9,S10,SQ,SJ;D10,DQ,DK,D2;S8,S3,SK,SA;CJ,C4,CQ,CK;D6,D9,DJ,D3;S4,H5,S2,D5;S5,D4,S7,HQ;C9,CA,HA,H10;D8,C7,D7,DA;HJ,HK,H8,H6;C10,S6,H7,H4;C5,H2,H9,H3"
1569977236,3,0,1,"C2,CQ,C3,CK;S8,S4,S3,S2;SJ,S10,S9,S5;D4,D5,DA,D7;C5,C7,CJ,C4;D2,D3,DQ,D8;C9,C6,C10,SA;DJ,HK,DK,D10;H4,H6,H3,H10;SK,S6,HA,S7;SQ,H7,H5,H8;D6,H9,C8,D9;CA,HQ,H2,HJ"
1569977236,3,0,1,"C2,C7,CK,C6;D5,D3,DA,D8;S9,S5,SA,S2;C3,C8,C9,C10;DJ,DK,D9,H7;D6,D4,D7,C4;S4,SJ,S6,S3;H5,H3,H10,HK;H6,HA,HJ,H8;C5,S7,SQ,H9;CA,SK,S8,H2;CQ,D10,H4,DQ;CJ,S10,D2,HQ"
1569977236,3,14,1,"C2,C6,CQ,C10;S4,S7,SK,S10;D7,DJ,D9,DK;C5,CK,C9,C7;C4,H10,H7,C8;HQ,H5,H2,HJ;S3,SA,S9,S5;D3,D4,D2,DQ;CA,CJ,H4,D10;D6,HA,DA,D5;HK,H9,H3,D8;S2,H8,SQ,S6;S8,C3,SJ,H6"
