1569978233,3,0,0,"C2,C7,CA,C8;SQ,S5,S9,S2;S3,S4,S10,S7;DK,D8,DA,D5;S8,SK,SA,SJ;D9,D7,D3,D6;CJ,C5,C6,CQ;DJ,C3,DQ,CK;S6,C4,C9,D4;H6,H9,HA,H5;HK,H7,H4,HJ;C10,H8,HQ,D2;H10,H3,H2,D10"
1569978233,3,17,0,"C2,C5,C10,C6;D4,D8,DA,D10;S9,SK,S7,S6;CK,D5,C4,C8;S3,S4,SJ,SQ;DQ,D2,D3,C9;S8,D7,S2,S5;DJ,D9,DK,CJ;C3,CA,D6,CQ;HA,H6,HQ,HK;H3,H5,H8,HJ;C7,H10,H4,S10;H2,H7,H9,SA"
1569978233,3,20,0,"C2,C9,C10,CQ;S7,S6,SA,S10;D3,DQ,DK,D7;S2,S4,S9,S3;D2,D4,D5,D9;C4,C7,C6,CJ;D8,SK,D6,DJ;SJ,S5,C3,S8;SQ,C5,CA,D10;DA,H9,HK,H10;C8,HJ,H2,CK;HQ,H6,H4,H7;H8,H3,H5,HA"
1569978233,3,1,0,"C2,C3,CA,C5;S7,S5,S4,S6;C10,C7,D8,C6;CJ,C8,S8,CQ;DJ,D3,D2,S3;DK,D10,D7,CK;SK,SQ,SA,C4;D9,D4,H2,DQ;D5,DA,H3,D6;SJ,H7,S10,S9;C9,HA,H9,H5;H10,HQ,H8,H6;H4,HJ,S2,HK"
1569978233,3,20,0,"C2,CA,C10,C6;D6,DJ,D9,D7;DA,DQ,S9,D3;D2,D5,SJ,DK;SA,S8,S2,SK;D8,C7,C8,D4;D10,C3,S3,C5;CQ,S10,C9,C4;CK,S6,CJ,S5;HJ,HQ,H2,HK;H3,H10,H9,H8;S7,S4,HA,H6;H4,SQ,H5,H7"
1569978233,3,13,0,"C2,CA,C5,C9;SK,S7,S4,S2;S6,S10,S3,SA;C6,D3,C7,CQ;D4,D8,D10,DA;C8,SJ,CJ,C10;D5,SQ,D6,DQ;D2,HK,DK,D7;S9,H2,C4,S5;S8,H7,CK,C3;HA,H8,H5,H3;HQ,H4,H6,H9;HJ,H10,D9,DJ"
1569978233,3,6,0,"C2,CJ,C10,C6;S2,SJ,S7,S6;D5,D8,D2,DK;D9,DJ,D7,DA;CA,C9,C7,CK;SQ,S5,S10,S4;CQ,C3,C8,C5;C4,D4,D10,S3;H7,HA,HK,H9;H2,HJ,H10,H5;DQ,S9,D3,H6;SA,SK,D6,H3;H8,S8,HQ,H4"
1569978233,3,0,0,"C2,CK,C10,C7;S6,S5,SQ,S2;DA,D7,D6,D8;C3,CA,C9,CQ;SK,S8,SA,S7;C6,C4,CJ,C5;D5,DJ,D3,D4;D10,DQ,DK,S3;D9,SJ,D2,H5;C8,S10,H2,HQ;H9,H6,H4,HJ;HK,S9,H3,H7;HA,S4,H8,H10"
1569978233,3,0,0,"C2,CA,C5,C3;D6,DQ,D8,D5;S8,S4,S7,S5;D4,D2,DA,SA;CQ,C10,C6,CK;S3,S2,SQ,S10;SJ,D9,S9,SK;C9,C7,DK,C4;HQ,H4,HJ,HA;C8,DJ,H8,H10;D3,D7,H2,D10;H9,H5,H7,HK;CJ,H6,H3,S6"
1569978233,3,16,0,"C2,C4,CA,CQ;D7,DA,D4,D8;SA,S5,S7,S9;C6,DJ,CJ,C8;C7,C3,DK,C9;S6,S4,S3,SJ;C10,D3,C5,D6;CK,SK,D2,D5;H8,HQ,H9,H4;D10,H10,DQ,H6;H2,H7,HA,SQ;HJ,HK,S10,H3;S2,D9,S8,H5"
1569978233,3,1,0,"C2,C9,CJ,C5;S8,SQ,S9,S10;C10,C7,C3,CK;S6,S2,SJ,S4;DJ,DA,D9,D6;DK,DQ,D8,D10;D3,D4,S5,D5;S7,SA,H7,S3;D2,HJ,CA,D7;C4,H4,HA,C8;HQ,H8,H6,H5;C6,H10,H9,CQ;SK,HK,H2,H3"
